date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-06,,,,,,,,,30,20,40,30,20,40,30,20,40,1.10740740741
2020-02-07,,,,,,,,,30,20,40,59,40,80,59,40,80,1.10737709394
2020-02-08,,,,,,,,,30,20,40,89,60,120,89,60,120,1.10737038243
2020-02-09,,,,,,,,,30,20,40,119,80,160,119,80,160,1.10736218496
2020-02-10,,,,,,,,,30,20,40,148,100,200,148,100,200,1.10735217252
2020-02-11,,,,,,,,,30,20,40,178,120,240,178,120,240,1.10733994328
2020-02-12,,,,,,,,,30,20,40,207,140,280,207,140,280,1.10732500641
2020-02-13,,,,,,,,,30,20,40,237,160,320,237,160,320,1.1073067624
2020-02-14,,,,,,,,,30,20,40,267,180,360,267,180,360,1.10728447901
2020-02-15,,,,,,,,,61,43,80,328,223,440,328,223,440,1.10725726185
2020-02-16,,,,,,,,,61,43,80,389,267,520,389,267,520,1.10722401849
2020-02-17,,,,,,,,,62,44,82,452,312,601,452,312,601,1.10718341456
2020-02-18,,,,,,,,,66,47,85,517,360,686,517,360,686,1.10713382018
2020-02-19,,,,,,,,,72,53,93,589,413,778,589,413,778,1.10707324446
2020-02-20,,,,,,,,,82,61,105,672,475,882,672,475,882,1.1069992555
2020-02-21,,,,,,,,,90,68,113,732,523,955,762,543,995,1.10690888257
2020-02-22,,,,,,,,,95,73,119,798,576,1033,857,616,1113,1.10679849655
2020-02-23,,,,,,,,,101,78,125,869,634,1118,958,694,1238,1.1066636637
2020-02-24,,,,,,,,,107,83,131,946,698,1208,1065,778,1368,1.10649896672
2020-02-25,,,,,,,,,114,90,139,1031,769,1307,1179,869,1507,1.10629778559
2020-02-26,,,,,,,,,122,97,146,1123,847,1413,1301,967,1653,1.10605202893
2020-02-27,,,,,,,,,129,104,153,1222,931,1525,1429,1071,1805,1.10575180396
2020-02-28,,,,,,,,,135,110,160,1327,1022,1645,1564,1182,1965,1.1053850105
2020-02-29,,,,,,,,,142,117,166,1439,1119,1770,1706,1299,2130,1.10493683949
2020-03-01,1,1,,,,,,,149,124,172,1527,1200,1862,1855,1424,2302,1.10438915135
2020-03-02,0,1,,,,,,,156,132,179,1622,1288,1961,2011,1556,2480,1.10371970089
2020-03-03,0,1,,,,,,,163,139,185,1723,1383,2064,2174,1696,2665,1.10290116398
2020-03-04,1,2,,,,,,,171,146,192,1828,1482,2171,2345,1842,2856,1.1018999049
2020-03-05,0,2,,,,,,,178,154,198,1933,1583,2275,2523,1996,3053,1.1006744003
2020-03-06,0,2,,,,,,,185,161,204,2036,1682,2374,2708,2158,3256,1.09917320574
2020-03-07,0,2,,,,,,,192,168,210,2138,1783,2471,2900,2326,3465,1.09733231537
2020-03-08,1,3,,,,,,,200,175,215,2243,1886,2567,3099,2502,3680,1.09507173543
2020-03-09,0,3,,,,,,,207,182,221,2348,1990,2663,3306,2685,3901,1.09229109884
2020-03-10,0,3,,,,,,,214,189,227,2455,2096,2759,3520,2874,4127,1.0888642634
2020-03-11,0,3,,,,,,,221,195,232,2562,2200,2853,3741,3069,4359,1.08463320466
2020-03-12,0,3,,,,,,,227,200,238,2667,2303,2944,3968,3270,4596,1.07940236507
2020-03-13,0,3,,,,,,,234,205,243,2773,2405,3034,4202,3476,4839,1.07293619281
2020-03-14,0,3,,,,,,,240,209,249,2877,2504,3124,4441,3686,5088,1.06496479442
2020-03-15,0,3,,,,,,,245,213,261,2980,2600,3219,4686,3899,5348,1.05520424124
2020-03-16,0,3,,,,,,,249,214,273,3081,2689,3319,4936,4114,5620,1.04339615621
2020-03-17,2,5,,,,,,,253,212,284,3178,2769,3425,5189,4326,5904,1.0293625475
2020-03-18,1,6,,,,,,,256,209,297,3270,2839,3536,5444,4535,6200,1.01305860039
2020-03-19,0,6,,,,,,,257,207,308,3356,2899,3653,5701,4742,6508,0.994600133153
2020-03-20,1,7,,,,,,,257,201,320,3436,2947,3775,5958,4943,6828,0.974254812848
2020-03-21,0,7,,,,,,,256,196,331,3506,2982,3903,6214,5140,7158,0.952408368835
2020-03-22,0,7,,,,,,,253,191,340,3568,3005,4033,6467,5332,7498,0.929526779489
2020-03-23,0,7,,,,,,,250,186,334,3618,3015,4152,6717,5518,7832,0.906126403958
2020-03-24,1,8,,,,,,,245,180,328,3656,3013,4259,6962,5698,8159,0.882750444443
2020-03-25,0,8,,,,,,,239,173,323,3680,2997,4355,7200,5871,8482,0.85994475914
2020-03-26,5,13,,,,,,,232,166,314,3692,2968,4437,7432,6038,8796,0.838228903998
2020-03-27,0,13,,,,,,,224,159,304,3689,2926,4504,7656,6197,9100,0.818062670181
2020-03-28,1,14,,,,,,,216,151,300,3671,2872,4561,7873,6348,9399,0.799810225751
2020-03-29,2,16,,,,,,,208,143,294,3639,2806,4605,8081,6492,9693,0.783706064378
2020-03-30,1,17,,,,,,,200,136,287,3594,2729,4631,8280,6629,9979,0.769832685679
2020-03-31,1,18,,,,,,,191,130,278,3536,2645,4637,8472,6759,10257,0.758123245966
2020-04-01,2,20,,,,,,,183,124,261,3466,2557,4613,8655,6883,10517,0.748393790516
2020-04-02,4,24,,,,,,,175,118,245,3386,2466,4562,8830,7002,10761,0.74039345017
2020-04-03,4,28,,,,,,,167,112,236,3296,2372,4489,8997,7115,10997,0.733853110288
2020-04-04,2,30,,,,,,,160,107,228,3199,2278,4397,9157,7222,11224,0.72851924042
2020-04-05,5,35,,,,,,,153,103,219,3095,2185,4285,9309,7325,11442,0.72417064423
2020-04-06,5,40,,,,,,,146,98,210,2988,2092,4154,9455,7424,11652,0.720622690256
2020-04-07,5,45,,,,,,,139,94,201,2877,1999,4022,9594,7518,11853,0.717724790243
2020-04-08,5,50,,,,,,,133,90,193,2765,1910,3886,9727,7608,12045,0.715355317871
2020-04-09,1,51,,,,,,,127,86,184,2653,1823,3747,9853,7695,12229,0.713416238454
2020-04-10,3,54,,,,,,,121,82,174,2542,1740,3607,9974,7778,12402,0.711828385911
2020-04-11,3,57,,,,,,,116,79,167,2433,1660,3470,10090,7858,12569,0.710527618353
2020-04-12,3,60,,,,,,,110,76,161,2328,1585,3331,10200,7934,12730,0.709461787989
2020-04-13,1,61,,,,,,,106,73,154,2225,1515,3192,10306,8007,12884,0.708588374282
2020-04-14,1,62,,,,,,,101,70,148,2126,1448,3053,10407,8078,13031,0.707872629702
2020-04-15,1,63,,,,,,,96,66,141,2031,1385,2916,10503,8145,13172,0.707286114981
2020-04-16,0,63,,,,,,,92,62,136,1940,1324,2791,10595,8208,13307,0.70680553092
