date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-22,,,,,,,,,97,50,150,97,50,150,97,50,150,1.89552238806
2020-02-23,,,,,,,,,97,50,150,195,100,300,195,100,300,1.81234334006
2020-02-24,,,,,,,,,97,50,150,292,150,450,292,150,450,1.79418161459
2020-02-25,,,,,,,,,97,50,150,390,200,600,390,200,600,1.77202296944
2020-02-26,,,,,,,,,97,50,150,487,250,750,487,250,750,1.74502548587
2020-02-27,,,,,,,,,97,50,150,584,300,900,584,300,900,1.71226960428
2020-02-28,,,,,,,,,97,50,150,682,350,1050,682,350,1050,1.67285469752
2020-02-29,,,,,,,,,97,50,150,779,400,1200,779,400,1200,1.62605433893
2020-03-01,,,,,,,,,97,50,150,876,450,1350,876,450,1350,1.57150091401
2020-03-02,,,,,,,,,240,148,340,1117,598,1690,1117,598,1690,1.50933911591
2020-03-03,,,,,,,,,232,146,312,1349,744,2002,1349,744,2002,1.44028733511
2020-03-04,,,,,,,,,233,153,319,1582,898,2320,1582,898,2320,1.36558335045
2020-03-05,,,,,,,,,242,167,336,1823,1065,2656,1823,1065,2656,1.28684282069
2020-03-06,,,,,,,,,264,195,374,2088,1261,3029,2088,1261,3029,1.20589315211
2020-03-07,,,,,,,,,298,215,443,2386,1477,3472,2386,1477,3472,1.12464062371
2020-03-08,,,,,,,,,313,221,470,2601,1648,3792,2699,1698,3942,1.0449918839
2020-03-09,,,,,,,,,314,217,473,2818,1816,4114,3013,1916,4414,0.968808053007
2020-03-10,,,,,,,,,314,214,467,3035,1981,4431,3327,2131,4881,0.897843084118
2020-03-11,,,,,,,,,312,211,456,3249,2143,4736,3639,2343,5336,0.833621857566
2020-03-12,,,,,,,,,312,211,450,3464,2304,5036,3951,2554,5786,0.777256719655
2020-03-13,,,,,,,,,308,207,447,3674,2462,5332,4258,2762,6232,0.729269958981
2020-03-14,,,,,,,,,300,204,432,3877,2616,5614,4559,2966,6664,0.689527101006
2020-03-15,,,,,,,,,291,201,417,4071,2767,5880,4850,3167,7080,0.657336463445
2020-03-16,,,,,,,,,282,197,404,4255,2915,6134,5131,3365,7484,0.63166770062
2020-03-17,2,2,,,,,,,272,193,389,4287,2961,6182,5404,3559,7872,0.611385050846
2020-03-18,0,2,,,,,,,264,189,367,4319,3004,6237,5667,3749,8238,0.595416934128
2020-03-19,0,2,,,,,,,255,186,348,4340,3037,6266,5922,3935,8586,0.582842360874
2020-03-20,1,3,,,,,,,246,182,332,4345,3052,6262,6168,4118,8918,0.572913501921
2020-03-21,1,4,,,,,,,237,178,316,4318,3035,6204,6406,4297,9233,0.565042840294
2020-03-22,6,10,,,,,,,229,175,300,4249,2994,6062,6635,4472,9533,0.558776577799
2020-03-23,4,14,,,,,,,222,172,286,4158,2945,5878,6857,4644,9819,0.553766435744
2020-03-24,2,16,,,,,,,215,167,273,4059,2895,5678,7071,4812,10091,0.549745040981
2020-03-25,4,20,,,,,,,208,164,259,3952,2845,5470,7279,4976,10350,0.546506268246
2020-03-26,3,23,,,,,,,202,159,253,3842,2792,5267,7481,5136,10602,0.543890225974
2020-03-27,3,26,,,,,,,196,157,245,3726,2739,5062,7676,5293,10847,0.541772029932
2020-03-28,1,27,,,,,,,190,153,238,3608,2684,4853,7866,5447,11085,0.54005347233
2020-03-29,8,35,,,,,,,185,146,233,3492,2627,4654,8051,5593,11317,0.538656835117
2020-03-30,2,37,,,,,,,180,139,229,3381,2566,4466,8230,5733,11545,0.537520269643
2020-03-31,6,43,,,,,,,175,132,225,3274,2500,4287,8405,5866,11770,0.536594317331
2020-04-01,2,45,,,,,,,170,125,221,3172,2432,4120,8576,5992,11991,0.535839264686
2020-04-02,5,50,,,,,,,166,120,218,3074,2362,3970,8742,6112,12208,0.535223113113
2020-04-03,3,53,,,,,,,162,116,214,2982,2292,3836,8904,6228,12421,0.534720006253
2020-04-04,4,57,,,,,,,158,109,210,2894,2220,3714,9062,6338,12631,0.534309001464
2020-04-05,4,61,,,,,,,155,106,207,2811,2148,3605,9217,6445,12837,0.533973102954
2020-04-06,1,62,,,,,,,151,102,203,2733,2075,3507,9368,6547,13040,0.533698495877
2020-04-07,1,63,,,,,,,148,99,200,2659,2002,3421,9515,6647,13239,0.533365874092
2020-04-08,2,65,,,,,,,144,95,196,2588,1930,3344,9660,6742,13435,0.533113015919
2020-04-09,2,67,,,,,,,141,90,193,2522,1856,3278,9801,6833,13627,0.532900974977
2020-04-10,3,70,,,,,,,138,86,189,2458,1783,3214,9939,6920,13816,0.53273532302
2020-04-11,3,73,,,,,,,135,83,186,2398,1709,3155,10074,7003,14001,0.532598469106
2020-04-12,3,76,,,,,,,132,80,182,2340,1637,3099,10206,7084,14183,0.532463013137
2020-04-13,1,77,,,,,,,129,78,179,2285,1568,3046,10336,7162,14362,0.532463173752
2020-04-14,5,82,,,,,,,127,75,176,2232,1504,2992,10462,7238,14537,0.53246341336
