date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-26,,,,,,,,,202,100,300,202,100,300,202,100,300,3.38577839395
2020-02-27,,,,,,,,,202,100,300,404,200,600,404,200,600,3.32328890154
2020-02-28,,,,,,,,,202,100,300,607,300,900,607,300,900,3.31007100542
2020-02-29,,,,,,,,,202,100,300,809,400,1200,809,400,1200,3.29419716726
2020-03-01,,,,,,,,,202,100,300,1011,500,1500,1011,500,1500,3.275188901
2020-03-02,,,,,,,,,202,100,300,1213,600,1800,1213,600,1800,3.2525002867
2020-03-03,,,,,,,,,202,100,300,1416,700,2100,1416,700,2100,3.22551326938
2020-03-04,,,,,,,,,202,100,300,1618,800,2400,1618,800,2400,3.19353332164
2020-03-05,,,,,,,,,202,100,300,1820,900,2700,1820,900,2700,3.15578590382
2020-03-06,,,,,,,,,821,399,1310,2641,1299,4010,2641,1299,4010,3.11141539785
2020-03-07,,,,,,,,,807,392,1298,3447,1691,5307,3447,1691,5307,3.05949074868
2020-03-08,,,,,,,,,882,430,1451,4329,2121,6758,4329,2121,6758,2.9990259383
2020-03-09,,,,,,,,,1037,508,1736,5366,2629,8494,5366,2629,8494,2.92902762227
2020-03-10,,,,,,,,,1360,670,2269,6726,3299,10762,6726,3299,10762,2.8485845427
2020-03-11,,,,,,,,,1847,920,3059,8573,4219,13821,8573,4219,13821,2.75701041119
2020-03-12,,,,,,,,,2205,1117,3710,10576,5237,17230,10778,5337,17530,2.65403945702
2020-03-13,,,,,,,,,2525,1308,4300,12898,6446,21230,13303,6646,21830,2.54004862905
2020-03-14,,,,,,,,,2921,1554,4979,15617,7900,25909,16223,8200,26809,2.41624894997
2020-03-15,,,,,,,,,3388,1860,5595,18803,9660,31203,19612,10060,32403,2.28477251797
2020-03-16,,,,,,,,,3920,2227,6473,22521,11787,37376,23532,12287,38876,2.14860292825
2020-03-17,,,,,,,,,4397,2600,7115,26716,14288,44191,27929,14888,45991,2.01134717258
2020-03-18,,,,,,,,,4813,2954,7547,31326,17143,51437,32742,17843,53537,1.87689095683
2020-03-19,,,,,,,,,5205,3319,7875,36329,20363,59012,37946,21163,61412,1.74899463755
2020-03-20,,,,,,,,,5582,3698,8211,41708,23961,66922,43528,24861,69622,1.63088336212
