date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-25,,,,,,,,,46,25,75,46,25,75,46,25,75,1.64871376066
2020-02-26,,,,,,,,,46,25,75,92,50,150,92,50,150,1.64784479941
2020-02-27,,,,,,,,,46,25,75,138,75,225,138,75,225,1.64765273107
2020-02-28,,,,,,,,,46,25,75,184,100,300,184,100,300,1.64741829551
2020-02-29,,,,,,,,,46,25,75,231,125,375,231,125,375,1.6471321889
2020-03-01,,,,,,,,,46,25,75,277,150,450,277,150,450,1.64678308433
2020-03-02,,,,,,,,,46,25,75,323,175,525,323,175,525,1.64635720132
2020-03-03,,,,,,,,,46,25,75,369,200,600,369,200,600,1.64583778825
2020-03-04,,,,,,,,,46,25,75,415,225,675,415,225,675,1.64520450176
2020-03-05,,,,,,,,,118,64,180,533,289,855,533,289,855,1.64443266555
2020-03-06,,,,,,,,,118,64,180,651,354,1035,651,354,1035,1.64349238887
2020-03-07,,,,,,,,,123,67,186,773,422,1220,773,422,1220,1.64234752314
2020-03-08,,,,,,,,,134,73,200,907,496,1420,907,496,1420,1.64095443365
2020-03-09,,,,,,,,,156,86,229,1063,582,1648,1063,582,1648,1.63926056189
2020-03-10,,,,,,,,,191,106,274,1254,688,1921,1254,688,1921,1.63720275251
2020-03-11,,,,,,,,,218,121,308,1426,785,2153,1472,810,2228,1.63470531691
2020-03-12,,,,,,,,,241,134,335,1621,894,2412,1713,944,2562,1.63167780161
2020-03-13,,,,,,,,,267,149,365,1842,1019,2702,1980,1094,2927,1.62801242303
2020-03-14,,,,,,,,,298,167,414,2094,1162,3041,2279,1262,3341,1.62358112157
2020-03-15,,,,,,,,,338,190,478,2385,1327,3443,2616,1452,3818,1.61823218342
2020-03-16,,,,,,,,,378,214,546,2718,1516,3914,2994,1666,4364,1.61178640186
2020-03-17,,,,,,,,,419,238,616,3091,1730,4455,3414,1905,4980,1.60403286142
2020-03-18,,,,,,,,,463,265,691,3507,1970,5071,3876,2170,5671,1.59472475568
2020-03-19,,,,,,,,,510,294,755,3971,2240,5750,4386,2465,6425,1.58357640821
2020-03-20,1,1,,,,,,,562,327,813,4415,2502,6383,4948,2792,7238,1.5702640918
2020-03-21,0,1,,,,,,,617,364,899,4915,2802,7103,5566,3157,8137,1.55443527001
2020-03-22,1,2,,,,,,,674,403,983,5466,3138,7900,6239,3561,9119,1.53573243427
2020-03-23,0,2,,,,,,,731,446,1045,6064,3511,8744,6971,4007,10163,1.51383602014
2020-03-24,0,2,,,,,,,790,493,1102,6697,3918,9618,7760,4500,11265,1.48852289464
2020-03-25,0,2,,,,,,,848,543,1169,7355,4355,10513,8609,5044,12433,1.45972456453
2020-03-26,1,3,,,,,,,905,598,1240,8042,4833,11445,9514,5643,13673,1.42756361694
2020-03-27,0,3,,,,,,,960,656,1288,8761,5354,12399,10474,6299,14961,1.3923582519
2020-03-28,1,4,,,,,,,1010,698,1311,9504,5903,13345,11484,6997,16271,1.35460451782
2020-03-29,1,5,,,,,,,1055,730,1361,10261,6466,14292,12539,7728,17632,1.31495281209
2020-03-30,4,9,,,,,,,1095,756,1401,11018,7032,15214,13634,8484,19032,1.27418399194
2020-03-31,0,9,,,,,,,1128,789,1449,11768,7607,16117,14762,9274,20481,1.23317668907
2020-04-01,0,9,,,,,,,1154,827,1509,12503,8196,17010,15917,10101,21990,1.19285625577
2020-04-02,3,12,,,,,,,1174,855,1555,13214,8786,17873,17090,10957,23544,1.15412705493
2020-04-03,3,15,,,,,,,1186,863,1548,13891,9355,18666,18277,11820,25091,1.11780043853
2020-04-04,6,21,,,,,,,1193,870,1554,14522,9898,19407,19470,12691,26645,1.08452959775
2020-04-05,1,22,,,,,,,1195,869,1574,15099,10404,20082,20664,13561,28218,1.0547564015
2020-04-06,0,22,,,,,,,1191,872,1552,15617,10872,20652,21856,14433,29770,1.02867866895
2020-04-07,0,22,,,,,,,1184,869,1550,16070,11295,21157,23040,15303,31320,1.00625341279
2020-04-08,5,27,,,,,,,1174,870,1539,16454,11673,21594,24214,16174,32858,0.987243111981
2020-04-09,5,32,,,,,,,1161,869,1504,16767,11999,21929,25376,17043,34362,0.971289714304
2020-04-10,6,38,,,,,,,1146,858,1496,17008,12258,22186,26522,17902,35858,0.95798855178
