date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-13,,,,,,,,,126,50,250,126,50,250,126,50,250,1.75466844054
2020-02-14,,,,,,,,,126,50,250,252,100,500,252,100,500,1.75403742807
2020-02-15,,,,,,,,,126,50,250,378,150,750,378,150,750,1.75389786828
2020-02-16,,,,,,,,,126,50,250,504,200,1000,504,200,1000,1.75372748193
2020-02-17,,,,,,,,,126,50,250,630,250,1250,630,250,1250,1.75351947911
2020-02-18,,,,,,,,,126,50,250,756,300,1500,756,300,1500,1.75326558363
2020-02-19,,,,,,,,,126,50,250,882,350,1750,882,350,1750,1.75295571195
2020-02-20,,,,,,,,,126,50,250,1008,400,2000,1008,400,2000,1.75257758498
2020-02-21,,,,,,,,,126,50,250,1134,450,2250,1134,450,2250,1.75211625922
2020-02-22,,,,,,,,,326,139,600,1460,589,2850,1460,589,2850,1.75155356205
2020-02-23,,,,,,,,,324,139,598,1784,729,3448,1784,729,3448,1.75086741302
2020-02-24,,,,,,,,,339,146,619,2123,876,4067,2123,876,4067,1.75003101066
2020-02-25,,,,,,,,,370,162,666,2493,1038,4732,2493,1038,4732,1.74901186095
2020-02-26,,,,,,,,,434,194,762,2927,1233,5493,2927,1233,5493,1.74777062024
2020-02-27,,,,,,,,,534,245,912,3461,1478,6404,3461,1478,6404,1.74625972119
2020-02-28,,,,,,,,,611,284,1025,3946,1713,7179,4072,1763,7429,1.74442174471
2020-02-29,,,,,,,,,678,319,1116,4498,1983,8045,4750,2083,8545,1.74218749254
2020-03-01,,,,,,,,,756,362,1219,5128,2295,9013,5506,2445,9763,1.73947370271
2020-03-02,,,,,,,,,850,414,1337,5852,2659,10099,6356,2859,11099,1.73618032974
2020-03-03,,,,,,,,,968,479,1483,6694,3089,11332,7324,3339,12582,1.73218728061
2020-03-04,,,,,,,,,1092,549,1655,7660,3588,12737,8416,3888,14237,1.72735045591
2020-03-05,,,,,,,,,1221,623,1876,8755,4162,14362,9637,4512,16112,1.72149690169
2020-03-06,,,,,,,,,1359,704,2117,9988,4816,16228,10996,5216,18228,1.7144188693
2020-03-07,,,,,,,,,1514,797,2387,11376,5563,18365,12511,6013,20615,1.70586670601
2020-03-08,2,2,,,,,,,1689,903,2690,12739,6327,20455,14199,6916,23305,1.69554096743
2020-03-09,0,2,,,,,,,1878,1021,3014,14293,7208,22871,16077,7938,26318,1.68308531014
2020-03-10,0,2,,,,,,,2080,1150,3346,16034,8212,25598,18158,9088,29664,1.66808399543
2020-03-11,0,2,,,,,,,2294,1291,3637,17959,9341,28570,20452,10380,33301,1.65007118422
2020-03-12,0,2,,,,,,,2520,1447,3988,20045,10594,31796,22972,11827,37288,1.62856205848
2020-03-13,0,2,,,,,,,2758,1619,4276,22269,11969,35160,25730,13447,41564,1.60311404833
2020-03-14,1,3,,,,,,,3002,1806,4593,24660,13490,38728,28732,15254,46157,1.57341546898
2020-03-15,1,4,,,,,,,3247,2008,4832,27229,15179,42444,31979,17262,50988,1.53938143991
2020-03-16,1,5,,,,,,,3488,2220,5060,29961,17037,46285,35467,19483,56048,1.50122841235
2020-03-17,1,6,,,,,,,3720,2399,5214,32831,19023,50163,39187,21882,61262,1.45951040621
2020-03-18,1,7,,,,,,,3938,2571,5389,35801,21114,54068,43125,24453,66650,1.41511488883
2020-03-19,2,9,,,,,,,4139,2775,5598,38847,23340,58011,47264,27229,72247,1.36920986062
2020-03-20,1,10,,,,,,,4319,2906,5828,41946,25623,61963,51583,30135,78074,1.32312529871
2020-03-21,3,13,,,,,,,4478,3032,6079,45064,27951,65925,56061,33168,84152,1.27818116981
2020-03-22,0,13,,,,,,,4613,3146,6275,48164,30301,69812,60674,36315,90427,1.23552233958
2020-03-23,5,18,,,,,,,4728,3220,6334,51203,32618,73456,65402,39535,96761,1.19602370029
2020-03-24,0,18,,,,,,,4822,3309,6510,54146,34907,76953,70224,42845,103270,1.16027637442
2020-03-25,5,23,,,,,,,4897,3417,6604,56963,37174,80210,75121,46262,109873,1.1286161872
2020-03-26,6,29,,,,,,,4957,3509,6709,59626,39391,83281,80077,49772,116582,1.10115229815
