date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-23,,,,,,,,,31,20,40,31,20,40,31,20,40,1.07901234568
2020-02-24,,,,,,,,,31,20,40,61,40,80,61,40,80,1.07897473331
2020-02-25,,,,,,,,,31,20,40,92,60,120,92,60,120,1.07896640492
2020-02-26,,,,,,,,,31,20,40,122,80,160,122,80,160,1.07895623216
2020-02-27,,,,,,,,,31,20,40,153,100,200,153,100,200,1.07894380645
2020-02-28,,,,,,,,,31,20,40,184,120,240,184,120,240,1.07892862865
2020-02-29,,,,,,,,,31,20,40,214,140,280,214,140,280,1.07891008895
2020-03-01,,,,,,,,,31,20,40,245,160,320,245,160,320,1.0788874423
2020-03-02,,,,,,,,,31,20,40,276,180,360,276,180,360,1.07885977828
2020-03-03,,,,,,,,,63,43,80,338,223,440,338,223,440,1.0788259844
2020-03-04,,,,,,,,,62,43,80,400,267,520,400,267,520,1.07878470102
2020-03-05,,,,,,,,,64,44,82,464,312,601,464,312,601,1.07873426626
2020-03-06,,,,,,,,,67,47,85,530,360,686,530,360,686,1.07867264845
2020-03-07,,,,,,,,,73,53,93,603,413,778,603,413,778,1.07859736333
2020-03-08,,,,,,,,,83,61,105,686,475,882,686,475,882,1.07850537242
2020-03-09,,,,,,,,,90,68,113,746,523,955,776,543,995,1.07839295827
2020-03-10,,,,,,,,,95,72,119,811,576,1033,872,616,1113,1.0782555708
2020-03-11,,,,,,,,,101,78,125,881,634,1118,973,694,1238,1.07808763813
2020-03-12,,,,,,,,,107,83,131,957,698,1208,1079,778,1368,1.07788233279
2020-03-13,,,,,,,,,114,90,139,1040,768,1307,1193,868,1507,1.07763128225
2020-03-14,,,,,,,,,121,97,146,1130,846,1413,1313,966,1653,1.07732420906
2020-03-15,,,,,,,,,127,103,153,1226,930,1525,1440,1070,1805,1.07694848174
2020-03-16,,,,,,,,,133,110,160,1328,1020,1644,1573,1180,1964,1.07648855113
2020-03-17,,,,,,,,,139,114,166,1437,1114,1770,1713,1294,2130,1.07592523834
2020-03-18,1,1,,,,,,,146,116,172,1520,1187,1862,1858,1411,2302,1.07523482845
2020-03-19,0,1,,,,,,,153,118,179,1611,1262,1960,2011,1530,2480,1.07438790649
2020-03-20,0,1,,,,,,,159,120,185,1706,1337,2064,2170,1650,2665,1.07334784827
2020-03-21,0,1,,,,,,,166,121,191,1805,1411,2170,2336,1772,2856,1.07206884491
2020-03-22,0,1,,,,,,,172,123,198,1904,1481,2275,2508,1895,3053,1.07049329694
2020-03-23,0,1,,,,,,,178,124,204,2000,1544,2374,2686,2019,3256,1.06854836395
2020-03-24,0,1,,,,,,,185,125,209,2095,1601,2471,2871,2144,3465,1.06614141529
2020-03-25,0,1,,,,,,,191,126,215,2190,1654,2567,3062,2271,3680,1.06315413986
2020-03-26,1,2,,,,,,,197,127,221,2287,1703,2663,3260,2398,3900,1.05943523817
2020-03-27,0,2,,,,,,,203,127,227,2384,1748,2759,3463,2526,4127,1.05479213468
2020-03-28,1,3,,,,,,,209,128,232,2479,1785,2852,3672,2654,4358,1.04898332161
2020-03-29,0,3,,,,,,,214,128,238,2573,1817,2943,3886,2783,4596,1.04171509474
2020-03-30,1,4,,,,,,,219,128,243,2665,1842,3033,4105,2912,4838,1.03264941666
2020-03-31,2,6,,,,,,,223,129,248,2755,1860,3122,4328,3041,5086,1.02143180622
2020-04-01,0,6,,,,,,,226,129,259,2842,1875,3215,4554,3170,5344,1.00774547186
2020-04-02,0,6,,,,,,,228,129,270,2924,1887,3312,4783,3299,5613,0.991385958588
2020-04-03,0,6,,,,,,,229,128,280,3001,1898,3413,5012,3428,5892,0.972332175326
2020-04-04,0,6,,,,,,,229,128,289,3071,1906,3517,5241,3556,6181,0.950780863662
2020-04-05,2,8,,,,,,,227,127,298,3132,1911,3623,5468,3684,6479,0.927128037163
2020-04-06,1,9,,,,,,,224,126,304,3184,1915,3730,5692,3810,6782,0.901912200428
2020-04-07,2,11,,,,,,,220,125,308,3226,1916,3835,5912,3936,7090,0.875750690235
2020-04-08,1,12,,,,,,,214,123,308,3255,1915,3933,6126,4060,7397,0.849291270045
2020-04-09,3,15,,,,,,,208,121,304,3272,1910,4022,6334,4182,7701,0.823181471486
2020-04-10,0,15,,,,,,,200,119,295,3274,1902,4096,6534,4301,7995,0.798045036578
2020-04-11,1,16,,,,,,,192,116,283,3263,1891,4152,6726,4417,8278,0.774453078803
2020-04-12,2,18,,,,,,,184,112,270,3238,1875,4190,6910,4529,8547,0.752884622454
2020-04-13,3,21,,,,,,,175,108,263,3198,1855,4215,7085,4638,8810,0.733682319008
2020-04-14,0,21,,,,,,,166,105,248,3146,1832,4220,7251,4744,9057,0.7170183066
2020-04-15,3,24,,,,,,,158,103,232,3080,1806,4204,7408,4847,9289,0.702886117847
2020-04-16,3,27,,,,,,,149,97,217,3003,1774,4162,7558,4944,9506,0.691125457858
2020-04-17,4,31,,,,,,,141,91,203,2916,1736,4096,7699,5035,9708,0.681472452483
2020-04-18,1,32,,,,,,,134,86,192,2821,1693,4008,7833,5121,9899,0.673617428798
2020-04-19,2,34,,,,,,,126,81,181,2718,1646,3899,7959,5203,10080,0.667252527029
2020-04-20,2,36,,,,,,,119,76,171,2611,1596,3773,8078,5280,10251,0.662100703324
2020-04-21,2,38,,,,,,,113,72,163,2499,1541,3632,8191,5352,10414,0.657927456514
2020-04-22,2,40,,,,,,,107,68,155,2386,1485,3479,8298,5421,10568,0.654541234796
2020-04-23,3,43,,,,,,,101,65,148,2273,1426,3319,8399,5486,10716,0.651788379698
2020-04-24,6,49,,,,,,,96,61,140,2161,1365,3156,8495,5548,10856,0.649546464673
2020-04-25,2,51,,,,,,,91,58,133,2052,1305,2994,8586,5606,10989,0.647717957022
2020-04-26,3,54,,,,,,,86,55,127,1945,1244,2838,8671,5661,11115,0.646224900277
2020-04-27,2,56,,,,,,,81,51,120,1843,1183,2687,8753,5713,11234,0.645004702127
2020-04-28,2,58,,,,,,,77,48,114,1746,1123,2539,8830,5761,11348,0.644006877692
2020-04-29,0,58,,,,,,,73,45,108,1653,1063,2399,8904,5807,11456,0.643190546062
2020-04-30,3,61,,,,,,,70,42,103,1565,1002,2269,8973,5850,11558,0.642522497802
2020-05-01,3,64,,,,,,,66,40,98,1482,946,2150,9040,5890,11656,0.641975689969
2020-05-02,2,66,,,,,,,63,38,93,1404,893,2040,9103,5928,11748,0.641437480243
2020-05-03,1,67,,,,,,,60,35,88,1330,842,1937,9163,5964,11836,0.640953063405
2020-05-04,2,69,,,,,,,57,33,84,1261,795,1840,9220,5998,11919,0.640532528967
2020-05-05,0,69,,,,,,,54,32,80,1196,750,1749,9274,6030,11999,0.640153618955
2020-05-06,0,69,,,,,,,52,30,76,1135,708,1661,9326,6061,12075,0.639801585837
2020-05-07,4,73,,,,,,,49,28,72,1077,668,1578,9376,6089,12146,0.639514392301
