date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-29,,,,,,,,,286,150,350,286,150,350,286,150,350,4.36610039241
2020-03-01,,,,,,,,,286,150,350,573,300,700,573,300,700,4.23092692269
2020-03-02,,,,,,,,,286,150,350,859,450,1050,859,450,1050,4.20268801942
2020-03-03,,,,,,,,,286,150,350,1145,600,1400,1145,600,1400,4.16876311987
2020-03-04,,,,,,,,,286,150,350,1431,750,1750,1431,750,1750,4.12801422959
2020-03-05,,,,,,,,,286,150,350,1718,900,2100,1718,900,2100,4.07903740819
2020-03-06,,,,,,,,,286,150,350,2004,1050,2450,2004,1050,2450,4.02008251316
2020-03-07,,,,,,,,,286,150,350,2290,1200,2800,2290,1200,2800,3.94896170352
2020-03-08,,,,,,,,,286,150,350,2576,1350,3150,2576,1350,3150,3.86296982549
2020-03-09,,,,,,,,,1341,743,1859,3918,2093,5009,3918,2093,5009,3.7588679156
2020-03-10,,,,,,,,,1299,738,1785,5216,2832,6793,5216,2832,6793,3.6330213154
2020-03-11,,,,,,,,,1431,848,1984,6648,3681,8776,6648,3681,8776,3.48182201695
2020-03-12,,,,,,,,,1702,1035,2366,8349,4717,11142,8349,4717,11142,3.30251063262
2020-03-13,,,,,,,,,2253,1382,3189,10603,6099,14330,10603,6099,14330,3.09436744931
2020-03-14,,,,,,,,,3032,1794,4361,13634,7893,18691,13634,7893,18691,2.85995243557
2020-03-15,,,,,,,,,3487,1964,5039,16835,9708,23380,17122,9858,23730,2.60581600819
2020-03-16,,,,,,,,,3808,2116,5474,20357,11674,28503,20929,11974,29203,2.34214700668
2020-03-17,,,,,,,,,4159,2270,5921,24229,13794,34073,25088,14244,35123,2.08124249987
2020-03-18,,,,,,,,,4506,2428,6403,28449,16073,40126,29595,16673,41526,1.83524578948
2020-03-19,,,,,,,,,4819,2604,6958,32982,18527,46733,34413,19277,48483,1.61395761632
2020-03-20,,,,,,,,,4954,2726,7613,37650,21104,53996,39367,22004,56096,1.42344762579
2020-03-21,,,,,,,,,4953,2787,7637,42317,23742,61283,44321,24792,63733,1.26576261611
