date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-09,,,,,,,,,160,50,250,160,50,250,160,50,250,1.59728533971
2020-02-10,,,,,,,,,160,50,250,321,100,500,321,100,500,1.597188872
2020-02-11,,,,,,,,,160,50,250,481,150,750,481,150,750,1.59716751612
2020-02-12,,,,,,,,,160,50,250,641,200,1000,641,200,1000,1.59714143315
2020-02-13,,,,,,,,,160,50,250,801,250,1250,801,250,1250,1.59710957704
2020-02-14,,,,,,,,,160,50,250,962,300,1500,962,300,1500,1.59707067045
2020-02-15,,,,,,,,,160,50,250,1122,350,1750,1122,350,1750,1.59702315363
2020-02-16,,,,,,,,,160,50,250,1282,400,2000,1282,400,2000,1.59696512209
2020-02-17,,,,,,,,,160,50,250,1443,450,2250,1443,450,2250,1.59689425058
2020-02-18,,,,,,,,,400,139,600,1843,589,2850,1843,589,2850,1.59678343105
2020-02-19,,,,,,,,,398,139,598,2241,729,3448,2241,729,3448,1.59667470463
2020-02-20,,,,,,,,,415,146,619,2655,876,4067,2655,876,4067,1.59653801856
2020-02-21,,,,,,,,,449,162,666,3104,1038,4732,3104,1038,4732,1.59637283219
2020-02-22,,,,,,,,,521,194,762,3625,1233,5493,3625,1233,5493,1.59617249648
2020-02-23,,,,,,,,,632,245,912,4257,1479,6404,4257,1479,6404,1.59592897978
2020-02-24,,,,,,,,,718,285,1025,4814,1714,7179,4975,1764,7429,1.59563218718
2020-02-25,,,,,,,,,789,320,1116,5443,1984,8045,5764,2084,8545,1.59526991941
2020-02-26,,,,,,,,,871,363,1219,6154,2298,9014,6635,2448,9764,1.59482874491
2020-02-27,,,,,,,,,968,415,1337,6962,2663,10100,7603,2863,11100,1.59429195536
2020-02-28,,,,,,,,,1089,481,1484,7890,3094,11333,8692,3344,12583,1.59363864621
2020-02-29,,,,,,,,,1216,552,1635,8946,3596,12718,9908,3896,14218,1.59284333591
2020-03-01,,,,,,,,,1345,626,1786,10131,4173,14253,11253,4523,16003,1.59187485683
2020-03-02,,,,,,,,,1483,709,1942,11454,4833,15945,12736,5233,17945,1.59069572521
2020-03-03,,,,,,,,,1635,804,2111,12929,5587,17805,14371,6037,20055,1.58926038738
2020-03-04,1,1,,,,,,,1807,913,2298,14336,6361,19503,16178,6951,22353,1.58751321999
