date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-03,,,,,,,,,22,10,40,22,10,40,22,10,40,1.31228070175
2020-03-04,,,,,,,,,22,10,40,44,20,80,44,20,80,1.30950788844
2020-03-05,,,,,,,,,22,10,40,66,30,120,66,30,120,1.30887112424
2020-03-06,,,,,,,,,22,10,40,88,40,160,88,40,160,1.30808687651
2020-03-07,,,,,,,,,22,10,40,110,50,200,110,50,200,1.30712094708
2020-03-08,,,,,,,,,22,10,40,132,60,240,132,60,240,1.30593138248
2020-03-09,,,,,,,,,22,10,40,154,70,280,154,70,280,1.30446686777
2020-03-10,,,,,,,,,22,10,40,176,80,320,176,80,320,1.30266489077
2020-03-11,,,,,,,,,22,10,40,198,90,360,198,90,360,1.30044971383
2020-03-12,,,,,,,,,48,23,80,246,113,440,246,113,440,1.29759474041
2020-03-13,,,,,,,,,48,23,80,294,137,520,294,137,520,1.29424592377
2020-03-14,,,,,,,,,49,24,82,342,162,601,342,162,601,1.2901364472
2020-03-15,,,,,,,,,52,26,85,394,188,685,394,188,685,1.28514064974
2020-03-16,,,,,,,,,58,30,92,451,219,777,451,219,777,1.27909252841
2020-03-17,,,,,,,,,67,36,104,518,255,881,518,255,881,1.27181272128
2020-03-18,,,,,,,,,73,40,112,569,285,953,592,295,993,1.26311617148
2020-03-19,,,,,,,,,78,43,118,626,319,1031,670,339,1111,1.25282803733
2020-03-20,,,,,,,,,83,47,124,687,356,1114,753,386,1234,1.24080873061
2020-03-21,,,,,,,,,89,51,129,754,398,1202,842,438,1362,1.22697231626
2020-03-22,,,,,,,,,95,56,136,827,444,1298,937,494,1498,1.21130908614
2020-03-23,,,,,,,,,102,61,143,907,496,1400,1039,556,1640,1.19390411744
2020-03-24,,,,,,,,,107,66,148,992,553,1508,1146,623,1788,1.1749420424
2020-03-25,,,,,,,,,112,71,154,1082,615,1622,1259,695,1942,1.15470027152
2020-03-26,,,,,,,,,117,75,158,1177,680,1739,1376,770,2099,1.13352799698
2020-03-27,1,1,,,,,,,122,80,163,1251,737,1822,1497,851,2262,1.11181926328
2020-03-28,0,1,,,,,,,126,84,168,1330,798,1910,1624,935,2429,1.08998593439
2020-03-29,0,1,,,,,,,130,88,171,1411,862,2000,1753,1024,2600,1.06843383738
2020-03-30,1,2,,,,,,,133,91,174,1493,927,2089,1887,1116,2774,1.04754374563
2020-03-31,1,3,,,,,,,136,95,179,1571,992,2175,2023,1211,2952,1.02765610405
2020-04-01,0,3,,,,,,,138,98,181,1643,1055,2252,2161,1310,3133,1.0090582764
2020-04-02,0,3,,,,,,,140,101,184,1710,1117,2324,2302,1412,3316,0.991973539897
2020-04-03,0,3,,,,,,,142,104,185,1774,1178,2391,2444,1517,3501,0.976552144897
2020-04-04,0,3,,,,,,,143,107,185,1834,1238,2453,2587,1624,3686,0.962866501577
2020-04-05,0,3,,,,,,,144,109,186,1890,1295,2509,2732,1733,3871,0.950912904086
2020-04-06,0,3,,,,,,,145,110,185,1939,1349,2558,2877,1844,4055,0.940620914714
2020-04-07,1,4,,,,,,,146,111,184,1983,1399,2599,3022,1956,4239,0.931869061011
2020-04-08,0,4,,,,,,,146,112,183,2022,1445,2634,3168,2069,4422,0.924503453469
2020-04-09,1,5,,,,,,,146,113,183,2056,1487,2663,3314,2182,4604,0.918355577491
2020-04-10,1,6,,,,,,,146,113,182,2085,1525,2687,3460,2296,4786,0.913256620223
2020-04-11,1,7,,,,,,,146,113,182,2109,1558,2706,3606,2410,4967,0.907884258402
2020-04-12,0,7,,,,,,,145,113,182,2128,1588,2720,3752,2523,5149,0.903418875321
2020-04-13,1,8,,,,,,,145,114,181,2143,1613,2730,3897,2638,5329,0.89943329844
2020-04-14,0,8,,,,,,,144,114,180,2154,1636,2736,4041,2752,5509,0.896140811074
2020-04-15,1,9,,,,,,,144,114,179,2162,1654,2735,4185,2866,5687,0.893453148947
2020-04-16,0,9,,,,,,,143,114,178,2167,1669,2732,4328,2980,5864,0.890694044645
2020-04-17,0,9,,,,,,,142,114,176,2169,1681,2724,4470,3094,6040,0.890710779542
2020-04-18,0,9,,,,,,,142,114,174,2168,1691,2713,4612,3208,6213,0.890777191496
2020-04-19,0,9,,,,,,,141,113,174,2166,1697,2701,4753,3321,6387,0.890916757051
2020-04-20,0,9,,,,,,,140,112,174,2162,1700,2689,4894,3434,6560,0.891164164142
