date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-02,,,,,,,,,55,25,75,55,25,75,55,25,75,1.40509536474
2020-03-03,,,,,,,,,55,25,75,111,50,150,111,50,150,1.40483882315
2020-03-04,,,,,,,,,55,25,75,166,75,225,166,75,225,1.40478130463
2020-03-05,,,,,,,,,55,25,75,222,100,300,222,100,300,1.4047108109
2020-03-06,,,,,,,,,55,25,75,277,125,375,277,125,375,1.40462439065
2020-03-07,,,,,,,,,55,25,75,333,150,450,333,150,450,1.40451841432
2020-03-08,,,,,,,,,55,25,75,388,175,525,388,175,525,1.40438841669
2020-03-09,,,,,,,,,55,25,75,444,200,600,444,200,600,1.40422890252
2020-03-10,,,,,,,,,55,25,75,499,225,675,499,225,675,1.40403310702
2020-03-11,,,,,,,,,130,64,180,630,289,855,630,289,855,1.40348529116
2020-03-12,,,,,,,,,130,64,180,759,354,1035,759,354,1035,1.40315165198
2020-03-13,,,,,,,,,134,67,186,893,422,1220,893,422,1220,1.40269804213
2020-03-14,,,,,,,,,144,73,200,1037,495,1419,1037,495,1419,1.40216187841
2020-03-15,,,,,,,,,164,86,229,1201,582,1648,1201,582,1648,1.40152040555
2020-03-16,,,,,,,,,195,105,273,1396,688,1921,1396,688,1921,1.40074650531
2020-03-17,,,,,,,,,218,121,307,1558,784,2152,1614,809,2227,1.39980383421
2020-03-18,,,,,,,,,237,133,334,1739,893,2411,1850,943,2561,1.39864906758
2020-03-19,,,,,,,,,258,148,365,1942,1016,2700,2108,1091,2925,1.39724420676
2020-03-20,,,,,,,,,281,166,399,2168,1158,3024,2389,1258,3324,1.39553946349
2020-03-21,,,,,,,,,311,188,442,2423,1321,3390,2700,1446,3765,1.39346861625
2020-03-22,,,,,,,,,341,211,486,2709,1508,3801,3042,1658,4251,1.39095119955
2020-03-23,,,,,,,,,371,235,529,3024,1718,4254,3412,1893,4779,1.38788866681
2020-03-24,,,,,,,,,401,260,573,3370,1954,4752,3814,2154,5352,1.3841676435
2020-03-25,,,,,,,,,434,287,619,3748,2217,5295,4248,2442,5970,1.37965505284
2020-03-26,1,1,,,,,,,469,317,669,4087,2469,5783,4717,2759,6638,1.37419474209
2020-03-27,1,2,,,,,,,506,350,720,4464,2755,6324,5223,3110,7358,1.36760745165
2020-03-28,3,5,,,,,,,545,385,772,4874,3073,6910,5768,3495,8129,1.35969339063
2020-03-29,1,6,,,,,,,583,421,825,5314,3422,7535,6351,3917,8954,1.35023973478
2020-03-30,0,6,,,,,,,623,460,883,5773,3796,8190,6974,4378,9837,1.3390321373
2020-03-31,4,10,,,,,,,663,501,942,6242,4191,8858,7637,4879,10778,1.32587195913
2020-04-01,1,11,,,,,,,704,543,997,6727,4614,9548,8341,5423,11775,1.31060017961
2020-04-02,1,12,,,,,,,743,586,1051,7233,5066,10264,9084,6009,12825,1.29312506991
2020-04-03,2,14,,,,,,,781,623,1093,7757,5541,10993,9865,6633,13917,1.27344833835
2020-04-04,0,14,,,,,,,818,647,1127,8294,6022,11721,10683,7280,15044,1.25168220441
2020-04-05,0,14,,,,,,,851,671,1158,8834,6505,12436,11534,7951,16201,1.2280518354
2020-04-06,1,15,,,,,,,882,681,1180,9375,6974,13130,12416,8633,17380,1.20288253827
2020-04-07,1,16,,,,,,,909,689,1201,9912,7429,13802,13325,9322,18581,1.17657621401
2020-04-08,3,19,,,,,,,932,696,1230,10443,7864,14459,14257,10019,19810,1.14958425123
2020-04-09,4,23,,,,,,,950,701,1247,10959,8278,15087,15207,10720,21057,1.1223825716
2020-04-10,9,32,,,,,,,965,705,1257,11455,8665,15675,16171,11425,22313,1.09545072112
2020-04-11,1,33,,,,,,,974,708,1281,11923,9024,16236,17146,12134,23593,1.06925346968
2020-04-12,2,35,,,,,,,980,708,1298,12358,9347,16762,18126,12843,24891,1.04422213489
2020-04-13,6,41,,,,,,,982,706,1293,12756,9631,17230,19108,13549,26183,1.02073411183
2020-04-14,2,43,,,,,,,980,702,1299,13113,9873,17646,20087,14251,27482,0.999091772571
2020-04-15,3,46,,,,,,,975,699,1287,13425,10071,17991,21062,14951,28769,0.97950447799
2020-04-16,9,55,,,,,,,967,697,1281,13688,10225,18275,22029,15648,30049,0.962078502633
2020-04-17,6,61,,,,,,,957,696,1271,13902,10334,18496,22986,16344,31320,0.946818405901
2020-04-18,6,67,,,,,,,945,692,1263,14066,10404,18666,23931,17037,32583,0.933640182196
2020-04-19,0,67,,,,,,,932,695,1236,14180,10452,18774,24863,17733,33818,0.922392975396
2020-04-20,5,72,,,,,,,918,697,1218,14246,10479,18835,25780,18431,35035,0.912884092238
2020-04-21,10,82,,,,,,,902,683,1205,14267,10481,18860,26683,19114,36240,0.904902279459
2020-04-22,7,89,,,,,,,887,665,1184,14245,10457,18844,27570,19780,37424,0.898236078461
2020-04-23,3,92,,,,,,,871,657,1151,14184,10418,18764,28440,20437,38574,0.892686247415
2020-04-24,8,100,,,,,,,854,646,1121,14088,10363,18638,29295,21083,39694,0.888072810023
2020-04-25,12,112,,,,,,,838,631,1101,13962,10289,18482,30133,21715,40794,0.884238010818
2020-04-26,8,120,,,,,,,822,619,1079,13809,10200,18281,30955,22335,41873,0.88104654033
2020-04-27,5,125,,,,,,,805,604,1065,13634,10096,18047,31760,22939,42937,0.878384156961
2020-04-28,12,137,,,,,,,789,591,1042,13442,9981,17796,32549,23531,43979,0.876155511131
2020-04-29,7,144,,,,,,,773,576,1016,13235,9856,17513,33322,24108,44995,0.874281690386
2020-04-30,8,152,,,,,,,757,563,1003,13018,9720,17228,34080,24672,45997,0.872697789701
2020-05-01,7,159,,,,,,,742,544,989,12792,9568,16936,34822,25216,46985,0.871350667169
2020-05-02,9,168,,,,,,,726,524,973,12562,9396,16638,35548,25740,47957,0.870196955453
2020-05-03,9,177,,,,,,,711,504,965,12328,9207,16340,36259,26244,48922,0.868997409638
2020-05-04,5,182,,,,,,,696,485,952,12093,8996,16057,36955,26730,49874,0.867962750445
2020-05-05,5,187,,,,,,,682,470,931,11857,8769,15770,37637,27200,50805,0.867052448143
2020-05-06,6,193,,,,,,,667,456,918,11621,8541,15483,38304,27656,51722,0.866231102196
2020-05-07,9,202,,,,,,,653,438,907,11387,8315,15205,38957,28095,52628,0.865455965309
2020-05-08,11,213,,,,,,,639,418,895,11156,8077,14949,39596,28514,53523,0.864756586274
2020-05-09,8,221,,,,,,,626,400,884,10927,7831,14712,40222,28914,54406,0.864456766075
2020-05-10,0,221,,,,,,,612,380,872,10701,7579,14484,40834,29294,55278,0.864165468424
