date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-27,,,,,,,,,77,50,100,77,50,100,77,50,100,2.33744286449
2020-02-28,,,,,,,,,77,50,100,153,100,200,153,100,200,2.33307644792
2020-02-29,,,,,,,,,77,50,100,230,150,300,230,150,300,2.3321145723
2020-03-01,,,,,,,,,77,50,100,306,200,400,306,200,400,2.33094208716
2020-03-02,,,,,,,,,77,50,100,383,250,500,383,250,500,2.32951348899
2020-03-03,,,,,,,,,77,50,100,459,300,600,459,300,600,2.32777372882
2020-03-04,,,,,,,,,77,50,100,536,350,700,536,350,700,2.32565633958
2020-03-05,,,,,,,,,77,50,100,612,400,800,612,400,800,2.32308125257
2020-03-06,,,,,,,,,77,50,100,689,450,900,689,450,900,2.31995227386
2020-03-07,,,,,,,,,252,159,371,940,609,1271,940,609,1271,2.31593693554
2020-03-08,,,,,,,,,251,159,368,1191,768,1638,1191,768,1638,2.31130562789
2020-03-09,,,,,,,,,270,170,400,1461,939,2038,1461,939,2038,2.30564187916
2020-03-10,,,,,,,,,308,193,467,1769,1132,2505,1769,1132,2505,2.29881590802
2020-03-11,,,,,,,,,389,241,605,2158,1374,3109,2158,1374,3109,2.29059297387
2020-03-12,,,,,,,,,515,317,820,2673,1692,3929,2673,1692,3929,2.28069957115
2020-03-13,,,,,,,,,617,379,990,3213,2021,4818,3289,2071,4918,2.26881054669
2020-03-14,,,,,,,,,714,437,1157,3851,2409,5874,4004,2509,6074,2.2545507952
2020-03-15,,,,,,,,,838,512,1367,4612,2871,7140,4842,3021,7440,2.23751611882
2020-03-16,,,,,,,,,995,606,1627,5530,3427,8667,5836,3627,9067,2.2172384523
2020-03-17,,,,,,,,,1192,726,1946,6645,4103,10513,7028,4353,11013,2.19318305189
2020-03-18,,,,,,,,,1404,858,2270,7973,4911,12682,8432,5211,13282,2.16476745915
2020-03-19,,,,,,,,,1629,1001,2595,9525,5863,15177,10060,6213,15877,2.13138580367
2020-03-20,,,,,,,,,1878,1165,2935,11326,6979,18011,11938,7379,18811,2.09246452362
2020-03-21,,,,,,,,,2157,1347,3292,13407,8276,21203,14096,8726,22103,2.04751309884
2020-03-22,1,1,,,,,,,2466,1557,3653,15621,9674,24485,16561,10283,25755,1.99617976452
