date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-01-09,,,,,,,,,91,50,150,91,50,150,91,50,150,1.11064449732
2020-01-10,,,,,,,,,91,50,150,181,100,300,181,100,300,1.11064428292
2020-01-11,,,,,,,,,91,50,150,272,150,450,272,150,450,1.11064423545
2020-01-12,,,,,,,,,91,50,150,362,200,600,362,200,600,1.11064417747
2020-01-13,,,,,,,,,91,50,150,453,250,750,453,250,750,1.11064410665
2020-01-14,,,,,,,,,91,50,150,543,300,900,543,300,900,1.11064402016
2020-01-15,,,,,,,,,91,50,150,634,350,1050,634,350,1050,1.11064391451
2020-01-16,,,,,,,,,91,50,150,724,400,1200,724,400,1200,1.11064378547
2020-01-17,,,,,,,,,91,50,150,815,450,1350,815,450,1350,1.11064362787
2020-01-18,,,,,,,,,187,109,300,1002,559,1650,1002,559,1650,1.11063398347
2020-01-19,,,,,,,,,186,109,299,1188,669,1949,1188,669,1949,1.11063256687
2020-01-20,,,,,,,,,191,112,305,1379,781,2253,1379,781,2253,1.11062982568
2020-01-21,,,,,,,,,200,119,318,1579,901,2571,1579,901,2571,1.1106270339
2020-01-22,,,,,,,,,220,133,346,1799,1034,2916,1799,1034,2916,1.11062410837
2020-01-23,,,,,,,,,251,154,391,2050,1188,3307,2050,1188,3307,1.11062096349
2020-01-24,,,,,,,,,273,170,422,2232,1309,3579,2323,1359,3729,1.11061743772
2020-01-25,,,,,,,,,290,182,445,2432,1442,3873,2613,1542,4173,1.11061335873
2020-01-26,,,,,,,,,307,195,468,2648,1588,4190,2920,1738,4640,1.11060880724
2020-01-27,,,,,,,,,325,210,491,2883,1748,4530,3245,1948,5130,1.11060382488
2020-01-28,,,,,,,,,347,227,519,3140,1926,4899,3592,2176,5649,1.11059835707
2020-01-29,,,,,,,,,370,245,548,3419,2122,5296,3962,2422,6196,1.11059233224
2020-01-30,,,,,,,,,390,262,573,3718,2335,5719,4352,2685,6769,1.1105856231
2020-01-31,,,,,,,,,410,279,597,4038,2564,6166,4762,2964,7366,1.11057814555
2020-02-01,,,,,,,,,430,297,621,4378,2811,6636,5193,3261,7986,1.11056981562
2020-02-02,1,1,,,,,,,452,315,645,4643,3017,6980,5645,3577,8630,1.1105605154
2020-02-03,0,1,,,,,,,474,335,672,4930,3244,7353,6119,3913,9301,1.11055008608
2020-02-04,0,1,,,,,,,496,355,712,5236,3487,7761,6615,4269,10013,1.11053832189
2020-02-05,0,1,,,,,,,518,376,753,5554,3744,8196,7132,4645,10766,1.1105249818
2020-02-06,0,1,,,,,,,540,397,795,5874,4008,8644,7672,5043,11560,1.11050978308
