date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-16,,,,,,,,,302,200,400,302,200,400,302,200,400,1.90889313737
2020-02-17,,,,,,,,,302,200,400,605,400,800,605,400,800,1.90758146483
2020-02-18,,,,,,,,,302,200,400,907,600,1200,907,600,1200,1.90728484759
2020-02-19,,,,,,,,,302,200,400,1209,800,1600,1209,800,1600,1.90692054304
2020-02-20,,,,,,,,,302,200,400,1512,1000,2000,1512,1000,2000,1.90647293677
2020-02-21,,,,,,,,,302,200,400,1814,1200,2400,1814,1200,2400,1.90592277504
2020-02-22,,,,,,,,,302,200,400,2116,1400,2800,2116,1400,2800,1.90524631354
2020-02-23,,,,,,,,,302,200,400,2419,1600,3200,2419,1600,3200,1.9044142706
2020-02-24,,,,,,,,,302,200,400,2721,1800,3600,2721,1800,3600,1.90339054337
2020-02-25,,,,,,,,,866,559,1195,3587,2359,4795,3587,2359,4795,1.90179627599
2020-02-26,,,,,,,,,862,557,1189,4449,2917,5983,4449,2917,5983,1.90020390277
2020-02-27,,,,,,,,,911,587,1261,5360,3505,7244,5360,3505,7244,1.89817454475
2020-02-28,,,,,,,,,1013,649,1411,6373,4155,8655,6373,4155,8655,1.89570496746
2020-02-29,,,,,,,,,1224,779,1722,7597,4934,10376,7597,4934,10376,1.89268641489
2020-03-01,,,,,,,,,1553,981,2207,9150,5915,12582,9150,5915,12582,1.88898785624
2020-03-02,,,,,,,,,1814,1140,2588,10662,6856,14770,10964,7056,15170,1.88444355202
2020-03-03,,,,,,,,,2047,1281,2932,12406,7937,17302,13010,8337,18102,1.87885529253
2020-03-04,,,,,,,,,2330,1451,3351,14434,9189,20252,15341,9789,21452,1.87201488034
2020-03-05,,,,,,,,,2677,1658,3863,16808,10647,23714,18018,11447,25314,1.86366714446
2020-03-06,,,,,,,,,3113,1920,4503,19619,12368,27816,21131,13368,29816,1.85350162838
2020-03-07,,,,,,,,,3577,2200,5152,22893,14368,32567,24707,15568,34967,1.84116085009
2020-03-08,,,,,,,,,4058,2493,5967,26649,16662,38134,28766,18062,40934,1.82624226896
2020-03-09,,,,,,,,,4582,2816,6753,30929,19278,44487,33348,20878,47687,1.80832150579
2020-03-10,,,,,,,,,5165,3179,7628,35791,22258,51714,38512,24058,55314,1.78696633753
2020-03-11,1,1,,,,,,,5812,3586,8559,40738,25285,59078,44324,27644,63872,1.76176721248
2020-03-12,0,1,,,,,,,6501,3999,9491,46376,28726,67381,50825,31644,73363,1.73238707355
2020-03-13,0,1,,,,,,,7211,4450,10433,52676,32589,76552,58036,36094,83796,1.69862129867
2020-03-14,1,2,,,,,,,7937,4916,11369,59600,36856,86510,65973,41011,95165,1.66045952174
2020-03-15,1,3,,,,,,,8672,5371,12206,67049,41448,96994,74645,46383,107370,1.61812889191
