date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-16,,,,,,,,,51,40,60,51,40,60,51,40,60,1.4102705542
2020-02-17,,,,,,,,,51,40,60,101,80,120,101,80,120,1.40969515779
2020-02-18,,,,,,,,,51,40,60,152,120,180,152,120,180,1.4095675378
2020-02-19,,,,,,,,,51,40,60,202,160,240,202,160,240,1.40941154937
2020-02-20,,,,,,,,,51,40,60,253,200,300,253,200,300,1.40922085442
2020-02-21,,,,,,,,,51,40,60,303,240,360,303,240,360,1.40898768217
2020-02-22,,,,,,,,,51,40,60,354,280,420,354,280,420,1.4087024964
2020-02-23,,,,,,,,,51,40,60,404,320,480,404,320,480,1.40835358069
2020-02-24,,,,,,,,,51,40,60,455,360,540,455,360,540,1.40792651875
2020-02-25,,,,,,,,,121,87,156,576,447,696,576,447,696,1.40731962533
2020-02-26,,,,,,,,,120,87,156,696,535,852,696,535,852,1.40666832206
2020-02-27,,,,,,,,,125,89,163,821,625,1014,821,625,1014,1.40585711667
2020-02-28,,,,,,,,,134,95,177,955,720,1191,955,720,1191,1.40486714625
2020-02-29,,,,,,,,,153,106,208,1108,827,1398,1108,827,1398,1.40365507945
2020-03-01,,,,,,,,,184,123,255,1292,951,1653,1292,951,1653,1.40216678451
2020-03-02,,,,,,,,,206,136,292,1448,1047,1885,1498,1087,1945,1.40033302473
2020-03-03,,,,,,,,,225,146,323,1622,1153,2147,1723,1233,2267,1.39806623473
2020-03-04,,,,,,,,,246,156,359,1817,1270,2445,1969,1390,2625,1.3952588986
2020-03-05,,,,,,,,,269,168,401,2036,1398,2786,2238,1558,3026,1.3917717311
2020-03-06,,,,,,,,,299,182,454,2284,1540,3179,2537,1740,3479,1.38742390009
2020-03-07,,,,,,,,,329,196,509,2562,1697,3628,2865,1937,3988,1.38198429202
2020-03-08,,,,,,,,,358,209,564,2869,1866,4131,3223,2146,4551,1.37516244704
2020-03-09,,,,,,,,,387,222,621,3206,2049,4691,3610,2369,5171,1.36660826087
2020-03-10,,,,,,,,,418,236,681,3573,2246,5312,4028,2606,5852,1.35592537762
2020-03-11,1,1,,,,,,,451,250,744,3903,2409,5900,4479,2857,6596,1.34271316621
2020-03-12,0,1,,,,,,,484,265,807,4267,2587,6551,4963,3122,7402,1.32664530701
2020-03-13,0,1,,,,,,,516,278,869,4659,2775,7257,5479,3401,8270,1.30757429221
2020-03-14,0,1,,,,,,,547,288,920,5071,2969,8000,6026,3689,9190,1.28562499482
2020-03-15,0,1,,,,,,,575,301,963,5493,3164,8755,6601,3991,10153,1.26122706297
2020-03-16,0,1,,,,,,,602,315,996,5911,3355,9496,7203,4306,11149,1.23506182642
2020-03-17,0,1,,,,,,,627,328,1020,6331,3547,10224,7830,4635,12168,1.20794722962
2020-03-18,0,1,,,,,,,649,341,1047,6755,3743,10948,8478,4977,13215,1.18071159941
2020-03-19,0,1,,,,,,,668,353,1083,7178,3940,11673,9146,5331,14297,1.15409823631
2020-03-20,0,1,,,,,,,685,364,1113,7593,4137,12385,9831,5695,15410,1.12871679847
2020-03-21,0,1,,,,,,,699,374,1142,7993,4329,13072,10530,6070,16551,1.10503569802
2020-03-22,2,3,,,,,,,711,384,1160,8375,4518,13723,11240,6455,17711,1.0833972375
2020-03-23,3,6,,,,,,,721,394,1174,8738,4703,14334,11961,6850,18884,1.06403412737
2020-03-24,0,6,,,,,,,729,404,1179,9079,4885,14892,12689,7254,20063,1.04707400105
2020-03-25,2,8,,,,,,,735,414,1172,9396,5062,15384,13424,7668,21235,1.03253359787
2020-03-26,0,8,,,,,,,740,424,1171,9686,5236,15811,14165,8093,22406,1.02031594019
2020-03-27,1,9,,,,,,,745,434,1159,9946,5404,16163,14909,8527,23565,1.01022391558
2020-03-28,5,14,,,,,,,748,443,1145,10178,5570,16439,15658,8971,24709,1.00199279423
2020-03-29,3,17,,,,,,,751,453,1137,10383,5734,16655,16409,9424,25845,0.995331524479
2020-03-30,7,24,,,,,,,753,462,1119,10561,5895,16811,17162,9887,26964,0.989958655696
2020-03-31,6,30,,,,,,,755,472,1113,10714,6053,16928,17916,10359,28076,0.985624632079
2020-04-01,0,30,,,,,,,756,481,1097,10843,6206,17005,18672,10841,29173,0.982120424562
2020-04-02,2,32,,,,,,,757,491,1081,10951,6355,17039,19429,11333,30254,0.979276921305
2020-04-03,5,37,,,,,,,757,500,1067,11041,6502,17023,20187,11833,31320,0.976959826795
2020-04-04,4,41,,,,,,,758,508,1052,11114,6645,16962,20945,12341,32372,0.97506330517
2020-04-05,5,46,,,,,,,758,514,1043,11173,6785,16864,21703,12855,33414,0.973504012985
2020-04-06,8,54,,,,,,,758,524,1039,11220,6924,16743,22460,13380,34453,0.972216118707
2020-04-07,1,55,,,,,,,757,531,1034,11257,7061,16602,23218,13911,35486,0.971147374795
2020-04-08,4,59,,,,,,,757,540,1029,11286,7197,16451,23975,14452,36514,0.970256099732
2020-04-09,4,63,,,,,,,756,549,1020,11307,7332,16300,24731,15001,37534,0.969508879484
2020-04-10,3,66,,,,,,,756,558,1012,11322,7466,16140,25487,15559,38546,0.96887881459
2020-04-11,8,74,,,,,,,755,567,999,11333,7599,15980,26242,16126,39544,0.968344174358
2020-04-12,5,79,,,,,,,754,576,984,11338,7731,15819,26996,16702,40528,0.967887354312
2020-04-13,8,87,,,,,,,753,579,969,11340,7858,15652,27749,17282,41497,0.967494061049
2020-04-14,7,94,,,,,,,752,582,963,11339,7977,15495,28501,17865,42459,0.967152669471
2020-04-15,1,95,,,,,,,751,582,957,11335,8088,15339,29251,18448,43415,0.966853712141
2020-04-16,8,103,,,,,,,749,580,951,11328,8187,15193,30000,19029,44365,0.96658947104
2020-04-17,6,109,,,,,,,748,578,945,11319,8274,15057,30748,19607,45310,0.9663536495
2020-04-18,7,116,,,,,,,746,576,939,11307,8350,14929,31494,20184,46248,0.966141107506
2020-04-19,4,120,,,,,,,745,574,933,11294,8417,14809,32239,20758,47181,0.96594764746
2020-04-20,6,126,,,,,,,743,575,927,11279,8478,14693,32982,21334,48107,0.965769840387
2020-04-21,10,136,,,,,,,741,577,920,11263,8532,14574,33723,21912,49026,0.96558903563
2020-04-22,5,141,,,,,,,739,579,914,11245,8580,14454,34463,22492,49940,0.965430231977
2020-04-23,5,146,,,,,,,738,581,907,11225,8621,14333,35200,23073,50847,0.9652828745
2020-04-24,8,154,,,,,,,736,582,901,11204,8654,14214,35936,23656,51747,0.965148575608
2020-04-25,5,159,,,,,,,734,579,897,11182,8675,14099,36669,24235,52644,0.965033165214
2020-04-26,6,165,,,,,,,731,578,897,11159,8687,13997,37401,24814,53540,0.964931980971
2020-04-27,2,167,,,,,,,729,580,889,11134,8691,13902,38130,25394,54429,0.964852154084
2020-04-28,0,167,,,,,,,727,581,882,11108,8693,13814,38857,25976,55310,0.964778477706
2020-04-29,11,178,,,,,,,725,575,883,11082,8686,13735,39582,26551,56193,0.964712253879
2020-04-30,10,188,,,,,,,722,565,884,11054,8668,13662,40305,27117,57076,0.964655067931
2020-05-01,4,192,,,,,,,720,556,885,11024,8644,13595,41025,27674,57960,0.964608846876
2020-05-02,5,197,,,,,,,718,550,886,10994,8617,13536,41742,28224,58845,0.964575932002
2020-05-03,0,197,,,,,,,715,546,886,10963,8587,13483,42457,28771,59731,0.964559166262
2020-05-04,3,200,,,,,,,713,541,887,10931,8553,13437,43170,29312,60618,0.964561998469
2020-05-05,10,210,,,,,,,710,531,887,10898,8509,13398,43880,29843,61504,0.964588607529
2020-05-06,8,218,,,,,,,707,525,888,10864,8457,13366,44587,30369,62392,0.96464404899
2020-05-07,7,225,,,,,,,705,520,889,10830,8398,13342,45292,30890,63281,0.964734426938
2020-05-08,6,231,,,,,,,702,515,892,10794,8332,13326,45994,31405,64172,0.964867093789
2020-05-09,6,237,,,,,,,699,507,893,10758,8257,13318,46694,31913,65065,0.965050879172
2020-05-10,7,244,,,,,,,697,500,894,10721,8178,13315,47390,32414,65959,0.96529634775
2020-05-11,5,249,,,,,,,694,493,895,10683,8093,13313,48084,32907,66853,0.965616082684
2020-05-12,3,252,,,,,,,691,486,897,10645,7998,13321,48775,33393,67750,0.966024987097
