date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-24,,,,,,,,,148,50,250,148,50,250,148,50,250,1.98346299531
2020-02-25,,,,,,,,,148,50,250,297,100,500,297,100,500,1.98174357132
2020-02-26,,,,,,,,,148,50,250,445,150,750,445,150,750,1.98136382876
2020-02-27,,,,,,,,,148,50,250,594,200,1000,594,200,1000,1.98090046919
2020-02-28,,,,,,,,,148,50,250,742,250,1250,742,250,1250,1.98033520157
2020-02-29,,,,,,,,,148,50,250,890,300,1500,890,300,1500,1.97964579138
2020-03-01,,,,,,,,,148,50,250,1039,350,1750,1039,350,1750,1.97880523727
2020-03-02,,,,,,,,,148,50,250,1187,400,2000,1187,400,2000,1.97778078806
2020-03-03,,,,,,,,,148,50,250,1336,450,2250,1336,450,2250,1.97653277426
2020-03-04,,,,,,,,,420,159,700,1755,609,2950,1755,609,2950,1.97483363401
2020-03-05,,,,,,,,,418,158,698,2173,768,3648,2173,768,3648,1.97296238997
2020-03-06,,,,,,,,,441,170,735,2615,938,4382,2615,938,4382,1.97065025831
2020-03-07,,,,,,,,,490,193,813,3104,1131,5195,3104,1131,5195,1.96785575515
2020-03-08,,,,,,,,,590,241,975,3694,1372,6170,3694,1372,6170,1.96447468896
2020-03-09,,,,,,,,,747,316,1228,4441,1688,7397,4441,1688,7397,1.96038350345
2020-03-10,,,,,,,,,870,376,1427,5162,2015,8573,5311,2065,8823,1.95543167851
2020-03-11,,,,,,,,,981,434,1603,5995,2400,9926,6291,2500,10426,1.94944168294
2020-03-12,,,,,,,,,1115,506,1825,6961,2857,11501,7407,3007,12251,1.94221922191
2020-03-13,,,,,,,,,1280,598,2197,8093,3405,13447,8686,3605,14447,1.93353130001
2020-03-14,,,,,,,,,1487,714,2631,9431,4070,15827,10173,4320,17077,1.92309839142
2020-03-15,,,,,,,,,1707,841,2980,10990,4862,18557,11880,5162,20057,1.91059385732
2020-03-16,,,,,,,,,1937,978,3322,12779,5790,21629,13818,6140,23379,1.89563846639
2020-03-17,,,,,,,,,2189,1133,3672,14819,6874,25050,16006,7274,27050,1.87780553093
2020-03-18,,,,,,,,,2470,1311,4113,17141,8136,28913,18476,8586,31163,1.85662334235
2020-03-19,1,1,,,,,,,2784,1516,4557,19505,9493,32770,21260,10102,35720,1.83159368198
2020-03-20,1,2,,,,,,,3121,1742,5001,22208,11076,37073,24381,11844,40720,1.80223346353
2020-03-21,0,2,,,,,,,3471,1986,5547,25237,12892,41885,27852,13831,46267,1.76813619201
2020-03-22,1,3,,,,,,,3832,2248,6054,28579,14947,47125,31683,16079,52320,1.72904264105
2020-03-23,0,3,,,,,,,4202,2528,6553,32191,17235,52704,35885,18607,58873,1.68489988285
2020-03-24,1,4,,,,,,,4575,2824,7011,36020,19743,58488,40460,21432,65884,1.63590053184
2020-03-25,0,4,,,,,,,4941,3130,7349,40091,22496,64409,45402,24562,73232,1.58250857867
2020-03-26,0,4,,,,,,,5289,3400,7632,44399,25462,70438,50691,27962,80864,1.52547945395
2020-03-27,1,5,,,,,,,5609,3679,7849,48893,28634,76462,56300,31641,88712,1.4658716016
2020-03-28,0,5,,,,,,,5895,3900,8070,53509,31936,82335,62195,35542,96782,1.40503278504
2020-03-29,5,10,,,,,,,6142,4070,8227,58164,35291,87932,68337,39612,105008,1.34453924937
2020-03-30,5,15,,,,,,,6347,4231,8402,62804,38681,93354,74685,43843,113410,1.28607015134
2020-03-31,3,18,,,,,,,6510,4371,8670,67377,42074,98701,81194,48215,122079,1.23121894565
2020-04-01,13,31,,,,,,,6631,4512,8981,71819,45453,104010,87825,52728,131060,1.18127981641
2020-04-02,5,36,,,,,,,6716,4628,9166,76065,48770,109062,94541,57356,140225,1.13707814737
2020-04-03,7,43,,,,,,,6770,4708,9197,80051,51962,113702,101311,62064,149421,1.09890692758
2020-04-04,11,54,,,,,,,6797,4770,9080,83728,54990,117781,108109,66835,158501,1.06658417892
2020-04-05,13,67,,,,,,,6802,4769,8965,87060,57773,121199,114911,71604,167466,1.03959442248
2020-04-06,24,91,,,,,,,6788,4739,9033,90016,60264,124179,121699,76343,176498,1.0172524674
2020-04-07,12,103,,,,,,,6758,4651,9083,92572,62387,126709,128458,80995,185581,0.998838149913
2020-04-08,21,124,,,,,,,6715,4652,9006,94712,64215,128703,135172,85647,194587,0.983680460068
2020-04-09,14,138,,,,,,,6661,4662,8833,96432,65747,130187,141833,90310,203419,0.971195640388
2020-04-10,33,171,,,,,,,6598,4632,8725,97741,66979,131280,148432,94942,212143,0.960894990145
2020-04-11,35,206,,,,,,,6529,4593,8621,98661,67894,132053,154961,99536,220764,0.95237737499
2020-04-12,30,236,,,,,,,6453,4554,8465,99219,68548,132447,161414,104090,229228,0.945316292256
2020-04-13,26,262,,,,,,,6374,4514,8294,99451,68992,132513,167788,108604,237521,0.939446542013
2020-04-14,40,302,,,,,,,6291,4475,8133,99394,69236,132244,174078,113080,245654,0.934552510427
2020-04-15,9,311,,,,,,,6205,4446,7918,99089,69311,131493,180284,117526,253571,0.930458535739
2020-04-16,8,319,,,,,,,6118,4417,7765,98576,69215,130277,186401,121943,261336,0.927021199216
2020-04-17,15,334,,,,,,,6029,4376,7620,97889,68964,128731,192430,126320,268955,0.924123201134
2020-04-18,87,421,,,,,,,5940,4329,7547,97059,68585,127081,198370,130650,276502,0.921668483055
2020-04-19,40,461,,,,,,,5850,4270,7471,96111,68086,125472,204220,134921,283972,0.919578317273
2020-04-20,121,582,,,,,,,5760,4220,7391,95069,67537,123897,209980,139142,291363,0.917788149805
2020-04-21,70,652,,,,,,,5670,4112,7317,93950,66910,122182,215650,143254,298679,0.916245036951
2020-04-22,46,698,,,,,,,5580,4035,7179,92772,66294,120277,221230,147289,305858,0.914905554837
2020-04-23,50,748,,,,,,,5491,3977,7065,91549,65619,118336,226721,151267,312922,0.913734089341
2020-04-24,50,798,,,,,,,5403,3938,6977,90291,64895,116481,232124,155205,319899,0.912701434191
2020-04-25,77,875,,,,,,,5315,3887,6888,89007,64150,114644,237439,159093,326787,0.911783640278
2020-04-26,35,910,,,,,,,5228,3845,6792,87706,63402,112815,242667,162938,333579,0.910961070733
2020-04-27,35,945,,,,,,,5142,3739,6634,86395,62587,110984,247809,166678,340212,0.910217625016
2020-04-28,71,1016,,,,,,,5056,3659,6561,85077,61733,109252,252865,170338,346772,0.909540101947
2020-04-29,62,1078,,,,,,,4972,3550,6480,83758,60808,107598,257837,173888,353251,0.908917676929
2020-04-30,62,1140,,,,,,,4888,3456,6398,82442,59818,106078,262725,177345,359649,0.90834147296
2020-05-01,-60,1080,,,,,,,4806,3389,6317,81130,58790,104629,267531,180734,365965,0.907804208737
2020-05-02,171,1251,,,,,,,4724,3298,6235,79825,57712,103244,272256,184033,372199,0.907299910091
2020-05-03,30,1281,,,,,,,4644,3196,6150,78529,56579,101848,276900,187230,378349,0.906823673467
2020-05-04,36,1317,,,,,,,4564,3098,6070,77244,55407,100447,281464,190328,384418,0.906360366204
2020-05-05,73,1390,,,,,,,4486,3037,5988,75970,54224,99044,285950,193366,390406,0.905901010286
2020-05-06,47,1437,,,,,,,4408,2957,5900,74708,53069,97626,290357,196323,396305,0.905471045837
2020-05-07,66,1503,,,,,,,4331,2888,5812,73459,51922,96259,294689,199212,402116,0.905058158587
2020-05-08,57,1560,,,,,,,4256,2801,5722,72223,50746,94916,298944,202013,407837,0.904670813465
