date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-10,,,,,,,,,202,100,300,202,100,300,202,100,300,2.11518899359
2020-02-11,,,,,,,,,202,100,300,404,200,600,404,200,600,2.11506045751
2020-02-12,,,,,,,,,202,100,300,606,300,900,606,300,900,2.11501540646
2020-02-13,,,,,,,,,202,100,300,808,400,1200,808,400,1200,2.1149545439
2020-02-14,,,,,,,,,202,100,300,1010,500,1500,1010,500,1500,2.11487230792
2020-02-15,,,,,,,,,202,100,300,1212,600,1800,1212,600,1800,2.11476117319
2020-02-16,,,,,,,,,202,100,300,1414,700,2100,1414,700,2100,2.11461095417
2020-02-17,,,,,,,,,202,100,300,1616,800,2400,1616,800,2400,2.11440785951
2020-02-18,,,,,,,,,202,100,300,1818,900,2700,1818,900,2700,2.11413320821
2020-02-19,,,,,,,,,609,319,920,2427,1219,3620,2427,1219,3620,2.11349696226
2020-02-20,,,,,,,,,607,318,916,3034,1538,4535,3034,1538,4535,2.11296123158
2020-02-21,,,,,,,,,646,341,976,3680,1880,5511,3680,1880,5511,2.11217978303
2020-02-22,,,,,,,,,727,388,1100,4408,2269,6610,4408,2269,6610,2.11115803481
2020-02-23,,,,,,,,,896,486,1357,5304,2756,7967,5304,2756,7967,2.10980337242
2020-02-24,,,,,,,,,1160,640,1758,6463,3396,9724,6463,3396,9724,2.10799289093
2020-02-25,,,,,,,,,1373,765,2081,7634,4062,11504,7836,4162,11804,2.10555491178
2020-02-26,,,,,,,,,1573,886,2385,9005,4848,13589,9409,5048,14189,2.10226133121
2020-02-27,,,,,,,,,1823,1039,2834,10626,5787,16122,11232,6087,17022,2.09783502798
2020-02-28,,,,,,,,,2138,1235,3406,12563,6922,19228,13371,7322,20428,2.09189449206
2020-02-29,,,,,,,,,2540,1486,4127,14901,8309,23054,15911,8809,24554,2.0839184679
2020-03-01,,,,,,,,,2977,1754,4867,17676,9963,27621,18888,10563,29421,2.07321710428
2020-03-02,,,,,,,,,3448,2055,5555,20923,11919,32876,22336,12619,34976,2.05888789233
2020-03-03,,,,,,,,,3977,2402,6276,24698,14222,38851,26313,15022,41251,2.03978702588
2020-03-04,,,,,,,,,4578,2807,7027,29074,16929,45577,30892,17829,48277,2.01450145689
2020-03-05,1,1,,,,,,,5253,3278,7953,33717,19888,52611,36144,21108,56230,1.98138615454
2020-03-06,0,1,,,,,,,5972,3804,8833,39082,23373,60528,42116,24912,65062,1.93873050471
2020-03-07,0,1,,,,,,,6705,4377,10218,45141,27409,69769,48821,29290,75280,1.8850924759
2020-03-08,1,2,,,,,,,7432,4995,10768,51845,32016,79437,56253,34285,86047,1.81974504425
2020-03-09,0,2,,,,,,,8127,5537,11514,59076,37066,89594,64380,39822,97560,1.74303842771
2020-03-10,1,3,,,,,,,8763,5990,12531,66680,42417,100367,73143,45813,110091,1.65649383164
2020-03-11,1,4,,,,,,,9305,6430,13090,74612,48082,111377,82449,52244,123181,1.5626014255
2020-03-12,0,4,,,,,,,9726,6814,13137,82765,54010,122129,92174,59059,136317,1.46444802847
2020-03-13,7,11,,,,,,,10009,6948,13574,90951,59919,132869,102184,66007,149890,1.36536294292
2020-03-14,2,13,,,,,,,10152,7127,13622,98965,65812,143084,112336,73135,163512,1.26866456087
2020-03-15,1,14,,,,,,,10160,7004,13839,106585,71330,152797,122496,80139,177351,1.17742997614
2020-03-16,0,14,,,,,,,10045,6861,13484,113653,76437,161414,132541,87000,190834,1.09422348294
2020-03-17,13,27,,,,,,,9827,6698,13262,120031,81079,169120,142367,93699,204095,1.02087005226
2020-03-18,1,28,,,,,,,9529,6515,12718,125583,85192,175562,151897,100215,216812,0.958369529416
2020-03-19,13,41,,,,,,,9178,6337,12131,130183,88723,180666,161074,106552,228943,0.906908783262
2020-03-20,13,54,,,,,,,8795,6162,11641,133725,91607,184354,169869,112715,240583,0.865911514703
2020-03-21,21,75,,,,,,,8397,5944,11087,136150,93747,186608,178266,118660,251669,0.834173351861
2020-03-22,23,98,,,,,,,7996,5771,10528,137441,95141,186918,186262,124431,262197,0.810129051287
2020-03-23,22,120,,,,,,,7600,5579,10088,137609,95726,186238,193862,130011,272284,0.792163456137
2020-03-24,2,122,,,,,,,7213,5294,9671,136695,95483,184395,201075,135306,281954,0.778834622871
2020-03-25,31,153,,,,,,,6839,5024,8993,134771,94516,180857,207914,140330,290947,0.768967161887
2020-03-26,38,191,,,,,,,6481,4773,8622,131946,92859,176389,214395,145103,299569,0.761653413182
2020-03-27,40,231,,,,,,,6140,4609,8267,128360,90653,171519,220535,149712,307835,0.756213340935
2020-03-28,33,264,,,,,,,5816,4325,7793,124167,88030,165738,226350,154038,315628,0.752145489857
