date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-03,,,,,,,,,303,200,400,303,200,400,303,200,400,2.77117016393
2020-03-04,,,,,,,,,303,200,400,606,400,800,606,400,800,2.68157638388
2020-03-05,,,,,,,,,303,200,400,909,600,1200,909,600,1200,2.64969565177
2020-03-06,,,,,,,,,303,200,400,1212,800,1600,1212,800,1600,2.60729756073
2020-03-07,,,,,,,,,303,200,400,1516,1000,2000,1516,1000,2000,2.55200144786
2020-03-08,,,,,,,,,303,200,400,1819,1200,2400,1819,1200,2400,2.48190569122
2020-03-09,,,,,,,,,303,200,400,2122,1400,2800,2122,1400,2800,2.39621732229
2020-03-10,,,,,,,,,303,200,400,2425,1600,3200,2425,1600,3200,2.29559673677
2020-03-11,,,,,,,,,303,200,400,2728,1800,3600,2728,1800,3600,2.18200243271
2020-03-12,,,,,,,,,895,647,1176,3623,2447,4776,3623,2447,4776,2.05782961277
2020-03-13,,,,,,,,,849,635,1086,4473,3082,5861,4473,3082,5861,1.92722055236
2020-03-14,,,,,,,,,857,665,1091,5330,3747,6952,5330,3747,6952,1.7931925216
2020-03-15,,,,,,,,,904,720,1145,6234,4468,8097,6234,4468,8097,1.65940690145
2020-03-16,,,,,,,,,1027,813,1298,7261,5281,9394,7261,5281,9394,1.52938874543
2020-03-17,,,,,,,,,1206,972,1631,8467,6253,11024,8467,6253,11024,1.40674078922
2020-03-18,,,,,,,,,1286,1031,1721,9450,7084,12345,9753,7284,12745,1.29506274761
2020-03-19,,,,,,,,,1314,1062,1750,10460,7947,13695,11066,8347,14495,1.19750005403
2020-03-20,,,,,,,,,1345,1090,1816,11502,8838,15110,12411,9438,16310,1.11606538092
2020-03-21,,,,,,,,,1380,1119,1872,12578,9757,16581,13791,10557,18181,1.05110269376
2020-03-22,,,,,,,,,1431,1164,1930,13706,10721,18111,15222,11721,20111,1.00130378631
2020-03-23,,,,,,,,,1468,1203,1949,14871,11724,19659,16689,12924,22059,0.964272509098
2020-03-24,,,,,,,,,1488,1232,1953,16055,12756,21212,18177,14156,24012,0.937274763478
2020-03-25,,,,,,,,,1500,1255,1952,17252,13812,22764,19677,15412,25964,0.917801339525
2020-03-26,,,,,,,,,1512,1275,1947,18461,14887,24311,21189,16687,27911,0.90381251759
2020-03-27,1,1,,,,,,,1527,1293,1947,19094,15534,25081,22717,17981,29857,0.893761507545
2020-03-28,1,2,,,,,,,1542,1304,1944,19786,16203,25940,24258,19286,31801,0.886519344532
2020-03-29,1,3,,,,,,,1552,1314,1936,20480,16853,26785,25810,20600,33736,0.881277629542
2020-03-30,0,3,,,,,,,1559,1335,1912,21134,17468,27552,27369,21936,35648,0.877462684008
2020-03-31,4,7,,,,,,,1564,1354,1902,21671,18010,28155,28932,23291,37549,0.874668338079
2020-04-01,0,7,,,,,,,1569,1367,1891,22034,18405,28416,30501,24658,39439,0.872606514207
2020-04-02,13,20,,,,,,,1573,1373,1880,22322,18746,28575,32075,26031,41319,0.871072241888
2020-04-03,5,25,,,,,,,1577,1390,1868,22585,19075,28693,33652,27422,43187,0.869919107275
2020-04-04,6,31,,,,,,,1579,1405,1855,22820,19389,28732,35231,28827,45042,0.869042196325
2020-04-05,0,31,,,,,,,1580,1405,1841,23020,19676,28701,36811,30233,46882,0.868366106051
2020-04-06,6,37,,,,,,,1580,1404,1826,23170,19917,28597,38391,31638,48707,0.867836442365
2020-04-07,4,41,,,,,,,1580,1403,1811,23282,20117,28459,39971,33042,50518,0.867413814121
2020-04-08,8,49,,,,,,,1579,1401,1796,23374,20286,28301,41551,34443,52313,0.867069588905
