date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-16,,,,,,,,,169,50,250,169,50,250,169,50,250,1.6214585916
2020-02-17,,,,,,,,,169,50,250,338,100,500,338,100,500,1.6214567439
2020-02-18,,,,,,,,,169,50,250,508,150,750,508,150,750,1.62145609732
2020-02-19,,,,,,,,,169,50,250,677,200,1000,677,200,1000,1.62145522443
2020-02-20,,,,,,,,,169,50,250,846,250,1250,846,250,1250,1.62145404599
2020-02-21,,,,,,,,,169,50,250,1015,300,1500,1015,300,1500,1.621452455
2020-02-22,,,,,,,,,169,50,250,1185,350,1750,1185,350,1750,1.62145030696
2020-02-23,,,,,,,,,169,50,250,1354,400,2000,1354,400,2000,1.62144740672
2020-02-24,,,,,,,,,169,50,250,1523,450,2250,1523,450,2250,1.62144349066
2020-02-25,,,,,,,,,428,139,650,1951,589,2900,1951,589,2900,1.62118932849
2020-02-26,,,,,,,,,426,139,648,2378,729,3548,2378,729,3548,1.62115107688
2020-02-27,,,,,,,,,444,146,677,2822,876,4224,2822,876,4224,1.62106217288
2020-02-28,,,,,,,,,482,162,738,3305,1039,4961,3305,1039,4961,1.62097022832
2020-02-29,,,,,,,,,562,195,865,3866,1234,5826,3866,1234,5826,1.62087028315
2020-03-01,,,,,,,,,685,245,1063,4552,1479,6888,4552,1479,6888,1.62075698408
2020-03-02,,,,,,,,,781,285,1215,5163,1715,7852,5333,1765,8102,1.6206203643
2020-03-03,,,,,,,,,861,321,1345,5855,1986,8947,6193,2086,9447,1.62044914584
2020-03-04,,,,,,,,,954,364,1497,6640,2300,10194,7147,2450,10944,1.62024464238
2020-03-05,,,,,,,,,1064,416,1677,7535,2667,11620,8212,2867,12620,1.62000422463
2020-03-06,,,,,,,,,1202,483,1903,8568,3100,13272,9414,3350,14522,1.61971803992
2020-03-07,,,,,,,,,1348,554,2141,9747,3604,15163,10762,3904,16663,1.6193728681
2020-03-08,,,,,,,,,1498,630,2386,11075,4185,17299,12260,4535,19049,1.61894980274
2020-03-09,,,,,,,,,1659,715,2650,12565,4850,19698,13919,5250,21698,1.6184290735
2020-03-10,,,,,,,,,1838,811,2943,14233,5612,22390,15757,6062,24640,1.61778506357
2020-03-11,1,1,,,,,,,2041,924,3276,15846,6396,25016,17797,6986,27915,1.61698172736
