date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-01,,,,,,,,,51,25,75,51,25,75,51,25,75,1.39357372768
2020-03-02,,,,,,,,,51,25,75,103,50,150,103,50,150,1.39336504945
2020-03-03,,,,,,,,,51,25,75,154,75,225,154,75,225,1.39331816498
2020-03-04,,,,,,,,,51,25,75,206,100,300,206,100,300,1.3932606702
2020-03-05,,,,,,,,,51,25,75,257,125,375,257,125,375,1.39319013986
2020-03-06,,,,,,,,,51,25,75,308,150,450,308,150,450,1.39310358724
2020-03-07,,,,,,,,,51,25,75,360,175,525,360,175,525,1.39299733235
2020-03-08,,,,,,,,,51,25,75,411,200,600,411,200,600,1.39286683879
2020-03-09,,,,,,,,,51,25,75,463,225,675,463,225,675,1.39270651187
2020-03-10,,,,,,,,,120,59,180,582,284,855,582,284,855,1.39237932814
2020-03-11,,,,,,,,,119,59,179,701,344,1034,701,344,1034,1.39212076575
2020-03-12,,,,,,,,,123,61,186,824,406,1219,824,406,1219,1.39178455093
2020-03-13,,,,,,,,,132,66,199,956,473,1418,956,473,1418,1.39137978447
2020-03-14,,,,,,,,,150,76,228,1105,549,1645,1105,549,1645,1.39088894914
2020-03-15,,,,,,,,,177,91,272,1283,640,1916,1283,640,1916,1.39029079117
2020-03-16,,,,,,,,,198,102,305,1430,717,2146,1481,742,2221,1.38955786107
2020-03-17,,,,,,,,,215,111,331,1593,804,2402,1696,854,2552,1.38865687602
2020-03-18,,,,,,,,,234,121,360,1776,901,2687,1930,976,2912,1.38755310952
2020-03-19,,,,,,,,,255,133,394,1979,1009,3005,2185,1109,3305,1.38620253446
2020-03-20,,,,,,,,,281,148,434,2209,1133,3364,2466,1258,3739,1.38454893683
2020-03-21,,,,,,,,,308,163,476,2465,1271,3764,2773,1421,4214,1.38252368802
2020-03-22,,,,,,,,,334,178,516,2748,1424,4204,3108,1599,4729,1.38004288578
2020-03-23,,,,,,,,,361,194,556,3058,1593,4684,3469,1793,5284,1.37700732738
2020-03-24,,,,,,,,,390,210,597,3396,1779,5206,3859,2004,5881,1.3732991689
2020-03-25,1,1,,,,,,,422,229,641,3698,1949,5667,4280,2234,6522,1.36877941341
2020-03-26,0,1,,,,,,,455,249,698,4034,2138,6186,4735,2483,7220,1.36328733287
2020-03-27,0,1,,,,,,,489,270,749,4400,2347,6749,5224,2754,7968,1.35664206344
2020-03-28,0,1,,,,,,,524,292,796,4792,2573,7346,5748,3046,8763,1.34864806363
2020-03-29,1,2,,,,,,,560,316,843,5202,2813,7961,6307,3362,9606,1.33910491892
2020-03-30,0,2,,,,,,,596,341,889,5621,3063,8578,6904,3703,10494,1.32782290544
2020-03-31,2,4,,,,,,,634,367,933,6057,3328,9206,7538,4071,11426,1.31464483093
2020-04-01,1,5,,,,,,,671,396,974,6512,3613,9849,8209,4467,12400,1.2994719331
2020-04-02,1,6,,,,,,,707,425,1014,6986,3917,10502,8916,4893,13413,1.28228920683
2020-04-03,4,10,,,,,,,743,456,1053,7474,4240,11162,9659,5350,14466,1.26318363988
2020-04-04,1,11,,,,,,,776,488,1093,7969,4581,11821,10435,5839,15559,1.24235001028
2020-04-05,1,12,,,,,,,808,520,1120,8469,4937,12465,11243,6359,16679,1.22008277714
2020-04-06,0,12,,,,,,,836,537,1141,8971,5296,13091,12079,6896,17819,1.19675699232
2020-04-07,1,13,,,,,,,862,557,1157,9473,5659,13692,12941,7453,18976,1.17280355291
2020-04-08,0,13,,,,,,,885,586,1195,9968,6035,14290,13826,8040,20171,1.14868325985
2020-04-09,3,16,,,,,,,904,602,1191,10450,6408,14840,14731,8642,21361,1.12486156869
2020-04-10,1,17,,,,,,,920,621,1218,10916,6780,15359,15651,9264,22579,1.10178397907
2020-04-11,2,19,,,,,,,933,635,1242,11360,7145,15852,16584,9899,23820,1.07985193025
2020-04-12,7,26,,,,,,,943,643,1265,11779,7496,16321,17527,10543,25084,1.0594004212
2020-04-13,0,26,,,,,,,949,660,1278,12169,7841,16757,18477,11203,26362,1.04067997338
2020-04-14,5,31,,,,,,,954,675,1284,12526,8175,17152,19430,11879,27645,1.02384595717
2020-04-15,5,36,,,,,,,956,684,1282,12848,8492,17500,20386,12564,28926,1.00895744071
2020-04-16,0,36,,,,,,,956,691,1274,13133,8788,17800,21342,13255,30200,0.995985882315
2020-04-17,8,44,,,,,,,954,697,1262,13380,9059,18049,22296,13953,31461,0.984831800149
2020-04-18,9,53,,,,,,,951,701,1247,13589,9304,18242,23248,14655,32708,0.975345850848
2020-04-19,2,55,,,,,,,947,705,1230,13760,9521,18379,24195,15360,33938,0.967350246362
2020-04-20,3,58,,,,,,,943,707,1221,13895,9708,18480,25138,16067,35158,0.960657245081
2020-04-21,0,58,,,,,,,937,708,1210,13996,9879,18549,26075,16776,36368,0.955082994073
2020-04-22,13,71,,,,,,,931,709,1198,14064,10031,18590,27005,17485,37565,0.950456491839
2020-04-23,7,78,,,,,,,924,706,1183,14103,10152,18578,27929,18192,38748,0.946624401689
2020-04-24,6,84,,,,,,,917,704,1161,14116,10254,18547,28846,18897,39908,0.943452815146
2020-04-25,9,93,,,,,,,910,702,1136,14105,10335,18466,29756,19599,41044,0.940827029405
2020-04-26,6,99,,,,,,,902,698,1130,14074,10397,18354,30658,20297,42173,0.938650183313
2020-04-27,0,99,,,,,,,894,690,1112,14025,10444,18201,31553,20988,43284,0.936841343695
2020-04-28,6,105,,,,,,,886,680,1093,13962,10464,18015,32439,21668,44377,0.93533341949
2020-04-29,7,112,,,,,,,878,674,1080,13887,10463,17812,33317,22342,45457,0.934071124218
2020-04-30,11,123,,,,,,,870,666,1081,13802,10444,17611,34188,23008,46537,0.933009102483
2020-05-01,8,131,,,,,,,862,657,1083,13708,10410,17420,35050,23666,47619,0.932110270829
2020-05-02,7,138,,,,,,,854,643,1082,13608,10357,17239,35904,24310,48700,0.931344384759
2020-05-03,13,151,,,,,,,846,634,1073,13502,10289,17065,36750,24944,49773,0.93068682258
2020-05-04,5,156,,,,,,,838,625,1064,13393,10209,16899,37588,25569,50836,0.930117566194
2020-05-05,6,162,,,,,,,830,618,1056,13280,10121,16734,38417,26188,51891,0.92962035486
2020-05-06,7,169,,,,,,,821,603,1057,13164,10015,16581,39239,26792,52948,0.929181987398
2020-05-07,3,172,,,,,,,813,593,1055,13046,9899,16438,40052,27385,54003,0.92879174978
2020-05-08,9,181,,,,,,,805,582,1055,12928,9775,16310,40857,27968,55057,0.928440947432
2020-05-09,10,191,,,,,,,797,572,1054,12807,9642,16203,41654,28540,56110,0.928122524186
2020-05-10,9,200,,,,,,,789,553,1053,12687,9494,16120,42443,29093,57163,0.927814441691
2020-05-11,8,208,,,,,,,781,533,1055,12565,9329,16045,43224,29627,58218,0.927538923415
2020-05-12,11,219,,,,,,,773,523,1057,12444,9162,15990,43996,30150,59274,0.927291895664
2020-05-13,12,231,,,,,,,765,514,1059,12322,8996,15956,44761,30664,60332,0.927065553466
2020-05-14,11,242,,,,,,,757,496,1060,12200,8818,15935,45517,31161,61392,0.926869737048
2020-05-15,11,253,,,,,,,749,487,1061,12078,8639,15916,46266,31648,62452,0.926710973649
2020-05-16,6,259,,,,,,,741,477,1062,11957,8459,15895,47007,32125,63514,0.92659436696
2020-05-17,6,265,,,,,,,733,467,1063,11836,8283,15876,47740,32593,64576,0.926491656315
2020-05-18,5,270,,,,,,,725,456,1063,11715,8105,15866,48465,33050,65639,0.926405501197
2020-05-19,6,276,,,,,,,717,442,1062,11594,7922,15865,49182,33492,66701,0.926339141983
2020-05-20,7,283,,,,,,,709,428,1062,11474,7732,15871,49891,33921,67762,0.926296516122
2020-05-21,11,294,,,,,,,702,415,1061,11354,7544,15874,50593,34336,68822,0.926282402863
2020-05-22,8,302,,,,,,,694,402,1060,11235,7352,15879,51287,34738,69881,0.926302595988
2020-05-23,0,302,,,,,,,686,389,1058,11116,7159,15882,51973,35128,70939,0.926364108071
2020-05-24,15,317,,,,,,,679,378,1057,10998,6966,15886,52652,35506,71996,0.926475410058
2020-05-25,3,320,,,,,,,671,368,1056,10881,6781,15889,53324,35875,73051,0.926646708589
2020-05-26,5,325,,,,,,,664,358,1055,10764,6606,15888,53988,36233,74105,0.926890263785
2020-05-27,4,329,,,,,,,657,348,1054,10648,6431,15885,54644,36582,75158,0.927220747407
2020-05-28,6,335,,,,,,,650,338,1052,10533,6256,15879,55294,36920,76210,0.927655636698
2020-05-29,9,344,,,,,,,642,329,1051,10419,6088,15870,55936,37250,77261,0.928215633349
2020-05-30,7,351,,,,,,,636,320,1050,10306,5921,15859,56572,37570,78310,0.928925087261
2020-05-31,5,356,,,,,,,629,311,1048,10194,5755,15845,57201,37881,79358,0.929812391749
2020-06-01,6,362,,,,,,,623,303,1047,10084,5591,15829,57824,38185,80405,0.930910298748
2020-06-02,5,367,,,,,,,617,295,1045,9976,5430,15811,58441,38481,81449,0.932256066081
2020-06-03,8,375,,,,,,,612,288,1043,9871,5277,15792,59053,38769,82492,0.933891268775
2020-06-04,8,383,,,,,,,607,280,1042,9768,5129,15772,59659,39050,83533,0.935861527496
2020-06-05,4,387,,,,,,,602,273,1042,9669,4988,15753,60262,39324,84575,0.938215343859
2020-06-06,5,392,,,,,,,598,265,1040,9573,4851,15734,60860,39590,85614,0.941002326823
2020-06-07,4,396,,,,,,,595,259,1044,9481,4720,15719,61455,39849,86657,0.944270521456
2020-06-08,4,400,,,,,,,592,253,1046,9395,4596,15708,62047,40103,87703,0.948062750079
2020-06-09,4,404,,,,,,,590,249,1048,9313,4477,15700,62637,40352,88750,0.952412002253
2020-06-10,6,410,,,,,,,589,246,1052,9238,4365,15697,63226,40599,89802,0.957336062917
2020-06-11,10,420,,,,,,,588,242,1062,9170,4259,15706,63814,40841,90864,0.962831904343
2020-06-12,0,420,,,,,,,588,237,1073,9109,4158,15727,64402,41079,91937,0.968870655265
2020-06-13,11,431,,,,,,,590,234,1085,9056,4063,15761,64992,41313,93021,0.975394169153
2020-06-14,4,435,,,,,,,592,234,1098,9012,3977,15809,65584,41548,94118,0.982314269744
2020-06-15,5,440,,,,,,,595,231,1114,8978,3898,15874,66179,41779,95232,0.989515472632
2020-06-16,7,447,,,,,,,599,231,1126,8953,3825,15953,66777,42011,96357,0.996861413709
2020-06-17,5,452,,,,,,,603,232,1137,8939,3762,16045,67380,42243,97494,1.00420442301
2020-06-18,4,456,,,,,,,609,231,1158,8936,3704,16160,67989,42474,98651,1.01139690665
2020-06-19,8,464,,,,,,,615,229,1182,8944,3653,16300,68604,42704,99833,1.01830272115
2020-06-20,2,466,,,,,,,622,227,1206,8964,3607,16464,69226,42931,101038,1.02480672388
2020-06-21,3,469,,,,,,,630,225,1232,8996,3566,16657,69856,43157,102270,1.03082116603
2020-06-22,0,469,,,,,,,638,224,1262,9039,3532,16875,70494,43381,103532,1.03628837193
2020-06-23,7,476,,,,,,,647,226,1293,9094,3504,17122,71141,43607,104824,1.04117994123
2020-06-24,4,480,,,,,,,657,227,1326,9161,3482,17400,71798,43834,106150,1.04549328879
2020-06-25,5,485,,,,,,,667,227,1360,9239,3463,17708,72465,44062,107509,1.04924659216
2020-06-26,4,489,,,,,,,678,228,1396,9329,3449,18041,73143,44290,108904,1.05247317737
2020-06-27,,,4,1,7,493,490,496,689,228,1432,9429,3439,18400,73832,44519,110336,
2020-06-28,,,4,1,7,497,492,503,701,228,1471,9540,3434,18786,74532,44748,111806,
2020-06-29,,,4,1,7,501,494,510,713,229,1510,9661,3429,19198,75245,44977,113316,
2020-06-30,,,4,1,7,505,496,517,725,230,1551,9791,3428,19635,75970,45208,114866,
2020-07-01,,,4,1,7,509,497,524,738,231,1593,9931,3427,20102,76708,45439,116459,
2020-07-02,,,4,1,7,513,499,531,751,231,1633,10079,3427,20598,77459,45670,118091,
2020-07-03,,,4,1,7,516,500,538,764,230,1674,10234,3426,21114,78223,45901,119765,
2020-07-04,,,4,1,7,520,502,545,777,230,1716,10397,3427,21648,79001,46131,121480,
2020-07-05,,,4,1,7,524,503,552,791,227,1759,10566,3427,22201,79792,46359,123239,
2020-07-06,,,4,1,8,528,505,559,805,228,1800,10741,3430,22768,80597,46587,125038,
2020-07-07,,,4,1,8,532,506,566,819,229,1841,10922,3435,23348,81416,46817,126879,
2020-07-08,,,4,1,8,535,508,573,834,228,1881,11109,3438,23935,82250,47046,128759,
2020-07-09,,,4,1,8,539,509,580,848,226,1917,11301,3437,24526,83099,47272,130675,
2020-07-10,,,4,1,8,543,511,587,863,225,1952,11497,3435,25119,83962,47497,132627,
2020-07-11,,,4,1,8,547,512,595,878,224,1993,11697,3431,25716,84840,47721,134620,
2020-07-12,,,4,1,8,551,514,602,893,223,2027,11902,3425,26311,85734,47945,136647,
2020-07-13,,,4,1,8,555,515,610,909,222,2062,12110,3419,26903,86643,48167,138709,
2020-07-14,,,4,1,8,558,516,617,925,220,2099,12322,3410,27491,87567,48387,140807,
2020-07-15,,,4,1,8,562,518,625,940,215,2134,12537,3395,28075,88507,48603,142941,
2020-07-16,,,4,1,9,566,519,633,956,215,2174,12756,3379,28656,89464,48818,145114,
2020-07-17,,,4,1,9,570,521,641,971,214,2219,12975,3362,29242,90435,49032,147333,
2020-07-18,,,4,1,9,574,522,650,985,212,2247,13197,3344,29815,91420,49245,149579,
2020-07-19,,,4,1,9,578,523,658,1000,209,2272,13419,3323,30371,92420,49455,151851,
2020-07-20,,,4,1,9,583,525,667,1014,206,2296,13642,3302,30908,93434,49662,154146,
2020-07-21,,,4,1,9,587,526,676,1028,204,2342,13865,3278,31450,94462,49866,156488,
2020-07-22,,,4,1,10,591,527,685,1042,201,2368,14088,3251,31977,95505,50068,158856,
2020-07-23,,,4,1,10,595,529,694,1055,199,2398,14310,3221,32494,96560,50267,161253,
2020-07-24,,,4,1,10,600,530,704,1068,196,2420,14530,3191,32997,97628,50464,163672,
2020-07-25,,,4,1,10,604,531,713,1081,193,2439,14748,3159,33484,98709,50657,166111,
2020-07-26,,,4,1,10,608,533,723,1093,190,2457,14963,3126,33948,99803,50847,168568,
2020-07-27,,,4,1,10,613,534,733,1105,188,2491,15175,3090,34412,100908,51036,171058,
2020-07-28,,,5,1,11,617,535,743,1117,184,2524,15383,3053,34874,102025,51220,173582,
2020-07-29,,,5,1,11,622,536,753,1128,181,2536,15586,3014,35311,103153,51402,176117,
2020-07-30,,,5,1,11,627,538,764,1139,177,2546,15784,2976,35722,104292,51579,178663,
2020-07-31,,,5,1,11,632,539,774,1149,173,2582,15977,2935,36131,105440,51753,181244,
2020-08-01,,,5,1,11,636,540,785,1158,172,2614,16164,2893,36526,106599,51926,183858,
2020-08-02,,,5,1,11,641,541,796,1168,167,2643,16347,2848,36923,107766,52094,186501,
2020-08-03,,,5,1,12,646,543,807,1176,164,2678,16523,2803,37329,108943,52258,189179,
2020-08-04,,,5,1,12,651,544,818,1185,160,2698,16693,2756,37731,110127,52418,191877,
2020-08-05,,,5,1,12,656,545,830,1192,156,2714,16857,2709,38103,111320,52575,194590,
2020-08-06,,,5,1,12,661,546,841,1200,153,2739,17015,2660,38473,112519,52728,197329,
2020-08-07,,,5,1,12,666,547,853,1206,149,2776,17165,2610,38852,113725,52877,200104,
