date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-28,,,,,,,,,24,10,40,24,10,40,24,10,40,1.43456308316
2020-02-29,,,,,,,,,24,10,40,49,20,80,49,20,80,1.43449772489
2020-03-01,,,,,,,,,24,10,40,73,30,120,73,30,120,1.4344831556
2020-03-02,,,,,,,,,24,10,40,97,40,160,97,40,160,1.43446532686
2020-03-03,,,,,,,,,24,10,40,121,50,200,121,50,200,1.4344435056
2020-03-04,,,,,,,,,24,10,40,146,60,240,146,60,240,1.43441679263
2020-03-05,,,,,,,,,24,10,40,170,70,280,170,70,280,1.43438408465
2020-03-06,,,,,,,,,24,10,40,194,80,320,194,80,320,1.43434402741
2020-03-07,,,,,,,,,24,10,40,218,90,360,218,90,360,1.43429495804
2020-03-08,,,,,,,,,57,25,96,275,115,456,275,115,456,1.43413852629
2020-03-09,,,,,,,,,57,25,96,332,141,552,332,141,552,1.43405280335
2020-03-10,,,,,,,,,59,27,99,391,168,651,391,168,651,1.43393396035
2020-03-11,,,,,,,,,63,29,107,454,198,757,454,198,757,1.43379481108
2020-03-12,,,,,,,,,72,34,122,525,232,879,525,232,879,1.43362954715
2020-03-13,,,,,,,,,85,42,146,611,275,1024,611,275,1024,1.43343129474
2020-03-14,,,,,,,,,96,48,164,682,313,1148,706,323,1188,1.43319064242
2020-03-15,,,,,,,,,104,53,179,762,357,1286,810,377,1366,1.43289640807
2020-03-16,,,,,,,,,113,59,195,850,407,1440,923,437,1560,1.43253958565
2020-03-17,,,,,,,,,124,66,213,950,464,1613,1047,504,1773,1.43210801856
2020-03-18,,,,,,,,,137,75,236,1063,530,1809,1184,580,2009,1.43158496834
2020-03-19,,,,,,,,,151,85,260,1189,605,2029,1335,665,2269,1.43094979134
2020-03-20,,,,,,,,,164,95,284,1329,690,2272,1499,760,2552,1.43017662225
2020-03-21,,,,,,,,,178,105,308,1483,786,2539,1677,866,2859,1.42923515303
2020-03-22,,,,,,,,,193,116,334,1652,892,2833,1870,982,3193,1.42808856652
2020-03-23,1,1,,,,,,,210,129,362,1805,996,3098,2080,1112,3554,1.42669150285
2020-03-24,0,1,,,,,,,228,144,392,1977,1115,3394,2309,1256,3946,1.42498840673
2020-03-25,0,1,,,,,,,247,159,423,2165,1247,3718,2556,1416,4368,1.42291168781
2020-03-26,0,1,,,,,,,267,175,456,2369,1393,4067,2823,1591,4824,1.42038003672
2020-03-27,0,1,,,,,,,288,193,489,2586,1552,4434,3111,1785,5312,1.41729619584
2020-03-28,1,2,,,,,,,311,209,527,2812,1718,4815,3422,1994,5839,1.41354454344
2020-03-29,0,2,,,,,,,335,228,563,3051,1899,5214,3757,2223,6401,1.40898919612
2020-03-30,1,3,,,,,,,360,249,601,3307,2094,5637,4117,2472,7002,1.4034730478
2020-03-31,0,3,,,,,,,387,271,643,3581,2306,6085,4504,2743,7645,1.39681855856
2020-04-01,0,3,,,,,,,414,293,689,3871,2532,6560,4918,3036,8333,1.38883112593
2020-04-02,0,3,,,,,,,443,316,730,4177,2773,7054,5361,3353,9063,1.37930620802
2020-04-03,2,5,,,,,,,472,339,766,4499,3027,7560,5834,3693,9828,1.36804135341
2020-04-04,2,7,,,,,,,502,363,804,4837,3296,8080,6336,4056,10632,1.35485348207
2020-04-05,2,9,,,,,,,532,386,840,5191,3577,8612,6868,4443,11471,1.33960028616
2020-04-06,0,9,,,,,,,562,408,866,5560,3869,9145,7430,4852,12337,1.32220271987
2020-04-07,0,9,,,,,,,591,430,897,5941,4169,9680,8021,5282,13234,1.30266427999
2020-04-08,4,13,,,,,,,619,450,930,6331,4476,10218,8640,5733,14163,1.28108318667
2020-04-09,8,21,,,,,,,645,463,966,6729,4780,10761,9285,6196,15129,1.25765575408
2020-04-10,0,21,,,,,,,669,469,996,7131,5074,11302,9954,6666,16125,1.23267194204
2020-04-11,1,22,,,,,,,691,474,1011,7533,5355,11824,10644,7140,17135,1.20650543898
2020-04-12,1,23,,,,,,,710,478,1020,7932,5624,12317,11354,7619,18155,1.17959990059
2020-04-13,0,23,,,,,,,725,481,1023,8322,5877,12776,12080,8100,19177,1.15245112097
2020-04-14,2,25,,,,,,,738,483,1022,8700,6111,13197,12818,8584,20199,1.12558365335
2020-04-15,7,32,,,,,,,748,485,1038,9062,6325,13592,13566,9069,21237,1.09952088601
