date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-24,,,,,,,,,160,50,250,160,50,250,160,50,250,2.1088399934
2020-02-25,,,,,,,,,160,50,250,320,100,500,320,100,500,2.10628147596
2020-02-26,,,,,,,,,160,50,250,480,150,750,480,150,750,2.10586955823
2020-02-27,,,,,,,,,160,50,250,640,200,1000,640,200,1000,2.1053916547
2020-02-28,,,,,,,,,160,50,250,801,250,1250,801,250,1250,2.10483729198
2020-02-29,,,,,,,,,160,50,250,961,300,1500,961,300,1500,2.10419435962
2020-03-01,,,,,,,,,160,50,250,1121,350,1750,1121,350,1750,2.10344885923
2020-03-02,,,,,,,,,160,50,250,1281,400,2000,1281,400,2000,2.10258461502
2020-03-03,,,,,,,,,160,50,250,1441,450,2250,1441,450,2250,2.101582939
2020-03-04,,,,,,,,,482,159,800,1923,609,3050,1923,609,3050,2.10039515155
2020-03-05,,,,,,,,,480,159,798,2402,768,3848,2402,768,3848,2.09904712178
2020-03-06,,,,,,,,,510,170,855,2913,938,4702,2913,938,4702,2.09747943089
2020-03-07,,,,,,,,,573,193,973,3486,1132,5675,3486,1132,5675,2.09566564184
2020-03-08,,,,,,,,,704,242,1218,4190,1374,6892,4190,1374,6892,2.0935664011
2020-03-09,,,,,,,,,909,317,1602,5099,1692,8493,5099,1692,8493,2.09113613022
2020-03-10,,,,,,,,,1074,379,1916,6012,2022,10159,6172,2072,10409,2.08832108165
2020-03-11,,,,,,,,,1227,438,2218,7079,2410,12126,7399,2510,12626,2.08505849256
2020-03-12,,,,,,,,,1418,513,2602,8336,2874,14477,8816,3024,15227,2.0812772333
2020-03-13,,,,,,,,,1657,608,3092,9833,3433,17319,10474,3633,18319,2.07689223183
2020-03-14,,,,,,,,,1963,731,3721,11636,4114,20789,12437,4364,22039,2.07180069769
2020-03-15,,,,,,,,,2298,866,4420,13774,4931,24958,14735,5231,26458,2.06587860361
2020-03-16,,,,,,,,,2661,1016,5190,16275,5898,29898,17396,6248,31648,2.05897482011
