date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-15,,,,,,,,,54,40,60,54,40,60,54,40,60,2.21086793014
2020-02-16,,,,,,,,,54,40,60,109,80,120,109,80,120,2.21059722446
2020-02-17,,,,,,,,,54,40,60,163,120,180,163,120,180,2.21050189074
2020-02-18,,,,,,,,,54,40,60,218,160,240,218,160,240,2.21037281467
2020-02-19,,,,,,,,,54,40,60,272,200,300,272,200,300,2.21019795226
2020-02-20,,,,,,,,,54,40,60,327,240,360,327,240,360,2.20996090173
2020-02-21,,,,,,,,,54,40,60,381,280,420,381,280,420,2.20963929418
2020-02-22,,,,,,,,,54,40,60,436,320,480,436,320,480,2.20920257341
2020-02-23,,,,,,,,,54,40,60,490,360,540,490,360,540,2.20860892545
2020-02-24,,,,,,,,,174,119,204,664,479,744,664,479,744,2.20777310298
2020-02-25,,,,,,,,,174,119,204,838,599,948,838,599,948,2.20666871772
2020-02-26,,,,,,,,,186,127,220,1024,726,1168,1024,726,1168,2.20515520241
2020-02-27,,,,,,,,,212,142,254,1236,869,1422,1236,869,1422,2.20309084849
2020-02-28,,,,,,,,,265,174,324,1501,1044,1746,1501,1044,1746,2.20026828823
2020-02-29,,,,,,,,,349,225,435,1850,1269,2180,1850,1269,2180,2.19640106769
2020-03-01,,,,,,,,,417,265,527,2213,1495,2647,2267,1535,2707,2.19109234088
2020-03-02,,,,,,,,,482,303,619,2640,1758,3206,2749,1838,3326,2.18379466603
2020-03-03,,,,,,,,,564,350,738,3150,2069,3884,3313,2189,4064,2.1737598654
2020-03-04,,,,,,,,,667,406,893,3763,2436,4717,3980,2596,4957,2.15997159494
