date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-16,,,,,,,,,186,50,250,186,50,250,186,50,250,1.64437678188
2020-02-17,,,,,,,,,186,50,250,373,100,500,373,100,500,1.63888211017
2020-02-18,,,,,,,,,186,50,250,559,150,750,559,150,750,1.63800207003
2020-02-19,,,,,,,,,186,50,250,746,200,1000,746,200,1000,1.63698133727
2020-02-20,,,,,,,,,186,50,250,932,250,1250,932,250,1250,1.63579708982
2020-02-21,,,,,,,,,186,50,250,1119,300,1500,1119,300,1500,1.63442250446
2020-02-22,,,,,,,,,186,50,250,1305,350,1750,1305,350,1750,1.63282587834
2020-02-23,,,,,,,,,186,50,250,1492,400,2000,1492,400,2000,1.63096947952
2020-02-24,,,,,,,,,186,50,250,1678,450,2250,1678,450,2250,1.62880802391
2020-02-25,,,,,,,,,475,147,722,2154,597,2972,2154,597,2972,1.6262748974
2020-02-26,,,,,,,,,473,146,715,2627,743,3686,2627,743,3686,1.62332495429
2020-02-27,,,,,,,,,493,154,751,3120,897,4437,3120,897,4437,1.61986241373
2020-02-28,,,,,,,,,537,171,829,3657,1068,5266,3657,1068,5266,1.61578581484
2020-02-29,,,,,,,,,627,207,991,4284,1276,6256,4284,1276,6256,1.61096432419
2020-03-01,,,,,,,,,768,263,1242,5052,1539,7498,5052,1539,7498,1.60523299739
2020-03-02,,,,,,,,,875,306,1426,5740,1795,8673,5927,1845,8923,1.59838455
2020-03-03,,,,,,,,,964,343,1598,6518,2089,10021,6891,2189,10521,1.59016237693
2020-03-04,,,,,,,,,1068,387,1808,7399,2426,11579,7959,2576,12329,1.58025810524
2020-03-05,,,,,,,,,1189,441,2062,8401,2818,13390,9147,3018,14390,1.56831683646
2020-03-06,,,,,,,,,1338,507,2380,9553,3276,15520,10485,3526,16770,1.55395915708
2020-03-07,,,,,,,,,1488,575,2715,10854,3802,17984,11973,4102,19484,1.53682538253
2020-03-08,,,,,,,,,1633,643,3058,12300,4396,20791,13606,4746,22541,1.51664080701
2020-03-09,,,,,,,,,1779,715,3422,13893,5061,23963,15385,5461,25963,1.49328975759
2020-03-10,,,,,,,,,1930,800,3782,15637,5812,27494,17315,6262,29744,1.46687270555
2020-03-11,1,1,,,,,,,2087,906,4240,17248,6571,31013,19402,7168,33984,1.43772171364
2020-03-12,0,1,,,,,,,2242,1021,4673,19017,7447,34971,21643,8190,38657,1.40636635221
2020-03-13,3,4,,,,,,,2389,1144,5073,20912,8437,39292,24032,9335,43729,1.37346608954
2020-03-14,1,5,,,,,,,2527,1205,5330,22902,9471,43793,26559,10540,49058,1.3397369605
2020-03-15,0,5,,,,,,,2658,1247,5448,24932,10512,48250,29217,11788,54506,1.30589351255
2020-03-16,0,5,,,,,,,2781,1303,5532,26946,11552,52540,31998,13091,60037,1.27261291385
2020-03-17,0,5,,,,,,,2896,1351,5561,28967,12597,56675,34893,14443,65598,1.24051714417
2020-03-18,14,19,,,,,,,3000,1399,5623,31002,13653,60700,37893,15842,71221,1.21016344138
2020-03-19,6,25,,,,,,,3093,1443,5731,33028,14709,64622,40986,17286,76951,1.18203167313
2020-03-20,7,32,,,,,,,3177,1494,5873,35016,15762,68434,44163,18780,82824,1.15650115302
2020-03-21,6,38,,,,,,,3252,1542,6060,36931,16797,72114,47416,20323,88883,1.13381927477
2020-03-22,10,48,,,,,,,3321,1590,6192,38763,17812,75591,50736,21914,95074,1.11407529586
2020-03-23,1,49,,,,,,,3383,1638,6193,40513,18806,78726,54119,23552,101267,1.09719592362
2020-03-24,6,55,,,,,,,3439,1684,6168,42172,19775,81472,57557,25237,107434,1.08297043921
2020-03-25,3,58,,,,,,,3490,1730,6137,43732,20705,83827,61047,26967,113571,1.07109799731
2020-03-26,20,78,,,,,,,3537,1777,6102,45183,21576,85689,64585,28745,119673,1.06124034446
2020-03-27,9,87,,,,,,,3581,1823,6065,46522,22378,87081,68166,30569,125737,1.05306496598
2020-03-28,15,102,,,,,,,3622,1870,6026,47756,23104,88035,71788,32439,131763,1.04627201839
2020-03-29,12,114,,,,,,,3660,1917,6027,48889,23816,88732,75448,34356,137790,1.04060606928
2020-03-30,8,122,,,,,,,3696,1964,6057,49927,24532,89341,79144,36321,143846,1.0358572848
2020-03-31,14,136,,,,,,,3730,2011,6079,50875,25240,89887,82873,38332,149924,1.03185691496
2020-04-01,21,157,,,,,,,3761,2058,6092,51741,25947,90418,86635,40390,156016,1.02847060919
2020-04-02,13,170,,,,,,,3792,2105,6099,52533,26653,90895,90426,42496,162115,1.02559160885
2020-04-03,11,181,,,,,,,3820,2152,6100,53260,27362,91264,94247,44648,168214,1.02313476175
2020-04-04,10,191,,,,,,,3848,2199,6057,53931,28067,91447,98094,46847,174270,1.02103164748
2020-04-05,7,198,,,,,,,3874,2246,6012,54553,28771,91399,101968,49094,180281,1.01922677611
2020-04-06,11,209,,,,,,,3899,2293,5967,55131,29474,91174,105868,51388,186247,1.01767469481
2020-04-07,12,221,,,,,,,3923,2340,5921,55672,30176,90901,109791,53729,192168,1.01633781083
2020-04-08,19,240,,,,,,,3947,2387,5876,56181,30880,90609,113738,56117,198043,1.01518475759
2020-04-09,40,280,,,,,,,3969,2434,5830,56660,31584,90303,117707,58552,203873,1.01418916327
2020-04-10,26,306,,,,,,,3991,2481,5785,57114,32288,89985,121699,61034,209657,1.01332871413
2020-04-11,21,327,,,,,,,4013,2528,5739,57546,32994,89659,125711,63563,215396,1.01258443295
2020-04-12,46,373,,,,,,,4033,2575,5694,57957,33699,89327,129745,66139,221089,1.01194011491
2020-04-13,26,399,,,,,,,4053,2622,5659,58350,34404,88959,133798,68761,226748,1.01138187982
2020-04-14,60,459,,,,,,,4073,2669,5631,58727,35110,88533,137871,71431,232378,1.01089781104
2020-04-15,10,469,,,,,,,4092,2716,5602,59090,35815,88057,141963,74147,237980,1.01047766053
2020-04-16,27,496,,,,,,,4111,2762,5572,59439,36519,87536,146074,76910,243552,1.01011260465
2020-04-17,24,520,,,,,,,4129,2809,5585,59777,37224,87022,150203,79720,249136,1.00979503996
2020-04-18,15,535,,,,,,,4147,2856,5604,60103,37927,86526,154350,82576,254740,1.00951841106
2020-04-19,47,582,,,,,,,4165,2902,5621,60420,38630,86091,158515,85478,260360,1.00927706431
2020-04-20,8,590,,,,,,,4182,2948,5616,60728,39333,85695,162696,88427,265975,1.00906612301
2020-04-21,26,616,,,,,,,4199,2995,5604,61027,40034,85332,166895,91423,271579,1.00888138046
2020-04-22,19,635,,,,,,,4215,3041,5570,61319,40735,84981,171110,94464,277149,1.00871920806
2020-04-23,12,647,,,,,,,4232,3087,5530,61604,41434,84636,175342,97552,282679,1.00857647606
2020-04-24,42,689,,,,,,,4248,3133,5517,61882,42133,84323,179590,100685,288196,1.00845048539
2020-04-25,31,720,,,,,,,4263,3179,5524,62154,42830,84063,183853,103865,293719,1.00833890871
2020-04-26,23,743,,,,,,,4279,3225,5533,62421,43527,83856,188132,107090,299252,1.0082397395
2020-04-27,22,765,,,,,,,4294,3270,5527,62681,44222,83690,192426,110361,304778,1.00815124815
2020-04-28,8,773,,,,,,,4309,3315,5538,62937,44915,83569,196735,113677,310316,1.00807194396
