date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-22,,,,,,,,,148,100,200,148,100,200,148,100,200,1.65581901546
2020-02-23,,,,,,,,,148,100,200,297,200,400,297,200,400,1.65536385801
2020-02-24,,,,,,,,,148,100,200,445,300,600,445,300,600,1.65526315586
2020-02-25,,,,,,,,,148,100,200,594,400,800,594,400,800,1.65514019269
2020-02-26,,,,,,,,,148,100,200,742,500,1000,742,500,1000,1.65499005676
2020-02-27,,,,,,,,,148,100,200,891,600,1200,891,600,1200,1.65480675707
2020-02-28,,,,,,,,,148,100,200,1039,700,1400,1039,700,1400,1.65458298831
2020-02-29,,,,,,,,,148,100,200,1187,800,1600,1187,800,1600,1.65430984562
2020-03-01,,,,,,,,,148,100,200,1336,900,1800,1336,900,1800,1.653976479
2020-03-02,,,,,,,,,389,259,520,1725,1159,2320,1725,1159,2320,1.65349801444
2020-03-03,,,,,,,,,388,258,518,2113,1418,2838,2113,1418,2838,1.6529927561
2020-03-04,,,,,,,,,406,270,542,2518,1689,3379,2518,1689,3379,1.65236376845
2020-03-05,,,,,,,,,443,294,590,2962,1983,3969,2962,1983,3969,1.65160205915
2020-03-06,,,,,,,,,521,345,692,3483,2329,4661,3483,2329,4661,1.6506775665
2020-03-07,,,,,,,,,643,424,850,4126,2753,5511,4126,2753,5511,1.64955410113
2020-03-08,,,,,,,,,737,485,973,4715,3139,6283,4863,3239,6483,1.64818678507
2020-03-09,,,,,,,,,818,536,1077,5385,3575,7160,5681,3775,7560,1.6465216795
2020-03-10,,,,,,,,,913,597,1198,6149,4073,8158,6594,4373,8758,1.64449850761
2020-03-11,,,,,,,,,1026,668,1342,7026,4641,9300,7620,5041,10100,1.64204334123
