date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-03,,,,,,,,,34,10,40,34,10,40,34,10,40,1.69166666667
2020-03-04,,,,,,,,,34,10,40,68,20,80,68,20,80,1.68346530556
2020-03-05,,,,,,,,,34,10,40,102,30,120,102,30,120,1.68163966458
2020-03-06,,,,,,,,,34,10,40,136,40,160,136,40,160,1.6794037456
2020-03-07,,,,,,,,,34,10,40,170,50,200,170,50,200,1.67666286691
2020-03-08,,,,,,,,,34,10,40,204,60,240,204,60,240,1.67329897628
2020-03-09,,,,,,,,,34,10,40,238,70,280,238,70,280,1.66916408073
2020-03-10,,,,,,,,,34,10,40,272,80,320,272,80,320,1.66407159176
2020-03-11,,,,,,,,,34,10,40,306,90,360,306,90,360,1.6577850914
2020-03-12,,,,,,,,,89,31,126,395,121,486,395,121,486,1.64984088064
2020-03-13,,,,,,,,,88,31,125,483,153,611,483,153,611,1.64016636523
2020-03-14,,,,,,,,,92,34,132,575,188,742,575,188,742,1.62810922472
2020-03-15,,,,,,,,,100,38,146,675,226,888,675,226,888,1.61312746623
2020-03-16,,,,,,,,,117,48,177,792,275,1064,792,275,1064,1.59455475777
2020-03-17,,,,,,,,,142,63,220,934,339,1284,934,339,1284,1.57169222127
2020-03-18,,,,,,,,,160,76,249,1059,405,1492,1093,415,1532,1.54391313233
2020-03-19,,,,,,,,,173,88,264,1199,483,1716,1267,503,1796,1.51081776936
2020-03-20,,,,,,,,,188,103,285,1352,577,1960,1455,607,2080,1.47239318852
2020-03-21,,,,,,,,,203,121,309,1522,688,2229,1658,728,2389,1.42908292503
2020-03-22,,,,,,,,,221,136,346,1709,815,2535,1879,865,2735,1.38175531623
2020-03-23,,,,,,,,,237,144,379,1912,949,2874,2116,1009,3114,1.33158118945
2020-03-24,,,,,,,,,249,153,403,2127,1092,3236,2365,1162,3516,1.2798730972
2020-03-25,,,,,,,,,259,161,402,2351,1243,3598,2623,1323,3918,1.22795272353
2020-03-26,,,,,,,,,267,169,399,2584,1403,3956,2890,1493,4316,1.17706522732
2020-03-27,1,1,,,,,,,274,177,406,2769,1549,4236,3164,1671,4722,1.12833966965
2020-03-28,0,1,,,,,,,279,183,414,2960,1700,4526,3443,1854,5136,1.08277035314
2020-03-29,2,3,,,,,,,282,184,414,3151,1851,4807,3726,2039,5549,1.0411923228
2020-03-30,0,3,,,,,,,284,185,409,3335,1997,5070,4010,2224,5957,1.00423634737
2020-03-31,2,5,,,,,,,284,185,398,3502,2134,5291,4293,2409,6355,0.972266792461
2020-04-01,0,5,,,,,,,283,186,386,3643,2257,5457,4576,2596,6740,0.945331710956
2020-04-02,2,7,,,,,,,281,189,378,3764,2370,5587,4857,2785,7118,0.923165151226
2020-04-03,2,9,,,,,,,279,191,372,3870,2473,5694,5137,2977,7489,0.905258120309
2020-04-04,1,10,,,,,,,276,193,363,3958,2563,5772,5413,3170,7852,0.890972750551
2020-04-05,0,10,,,,,,,273,192,358,4028,2634,5821,5686,3363,8209,0.879653256408
2020-04-06,0,10,,,,,,,270,192,352,4076,2691,5827,5955,3556,8561,0.870701627591
2020-04-07,2,12,,,,,,,266,192,346,4105,2739,5794,6221,3748,8907,0.863612659637
2020-04-08,2,14,,,,,,,262,191,339,4119,2777,5730,6483,3939,9245,0.857979351717
2020-04-09,2,16,,,,,,,258,188,330,4118,2804,5658,6742,4128,9575,0.853482682406
2020-04-10,1,17,,,,,,,254,186,322,4106,2821,5580,6996,4314,9896,0.849875954283
2020-04-11,2,19,,,,,,,250,185,313,4082,2828,5487,7246,4500,10208,0.846969213445
2020-04-12,0,19,,,,,,,246,184,305,4049,2830,5378,7493,4685,10513,0.844615978875
2020-04-13,0,19,,,,,,,242,182,298,4009,2828,5262,7735,4867,10811,0.842702754888
2020-04-14,1,20,,,,,,,239,180,294,3964,2824,5148,7974,5048,11104,0.841141051749
2020-04-15,4,24,,,,,,,235,179,290,3915,2818,5039,8209,5228,11393,0.839861417164
2020-04-16,3,27,,,,,,,231,176,285,3863,2807,4938,8439,5404,11678,0.838808991205
2020-04-17,2,29,,,,,,,227,172,280,3809,2791,4840,8666,5577,11958,0.837940186991
2020-04-18,3,32,,,,,,,223,170,276,3753,2770,4745,8889,5747,12234,0.837220196028
2020-04-19,2,34,,,,,,,219,167,272,3696,2744,4654,9109,5915,12505,0.836621097916
2020-04-20,1,35,,,,,,,216,164,268,3639,2716,4564,9325,6080,12773,0.83612041482
2020-04-21,1,36,,,,,,,212,161,264,3581,2685,4475,9537,6241,13036,0.835699995299
2020-04-22,3,39,,,,,,,209,159,261,3524,2652,4391,9745,6400,13297,0.835345144477
