date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-15,,,,,,,,,189,100,300,189,100,300,189,100,300,2.5420220045
2020-02-16,,,,,,,,,189,100,300,378,200,600,378,200,600,2.53891828005
2020-02-17,,,,,,,,,189,100,300,567,300,900,567,300,900,2.53823347928
2020-02-18,,,,,,,,,189,100,300,756,400,1200,756,400,1200,2.53739821847
2020-02-19,,,,,,,,,189,100,300,945,500,1500,945,500,1500,2.53637974604
2020-02-20,,,,,,,,,189,100,300,1134,600,1800,1134,600,1800,2.5351383283
2020-02-21,,,,,,,,,189,100,300,1323,700,2100,1323,700,2100,2.53362583057
2020-02-22,,,,,,,,,189,100,300,1512,800,2400,1512,800,2400,2.53178404255
2020-02-23,,,,,,,,,189,100,300,1701,900,2700,1701,900,2700,2.52954271642
2020-02-24,,,,,,,,,647,339,1080,2348,1239,3780,2348,1239,3780,2.52661113188
2020-02-25,,,,,,,,,644,338,1077,2992,1578,4857,2992,1578,4857,2.52327462271
2020-02-26,,,,,,,,,698,366,1175,3690,1945,6031,3690,1945,6031,2.51916765288
2020-02-27,,,,,,,,,807,422,1373,4497,2368,7403,4497,2368,7403,2.51420992406
2020-02-28,,,,,,,,,1035,540,1786,5532,2908,9189,5532,2908,9189,2.50822222331
2020-02-29,,,,,,,,,1393,724,2440,6925,3632,11629,6925,3632,11629,2.50099493326
2020-03-01,,,,,,,,,1691,878,2994,8426,4411,14323,8615,4511,14623,2.4922751921
2020-03-02,,,,,,,,,1988,1031,3561,10225,5343,17583,10603,5543,18183,2.48177018499
2020-03-03,,,,,,,,,2376,1231,4387,12412,6474,21669,12979,6774,22569,2.46917156858
2020-03-04,,,,,,,,,2881,1491,5438,15104,7866,26807,15860,8266,28007,2.45411673612
2020-03-05,,,,,,,,,3530,1830,6652,18445,9597,33159,19390,10097,34659,2.4361816379
2020-03-06,,,,,,,,,4256,2215,8004,22512,11712,40862,23646,12312,42662,2.41488908563
2020-03-07,,,,,,,,,5067,2653,9651,27390,14266,50213,28713,14966,52313,2.38970919944
2020-03-08,,,,,,,,,6013,3177,11581,33213,17343,61493,34726,18143,63893,2.36007927635
2020-03-09,,,,,,,,,7129,3815,13850,40153,21059,75043,41854,21959,77743,2.32540970052
2020-03-10,1,1,,,,,,,8426,4590,16445,47932,25309,90407,50280,26549,94187,2.28511309481
2020-03-11,0,1,,,,,,,9876,5505,19235,57164,30476,108565,60156,32055,113421,2.23866426467
2020-03-12,0,1,,,,,,,11459,6555,22063,67925,36665,129454,71615,38610,135484,2.18567963654
2020-03-13,0,1,,,,,,,13172,7803,25519,80290,44046,153599,84787,46414,161002,2.12599892938
2020-03-14,0,1,,,,,,,15001,9147,27970,94256,52653,179783,99788,55561,188971,2.05973430321
2020-03-15,1,2,,,,,,,16916,10706,31107,109779,62635,208450,116704,66268,220078,1.98727887247
2020-03-16,0,2,,,,,,,18861,11926,33423,126950,73682,238878,135565,78194,253500,1.90928943192
2020-03-17,1,3,,,,,,,20779,13423,36190,145741,86074,271508,156344,91617,289690,1.82666544176
2020-03-18,2,5,,,,,,,22617,15046,38693,165981,99889,305814,178961,106664,328383,1.74054160731
2020-03-19,4,9,,,,,,,24327,16683,39852,187428,115080,340227,203288,123347,368234,1.65229300205
2020-03-20,2,11,,,,,,,25861,18255,41889,209759,131505,375464,229150,141603,410122,1.56353999621
2020-03-21,5,16,,,,,,,27174,19797,42064,232678,149088,409525,256324,161401,452186,1.47613007148
2020-03-22,4,20,,,,,,,28235,20984,42824,255846,167419,442698,284559,182385,495010,1.3920622878
2020-03-23,7,27,,,,,,,29032,22009,43197,278866,186251,474314,313591,204395,538207,1.31331893398
2020-03-24,17,44,,,,,,,29577,22735,43386,301313,205171,503851,343168,227130,581593,1.24160334505
2020-03-25,18,62,,,,,,,29891,22761,43269,322779,223341,530675,373059,249891,624862,1.17806082821
2020-03-26,19,81,,,,,,,30006,22654,43629,342909,240491,555070,403065,272546,668490,1.1231156528
2020-03-27,27,108,,,,,,,29952,22571,43649,361402,256507,576655,433017,295118,712139,1.07650873616
2020-03-28,32,140,,,,,,,29755,22430,43285,377985,271133,594422,462772,317548,755424,1.03749768837
2020-03-29,21,161,,,,,,,29439,22201,42341,392423,284188,608794,492211,339750,797765,1.00510348605
2020-03-30,37,198,,,,,,,29026,21827,41346,404533,295309,619032,521237,361577,839110,0.978308100847
2020-03-31,69,267,,,,,,,28536,21427,40414,414209,304810,626024,549774,383004,879524,0.956170962582
2020-04-01,88,355,,,,,,,27986,20974,39285,421416,312361,629118,577759,403979,918808,0.937877557546
2020-04-02,182,537,,,,,,,27389,20486,38088,426188,317801,628513,605148,424465,956896,0.922746818158
2020-04-03,109,646,,,,,,,26758,20041,36893,428619,321159,625555,631907,444507,993789,0.910219186169
2020-04-04,200,846,,,,,,,26104,19566,35679,428861,322469,619345,658011,464073,1029467,0.899838374097
