date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-22,,,,,,,,,750,500,1000,750,500,1000,750,500,1000,1.4875993718
2020-02-23,,,,,,,,,750,500,1000,1500,1000,2000,1500,1000,2000,1.48755545611
2020-02-24,,,,,,,,,750,500,1000,2249,1500,3000,2249,1500,3000,1.48754831442
2020-02-25,,,,,,,,,750,500,1000,2999,2000,4000,2999,2000,4000,1.48754000729
2020-02-26,,,,,,,,,750,500,1000,3749,2500,5000,3749,2500,5000,1.48753034341
2020-02-27,,,,,,,,,750,500,1000,4499,3000,6000,4499,3000,6000,1.48751909979
2020-02-28,,,,,,,,,750,500,1000,5248,3500,7000,5248,3500,7000,1.48750601638
2020-02-29,,,,,,,,,750,500,1000,5998,4000,8000,5998,4000,8000,1.48749078985
2020-03-01,,,,,,,,,750,500,1000,6748,4500,9000,6748,4500,9000,1.48747306623
2020-03-02,,,,,,,,,1848,1199,2400,8596,5699,11400,8596,5699,11400,1.48739530748
2020-03-03,,,,,,,,,1840,1194,2389,10436,6894,13789,10436,6894,13789,1.48736414106
2020-03-04,,,,,,,,,1912,1237,2476,12348,8132,16265,12348,8132,16265,1.48731851827
2020-03-05,,,,,,,,,2065,1330,2661,14412,9462,18925,14412,9462,18925,1.48726835924
2020-03-06,,,,,,,,,2383,1522,3046,16796,10985,21971,16796,10985,21971,1.48721211814
2020-03-07,,,,,,,,,2879,1822,3645,19675,12807,25615,19675,12807,25615,1.4871481238
2020-03-08,,,,,,,,,3257,2049,4098,22183,14356,28713,22932,14856,29713,1.48707372428
2020-03-09,,,,,,,,,3569,2231,4464,25002,16088,32177,26501,17088,34177,1.48698598393
2020-03-10,,,,,,,,,3924,2437,4875,28176,18026,36051,30426,19526,39051,1.4868845755
2020-03-11,,,,,,,,,4338,2672,5345,31764,20198,40395,34763,22198,44395,1.48676843532
2020-03-12,,,,,,,,,4855,2966,5932,35869,22664,45327,39618,25164,50327,1.48663513808
2020-03-13,,,,,,,,,5394,3269,6538,40514,25434,50865,45012,28434,56865,1.48648177348
2020-03-14,,,,,,,,,5937,3570,7172,45701,28504,57036,50949,32004,64036,1.4863045749
2020-03-15,,,,,,,,,6510,3883,7967,51461,31888,64003,57460,35888,72003,1.48610007581
2020-03-16,,,,,,,,,7138,4221,8854,57849,35609,71856,64598,40109,80856,1.4858644044
2020-03-17,1,1,,,,,,,7840,4595,9860,63842,39004,79316,72438,44704,90716,1.48559274707
2020-03-18,2,3,,,,,,,8605,4998,10970,70607,42808,87897,81043,49703,101685,1.48527923517
2020-03-19,3,6,,,,,,,9420,5422,12172,78115,46993,97592,90463,55125,113857,1.48491684303
2020-03-20,5,11,,,,,,,10293,5870,13481,86343,51533,108413,100755,60996,127337,1.48449751177
2020-03-21,4,15,,,,,,,11236,6348,14919,95196,56358,120286,111991,67344,142256,1.48401192343
2020-03-22,10,25,,,,,,,12264,6862,16509,104580,61398,133150,124255,74206,158765,1.48344906052
