date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-19,,,,,,,,,32,10,40,32,10,40,32,10,40,1.7548245614
2020-02-20,,,,,,,,,32,10,40,63,20,80,63,20,80,1.75467948443
2020-02-21,,,,,,,,,32,10,40,95,30,120,95,30,120,1.75462844987
2020-02-22,,,,,,,,,32,10,40,127,40,160,127,40,160,1.75455938609
2020-02-23,,,,,,,,,32,10,40,158,50,200,158,50,200,1.75446587727
2020-02-24,,,,,,,,,32,10,40,190,60,240,190,60,240,1.75433919691
2020-02-25,,,,,,,,,32,10,40,222,70,280,222,70,280,1.75416745976
2020-02-26,,,,,,,,,32,10,40,253,80,320,253,80,320,1.75393445423
2020-02-27,,,,,,,,,32,10,40,285,90,360,285,90,360,1.75361803028
2020-02-28,,,,,,,,,86,29,120,371,119,480,371,119,480,1.75307495813
2020-02-29,,,,,,,,,85,29,120,456,149,600,456,149,600,1.75247540245
2020-03-01,,,,,,,,,90,31,127,546,181,726,546,181,726,1.75163878434
2020-03-02,,,,,,,,,99,35,142,644,217,868,644,217,868,1.75051119097
2020-03-03,,,,,,,,,118,43,174,762,261,1042,762,261,1042,1.74898180165
2020-03-04,,,,,,,,,147,56,223,909,317,1265,909,317,1265,1.74689822086
2020-03-05,,,,,,,,,170,66,262,1047,373,1487,1078,383,1527,1.74404788756
2020-03-06,,,,,,,,,189,75,298,1204,439,1744,1268,459,1824,1.74013769758
2020-03-07,,,,,,,,,213,87,340,1386,517,2044,1481,547,2164,1.734771595
2020-03-08,,,,,,,,,242,102,391,1596,609,2395,1723,649,2555,1.72740115041
2020-03-09,,,,,,,,,277,120,454,1841,720,2808,2000,770,3008,1.71727535648
2020-03-10,,,,,,,,,314,141,516,2124,852,3284,2313,912,3524,1.70339394019
2020-03-11,,,,,,,,,350,163,574,2442,1005,3817,2664,1075,4097,1.68448205386
2020-03-12,,,,,,,,,388,189,627,2799,1185,4404,3052,1265,4724,1.65904833474
2020-03-13,,,,,,,,,427,214,685,3193,1390,5049,3478,1480,5409,1.62559576687
2020-03-14,1,1,,,,,,,466,247,738,3573,1607,5667,3944,1727,6146,1.58302911516
2020-03-15,0,1,,,,,,,502,267,768,3990,1845,6315,4446,1995,6914,1.53112868047
2020-03-16,0,1,,,,,,,533,283,824,4433,2096,7011,4979,2278,7737,1.47078441573
2020-03-17,0,1,,,,,,,558,298,847,4893,2360,7716,5538,2577,8583,1.40380215164
2020-03-18,0,1,,,,,,,577,314,831,5353,2630,8372,6115,2891,9414,1.33244211907
2020-03-19,0,1,,,,,,,590,329,826,5796,2903,8975,6704,3221,10239,1.2589883772
2020-03-20,0,1,,,,,,,595,343,843,6221,3181,9556,7300,3564,11082,1.18550421072
2020-03-21,0,1,,,,,,,594,356,872,6626,3461,10130,7894,3921,11954,1.11377170842
2020-03-22,1,2,,,,,,,586,362,880,6999,3736,10670,8480,4284,12833,1.04535324284
2020-03-23,1,3,,,,,,,572,363,855,7329,3997,11133,9052,4647,13687,0.981691055313
2020-03-24,1,4,,,,,,,554,353,806,7606,4229,11485,9606,5000,14493,0.924143267932
2020-03-25,1,5,,,,,,,532,346,778,7824,4434,11747,10138,5346,15270,0.873880693713
2020-03-26,1,6,,,,,,,508,332,738,7981,4603,11911,10645,5679,16008,0.831657325714
2020-03-27,3,9,,,,,,,483,315,687,8076,4729,11971,11128,5994,16695,0.797578499233
2020-03-28,0,9,,,,,,,457,300,661,8107,4815,11947,11585,6295,17355,0.77104655918
2020-03-29,2,11,,,,,,,433,285,633,8074,4853,11841,12018,6580,17987,0.750959640663
2020-03-30,0,11,,,,,,,409,272,595,7981,4857,11668,12427,6853,18582,0.736033474433
2020-03-31,4,15,,,,,,,386,258,563,7834,4833,11408,12814,7112,19144,0.725060522341
2020-04-01,0,15,,,,,,,365,246,532,7641,4781,11093,13179,7358,19676,0.717034841052
2020-04-02,2,17,,,,,,,345,228,499,7409,4695,10761,13523,7587,20175,0.711174024021
2020-04-03,3,20,,,,,,,326,212,469,7145,4578,10404,13849,7799,20643,0.706891898224
2020-04-04,2,22,,,,,,,308,194,441,6857,4429,10002,14156,7994,21084,0.703757728946
2020-04-05,6,28,,,,,,,291,179,418,6554,4251,9548,14447,8173,21501,0.701457935165
2020-04-06,2,30,,,,,,,275,167,397,6243,4056,9065,14723,8340,21898,0.69976511643
2020-04-07,6,36,,,,,,,261,156,379,5931,3850,8589,14983,8497,22276,0.698514540582
2020-04-08,4,40,,,,,,,247,146,361,5624,3644,8144,15230,8644,22637,0.697586815597
2020-04-09,3,43,,,,,,,234,137,344,5326,3435,7710,15464,8782,22980,0.696895296997
2020-04-10,2,45,,,,,,,222,129,329,5041,3232,7301,15686,8911,23309,0.69637699568
2020-04-11,5,50,,,,,,,211,121,314,4769,3038,6927,15897,9033,23622,0.695986029708
2020-04-12,3,53,,,,,,,200,113,300,4512,2851,6567,16098,9147,23921,0.695688909791
2020-04-13,2,55,,,,,,,191,105,287,4270,2671,6221,16288,9252,24208,0.695461141709
2020-04-14,1,56,,,,,,,181,98,276,4042,2497,5902,16470,9351,24483,0.69528477382
2020-04-15,5,61,,,,,,,173,91,265,3829,2330,5603,16642,9442,24747,0.6951466233
2020-04-16,0,61,,,,,,,165,85,255,3628,2169,5327,16807,9527,25002,0.695036990548
2020-04-17,5,66,,,,,,,157,78,246,3441,2019,5073,16964,9606,25247,0.69494872532
2020-04-18,4,70,,,,,,,150,73,237,3265,1880,4840,17114,9680,25483,0.694876546761
2020-04-19,4,74,,,,,,,143,68,227,3101,1754,4626,17257,9748,25710,0.69481654719
2020-04-20,3,77,,,,,,,137,64,217,2946,1640,4425,17394,9813,25926,0.694765829215
2020-04-21,0,77,,,,,,,131,61,208,2802,1534,4236,17524,9875,26134,0.69472223988
2020-04-22,2,79,,,,,,,125,58,200,2666,1435,4058,17649,9933,26334,0.694684175574
2020-04-23,0,79,,,,,,,120,54,194,2539,1343,3891,17769,9988,26527,0.694650438649
2020-04-24,1,80,,,,,,,115,51,188,2419,1257,3734,17884,10039,26714,0.694620131881
2020-04-25,1,81,,,,,,,110,47,182,2307,1175,3588,17993,10087,26896,0.69459258068
2020-04-26,1,82,,,,,,,105,44,176,2201,1098,3451,18098,10131,27072,0.694567275691
2020-04-27,1,83,,,,,,,101,41,171,2102,1026,3322,18199,10173,27242,0.694550518953
2020-04-28,3,86,,,,,,,97,39,166,2008,959,3201,18296,10212,27408,0.694538351247
2020-04-29,3,89,,,,,,,93,36,161,1919,898,3086,18389,10249,27569,0.694531615413
2020-04-30,2,91,,,,,,,89,34,157,1835,841,2978,18477,10283,27725,0.69453133578
2020-05-01,1,92,,,,,,,85,32,152,1756,788,2875,18563,10316,27876,0.694538854705
2020-05-02,2,94,,,,,,,82,30,147,1681,740,2776,18645,10347,28022,0.694556834253
2020-05-03,2,96,,,,,,,79,28,142,1609,696,2681,18723,10376,28163,0.694565536802
2020-05-04,1,97,,,,,,,75,27,137,1542,654,2591,18799,10403,28300,0.694580376104
2020-05-05,1,98,,,,,,,72,25,133,1478,615,2506,18871,10428,28432,0.694602538613
2020-05-06,1,99,,,,,,,70,24,128,1416,577,2426,18941,10452,28560,0.694633478986
2020-05-07,0,99,,,,,,,67,22,124,1358,542,2350,19008,10475,28683,0.694674978476
2020-05-08,1,100,,,,,,,64,21,119,1303,508,2275,19072,10497,28802,0.694729215428
2020-05-09,1,101,,,,,,,61,20,115,1250,477,2202,19133,10517,28916,0.694798850797
2020-05-10,1,102,,,,,,,59,19,111,1199,449,2131,19192,10536,29027,0.694887131676
2020-05-11,0,102,,,,,,,57,18,108,1150,423,2063,19249,10554,29134,0.694998016301
2020-05-12,0,102,,,,,,,54,17,105,1104,398,1997,19303,10572,29238,0.695136324698
2020-05-13,1,103,,,,,,,52,16,101,1059,376,1932,19355,10588,29339,0.695307919634
2020-05-14,0,103,,,,,,,50,15,98,1016,354,1869,19405,10603,29437,0.695519923028
2020-05-15,0,103,,,,,,,48,14,95,975,334,1808,19452,10618,29532,0.695780973538
2020-05-16,0,103,,,,,,,46,13,92,935,314,1748,19498,10631,29623,0.696101531188
2020-05-17,1,104,,,,,,,44,12,89,897,296,1690,19541,10644,29712,0.696494234794
2020-05-18,0,104,,,,,,,42,11,86,860,279,1635,19583,10656,29798,0.696974317116
2020-05-19,0,104,,,,,,,40,11,83,824,264,1581,19623,10667,29880,0.697560080695
2020-05-20,1,105,,,,,,,38,10,80,789,249,1528,19661,10678,29960,0.698273433852
2020-05-21,1,106,,,,,,,36,10,78,756,235,1479,19697,10688,30038,0.699140480305
2020-05-22,0,106,,,,,,,35,9,76,725,221,1431,19732,10697,30113,0.700192140175
2020-05-23,0,106,,,,,,,34,9,74,694,209,1385,19766,10706,30186,0.701464740461
2020-05-24,1,107,,,,,,,32,8,72,665,198,1342,19798,10715,30257,0.703000716769
2020-05-25,0,107,,,,,,,31,8,70,638,187,1300,19830,10724,30326,0.704849028689
2020-05-26,1,108,,,,,,,30,8,68,611,177,1260,19860,10732,30394,0.70706540359
2020-05-27,0,108,,,,,,,29,7,66,586,168,1221,19889,10740,30459,0.709712193749
2020-05-28,0,108,,,,,,,28,7,64,563,159,1184,19918,10748,30522,0.712857651704
2020-05-29,0,108,,,,,,,28,7,63,541,151,1148,19945,10755,30585,0.716574387157
2020-05-30,0,108,,,,,,,27,7,61,520,145,1114,19972,10763,30646,0.720936726332
2020-05-31,0,108,,,,,,,26,7,60,500,138,1082,19998,10770,30705,0.726016736644
2020-06-01,1,109,,,,,,,26,7,59,482,133,1052,20024,10777,30763,0.731878765991
2020-06-02,0,109,,,,,,,25,6,57,466,128,1023,20049,10784,30820,0.738572529066
2020-06-03,0,109,,,,,,,25,6,56,451,123,996,20074,10791,30876,0.746125088576
2020-06-04,0,109,,,,,,,24,6,55,437,120,971,20098,10798,30931,0.754532482797
2020-06-05,0,109,,,,,,,24,6,55,425,116,948,20122,10804,30985,0.763752198143
2020-06-06,0,109,,,,,,,24,6,54,414,113,926,20146,10811,31039,0.773698026067
2020-06-07,0,109,,,,,,,24,6,54,404,111,906,20170,10818,31092,0.784238900292
2020-06-08,0,109,,,,,,,24,6,54,395,109,888,20194,10824,31145,0.795202926907
2020-06-09,0,109,,,,,,,24,6,54,388,107,872,20217,10831,31198,0.806386955463
2020-06-10,0,109,,,,,,,24,6,53,381,105,858,20241,10838,31251,0.81757085458
2020-06-11,0,109,,,,,,,24,6,53,376,104,846,20265,10844,31304,0.828534498614
2020-06-12,0,109,,,,,,,24,6,53,371,103,835,20289,10851,31357,0.839074753682
2020-06-13,0,109,,,,,,,24,6,54,368,102,826,20313,10858,31410,0.849019751515
2020-06-14,0,109,,,,,,,24,6,55,366,101,820,20338,10865,31465,0.858238458047
2020-06-15,0,109,,,,,,,25,6,57,364,101,817,20362,10871,31522,0.866644700835
2020-06-16,0,109,,,,,,,25,7,58,363,101,817,20387,10879,31579,0.874196004127
2020-06-17,0,109,,,,,,,25,7,60,364,101,819,20413,10886,31638,0.880888443899
2020-06-18,0,109,,,,,,,26,7,61,365,102,824,20438,10893,31699,0.886749119012
2020-06-19,0,109,,,,,,,26,7,63,366,102,831,20464,10900,31762,0.891827777328
2020-06-20,0,109,,,,,,,26,7,65,368,103,841,20491,10907,31826,0.896188795238
2020-06-21,0,109,,,,,,,27,7,67,371,103,854,20517,10915,31892,0.899904265453
2020-06-22,0,109,,,,,,,27,7,68,375,104,868,20544,10922,31960,0.903048536868
2020-06-23,0,109,,,,,,,28,7,70,378,104,885,20572,10929,32029,0.90569424207
2020-06-24,0,109,,,,,,,28,7,72,383,105,903,20600,10936,32100,0.907909658021
2020-06-25,0,109,,,,,,,28,7,73,387,106,922,20628,10944,32173,0.909757155689
2020-06-26,0,109,,,,,,,29,7,75,392,106,944,20657,10951,32248,0.911292475291
2020-06-27,0,109,,,,,,,29,7,77,397,107,967,20686,10959,32324,0.912564586021
2020-06-28,2,111,,,,,,,30,7,79,403,108,992,20716,10966,32402,0.913615930456
2020-06-29,0,111,,,,,,,30,7,80,409,108,1017,20746,10973,32482,0.914482899563
2020-06-30,0,111,,,,,,,31,7,83,415,109,1043,20777,10981,32564,0.915196426394
2020-07-01,0,111,,,,,,,31,7,85,421,110,1070,20808,10989,32649,0.915782621569
2020-07-02,,,0,0,1,111,111,112,32,7,88,427,110,1099,20840,10996,32737,
2020-07-03,,,0,0,1,111,111,112,32,7,91,434,110,1128,20872,11004,32827,
2020-07-04,,,0,0,1,111,111,112,33,7,93,440,111,1159,20904,11011,32920,
2020-07-05,,,0,0,1,111,111,112,33,7,96,447,111,1190,20937,11019,33016,
2020-07-06,,,0,0,1,112,111,113,34,7,99,454,112,1223,20971,11027,33114,
2020-07-07,,,0,0,1,112,111,113,34,7,102,461,112,1257,21005,11035,33216,
2020-07-08,,,0,0,1,112,111,113,35,7,105,468,113,1292,21039,11043,33321,
2020-07-09,,,0,0,1,112,111,113,35,7,108,475,114,1329,21075,11051,33428,
2020-07-10,,,0,0,1,112,111,114,35,7,111,482,114,1367,21110,11058,33539,
2020-07-11,,,0,0,1,112,111,114,36,7,114,489,115,1406,21146,11066,33653,
2020-07-12,,,0,0,1,112,111,114,36,7,117,496,115,1447,21182,11074,33770,
2020-07-13,,,0,0,1,112,111,114,37,7,120,503,116,1488,21219,11082,33890,
2020-07-14,,,0,0,1,112,111,115,37,7,123,510,116,1531,21256,11090,34013,
2020-07-15,,,0,0,1,112,111,115,38,7,126,517,117,1575,21294,11098,34139,
2020-07-16,,,0,0,1,113,111,115,38,7,129,524,117,1619,21332,11106,34267,
2020-07-17,,,0,0,1,113,111,116,38,7,132,530,117,1663,21370,11114,34399,
2020-07-18,,,0,0,1,113,111,116,39,7,135,537,117,1707,21409,11122,34533,
