date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-25,,,,,,,,,217,100,300,217,100,300,217,100,300,1.53602720376
2020-02-26,,,,,,,,,217,100,300,433,200,600,433,200,600,1.53570920654
2020-02-27,,,,,,,,,217,100,300,650,300,900,650,300,900,1.53563883465
2020-02-28,,,,,,,,,217,100,300,867,400,1200,867,400,1200,1.53555289865
2020-02-29,,,,,,,,,217,100,300,1083,500,1500,1083,500,1500,1.53544796059
2020-03-01,,,,,,,,,217,100,300,1300,600,1800,1300,600,1800,1.53531982521
2020-03-02,,,,,,,,,217,100,300,1516,700,2100,1516,700,2100,1.53516337414
2020-03-03,,,,,,,,,217,100,300,1733,800,2400,1733,800,2400,1.53497236418
2020-03-04,,,,,,,,,217,100,300,1950,900,2700,1950,900,2700,1.53473918228
2020-03-05,,,,,,,,,538,259,720,2487,1159,3420,2487,1159,3420,1.53434468084
2020-03-06,,,,,,,,,535,258,717,3023,1418,4137,3023,1418,4137,1.53398357787
2020-03-07,,,,,,,,,557,270,743,3579,1689,4880,3579,1689,4880,1.53352540343
2020-03-08,,,,,,,,,602,294,798,4181,1983,5678,4181,1983,5678,1.53297411042
2020-03-09,,,,,,,,,697,345,914,4878,2329,6591,4878,2329,6591,1.53230775515
2020-03-10,,,,,,,,,844,424,1094,5722,2754,7685,5722,2754,7685,1.53150000901
2020-03-11,,,,,,,,,957,485,1230,6462,3139,8614,6679,3239,8914,1.53051756349
2020-03-12,,,,,,,,,1050,537,1339,7295,3576,9653,7728,3776,10253,1.52932046591
