date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-22,,,,,,,,,306,200,400,306,200,400,306,200,400,2.21700069767
2020-02-23,,,,,,,,,306,200,400,613,400,800,613,400,800,2.21266301642
2020-02-24,,,,,,,,,306,200,400,919,600,1200,919,600,1200,2.21168421776
2020-02-25,,,,,,,,,306,200,400,1226,800,1600,1226,800,1600,2.21048343559
2020-02-26,,,,,,,,,306,200,400,1532,1000,2000,1532,1000,2000,2.20901024241
2020-02-27,,,,,,,,,306,200,400,1838,1200,2400,1838,1200,2400,2.20720286864
2020-02-28,,,,,,,,,306,200,400,2145,1400,2800,2145,1400,2800,2.20498575657
2020-02-29,,,,,,,,,306,200,400,2451,1600,3200,2451,1600,3200,2.202266654
2020-03-01,,,,,,,,,306,200,400,2758,1800,3600,2758,1800,3600,2.19893320016
2020-03-02,,,,,,,,,970,598,1422,3728,2398,5022,3728,2398,5022,2.1946394916
2020-03-03,,,,,,,,,965,595,1413,4693,2993,6434,4693,2993,6434,2.18961391265
2020-03-04,,,,,,,,,1032,632,1532,5725,3626,7966,5725,3626,7966,2.18341708678
2020-03-05,,,,,,,,,1171,708,1775,6896,4335,9740,6896,4335,9740,2.17587034266
2020-03-06,,,,,,,,,1458,866,2280,8354,5201,12019,8354,5201,12019,2.16668700686
2020-03-07,,,,,,,,,1906,1112,3064,10260,6314,15082,10260,6314,15082,2.15553297172
2020-03-08,,,,,,,,,2265,1308,3692,12219,7422,18374,12525,7622,18774,2.14201768015
2020-03-09,,,,,,,,,2598,1487,4288,14510,8710,22261,15123,9110,23061,2.12570157046
2020-03-10,,,,,,,,,3015,1707,5041,17218,10217,26902,18137,10817,28102,2.10612567064
2020-03-11,,,,,,,,,3532,1978,5974,20444,11995,32475,21669,12795,34075,2.08280006123
2020-03-12,,,,,,,,,4177,2321,7135,24315,14117,39210,25847,15117,41210,2.05522782124
2020-03-13,,,,,,,,,4856,2688,8341,28864,16605,47150,30702,17805,49550,2.02295298522
2020-03-14,,,,,,,,,5556,3075,9413,34114,19480,56163,36258,20880,58963,1.9856114405
2020-03-15,,,,,,,,,6310,3501,10839,40118,22782,66601,42569,24382,69801,1.942998103
2020-03-16,,,,,,,,,7134,3983,12178,46946,26565,78379,49703,28365,81979,1.89511368959
2020-03-17,1,1,,,,,,,8023,4526,13583,53998,30493,90540,57726,32891,95561,1.84220065563
2020-03-18,0,1,,,,,,,8932,5116,15052,61965,35014,104179,66658,38008,110613,1.78476057446
2020-03-19,3,4,,,,,,,9829,5740,16228,70762,40122,118876,76487,43748,126841,1.72354470134
2020-03-20,1,5,,,,,,,10705,6397,17266,80296,45811,134367,87192,50146,144106,1.65952145573
2020-03-21,1,6,,,,,,,11553,7087,18144,90391,52032,150231,98745,57233,162250,1.5938229633
2020-03-22,3,9,,,,,,,12360,7802,19109,100844,58722,166277,111104,65036,181359,1.52768092385
2020-03-23,3,12,,,,,,,13103,8527,19833,111682,65941,182418,124207,73564,201191,1.46235883714
2020-03-24,4,16,,,,,,,13763,9195,20603,122847,73649,198733,137970,82759,221794,1.39908154228
2020-03-25,3,19,,,,,,,14335,9731,21174,134167,81673,214866,152305,92490,242967,1.3389635721
2020-03-26,7,26,,,,,,,14817,10264,21576,145453,89959,230468,167122,102755,264543,1.28293969239
2020-03-27,8,34,,,,,,,15214,10754,22140,156490,98392,245473,182337,113509,286682,1.23170657264
2020-03-28,13,47,,,,,,,15529,11112,22544,167163,106816,259676,197866,124622,309226,1.18568722923
2020-03-29,19,66,,,,,,,15766,11204,22739,177373,114945,273002,213632,135826,331964,1.14502687534
2020-03-30,7,73,,,,,,,15932,11235,23040,186995,122679,285203,229564,147062,355004,1.10962133033
