date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-28,,,,,,,,,89,50,100,89,50,100,89,50,100,1.48304683488
2020-02-29,,,,,,,,,89,50,100,178,100,200,178,100,200,1.48236456433
2020-03-01,,,,,,,,,89,50,100,267,150,300,267,150,300,1.4821226331
2020-03-02,,,,,,,,,89,50,100,356,200,400,356,200,400,1.48179418596
2020-03-03,,,,,,,,,89,50,100,445,250,500,445,250,500,1.48134791711
2020-03-04,,,,,,,,,89,50,100,533,300,600,533,300,600,1.48074103543
2020-03-05,,,,,,,,,89,50,100,622,350,700,622,350,700,1.47991500883
2020-03-06,,,,,,,,,89,50,100,711,400,800,711,400,800,1.47878974773
2020-03-07,,,,,,,,,89,50,100,800,450,900,800,450,900,1.47725569922
2020-03-08,,,,,,,,,218,129,280,1018,579,1180,1018,579,1180,1.47508614829
2020-03-09,,,,,,,,,216,129,278,1234,708,1457,1234,708,1457,1.47222196328
2020-03-10,,,,,,,,,225,134,292,1459,843,1748,1459,843,1748,1.46830566212
2020-03-11,,,,,,,,,242,146,320,1701,990,2068,1701,990,2068,1.46298292073
2020-03-12,,,,,,,,,278,171,379,1979,1162,2447,1979,1162,2447,1.45577098551
2020-03-13,,,,,,,,,333,210,467,2312,1372,2913,2312,1372,2913,1.44606641675
2020-03-14,,,,,,,,,374,239,527,2597,1562,3340,2686,1612,3440,1.43317255236
2020-03-15,,,,,,,,,404,264,566,2912,1776,3805,3090,1876,4005,1.41639901779
2020-03-16,,,,,,,,,437,291,614,3261,2018,4318,3527,2168,4618,1.3952474654
2020-03-17,,,,,,,,,472,323,666,3644,2291,4884,4000,2491,5284,1.36961127329
2020-03-18,,,,,,,,,514,359,725,4069,2601,5508,4514,2851,6008,1.33986632441
2020-03-19,,,,,,,,,552,396,774,4533,2948,6182,5066,3248,6782,1.30677605067
2020-03-20,,,,,,,,,584,427,812,5028,3326,6893,5650,3676,7593,1.27129436916
