date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-23,,,,,,,,,146,100,200,146,100,200,146,100,200,1.88009731264
2020-02-24,,,,,,,,,146,100,200,293,200,400,293,200,400,1.87992779571
2020-02-25,,,,,,,,,146,100,200,439,300,600,439,300,600,1.87986806529
2020-02-26,,,,,,,,,146,100,200,585,400,800,585,400,800,1.87978724717
2020-02-27,,,,,,,,,146,100,200,732,500,1000,732,500,1000,1.87967786288
2020-02-28,,,,,,,,,146,100,200,878,600,1200,878,600,1200,1.87952976073
2020-02-29,,,,,,,,,146,100,200,1024,700,1400,1024,700,1400,1.8793291483
2020-03-01,,,,,,,,,146,100,200,1170,800,1600,1170,800,1600,1.87905726886
2020-03-02,,,,,,,,,146,100,200,1317,900,1800,1317,900,1800,1.87868858813
2020-03-03,,,,,,,,,413,279,600,1730,1179,2400,1730,1179,2400,1.87739794001
2020-03-04,,,,,,,,,411,278,598,2141,1458,2998,2141,1458,2998,1.87662002822
2020-03-05,,,,,,,,,434,293,635,2576,1752,3633,2576,1752,3633,1.87541523011
2020-03-06,,,,,,,,,482,324,713,3057,2076,4345,3057,2076,4345,1.87387943524
2020-03-07,,,,,,,,,580,389,873,3638,2465,5217,3638,2465,5217,1.87187443831
2020-03-08,,,,,,,,,734,489,1123,4371,2955,6339,4371,2955,6339,1.86921765045
2020-03-09,,,,,,,,,855,568,1322,5080,3423,7461,5226,3523,7661,1.86564707749
2020-03-10,,,,,,,,,963,637,1505,5897,3961,8765,6189,4161,9165,1.86081536755
2020-03-11,,,,,,,,,1094,721,1728,6844,4582,10292,7283,4882,10892,1.85432440093
2020-03-12,,,,,,,,,1253,821,2000,7951,5304,12092,8536,5704,12892,1.84561426673
2020-03-13,,,,,,,,,1452,948,2337,9256,6153,14229,9988,6653,15229,1.83390932824
2020-03-14,,,,,,,,,1661,1082,2679,10771,7135,16707,11649,7735,17907,1.81819961453
2020-03-15,,,,,,,,,1873,1219,3006,12497,8255,19513,13521,8955,20913,1.79722409731
2020-03-16,,,,,,,,,2095,1367,3312,14446,9522,22625,15617,10322,24225,1.76956325292
2020-03-17,,,,,,,,,2331,1528,3577,16631,10951,26002,17948,11851,27802,1.73383264142
2020-03-18,1,1,,,,,,,2576,1705,3772,18794,12377,29173,20524,13557,31573,1.6890574589
2020-03-19,0,1,,,,,,,2814,1889,3863,21197,13987,32439,23338,15446,35436,1.63510254897
2020-03-20,0,1,,,,,,,3032,2072,4129,23794,15766,35933,26370,17518,39565,1.57286304597
2020-03-21,0,1,,,,,,,3223,2249,4488,26536,17691,39708,29593,19768,44052,1.5040655627
2020-03-22,0,1,,,,,,,3387,2415,4729,29342,19718,43564,32980,22184,48780,1.43085325233
2020-03-23,0,1,,,,,,,3519,2547,4821,32127,21776,47263,36499,24731,53601,1.35544563816
2020-03-24,0,1,,,,,,,3615,2574,4772,34887,23782,50712,40113,27306,58373,1.27997111198
2020-03-25,0,1,,,,,,,3671,2536,4840,37595,25681,54048,43784,29842,63213,1.20640093909
