date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-14,,,,,,,,,42,30,50,42,30,50,42,30,50,1.18888888889
2020-02-15,,,,,,,,,42,30,50,84,60,100,84,60,100,1.18874475948
2020-02-16,,,,,,,,,42,30,50,126,90,150,126,90,150,1.18871284507
2020-02-17,,,,,,,,,42,30,50,167,120,200,167,120,200,1.18867386284
2020-02-18,,,,,,,,,42,30,50,209,150,250,209,150,250,1.18862624699
2020-02-19,,,,,,,,,42,30,50,251,180,300,251,180,300,1.18856808455
2020-02-20,,,,,,,,,42,30,50,293,210,350,293,210,350,1.18849703824
2020-02-21,,,,,,,,,42,30,50,335,240,400,335,240,400,1.18841025212
2020-02-22,,,,,,,,,42,30,50,377,270,450,377,270,450,1.18830423611
2020-02-23,,,,,,,,,91,65,110,467,335,560,467,335,560,1.18813264371
2020-02-24,,,,,,,,,90,65,110,558,401,670,558,401,670,1.18796916776
2020-02-25,,,,,,,,,93,67,113,650,469,782,650,469,782,1.18776439348
2020-02-26,,,,,,,,,98,71,120,748,540,902,748,540,902,1.18751679786
2020-02-27,,,,,,,,,109,79,134,858,620,1035,858,620,1035,1.18721646723
2020-02-28,,,,,,,,,126,92,155,984,712,1189,984,712,1189,1.18685134974
2020-02-29,,,,,,,,,139,102,171,1081,785,1310,1123,815,1360,1.18640636997
2020-03-01,,,,,,,,,149,109,183,1188,864,1443,1272,924,1543,1.1858631686
2020-03-02,,,,,,,,,159,117,196,1306,952,1589,1431,1042,1739,1.1852007465
2020-03-03,,,,,,,,,170,125,211,1434,1047,1749,1602,1167,1949,1.18439292567
2020-03-04,,,,,,,,,184,136,228,1577,1153,1927,1786,1303,2177,1.18340682147
2020-03-05,,,,,,,,,198,146,246,1733,1270,2123,1984,1450,2423,1.18220168925
2020-03-06,,,,,,,,,211,156,263,1902,1396,2335,2195,1606,2685,1.1807266796
2020-03-07,,,,,,,,,224,166,280,2085,1532,2565,2420,1772,2965,1.17891869847
2020-03-08,,,,,,,,,238,176,297,2281,1678,2812,2658,1948,3262,1.17669866108
2020-03-09,1,1,,,,,,,252,186,316,2442,1799,3017,2909,2135,3577,1.17396682079
2020-03-10,0,1,,,,,,,267,197,336,2618,1931,3243,3176,2333,3912,1.17059723347
2020-03-11,0,1,,,,,,,281,208,355,2807,2073,3485,3457,2542,4267,1.16643156132
2020-03-12,0,1,,,,,,,296,219,375,3004,2221,3741,3753,2761,4642,1.16127359301
2020-03-13,0,1,,,,,,,310,230,396,3205,2371,4003,4062,2991,5038,1.15488726789
2020-03-14,0,1,,,,,,,324,241,416,3402,2520,4265,4386,3233,5453,1.14700366104
2020-03-15,0,1,,,,,,,337,249,437,3600,2667,4531,4723,3482,5890,1.13734435637
2020-03-16,3,4,,,,,,,350,255,459,3801,2814,4806,5073,3738,6349,1.12566676479
2020-03-17,0,4,,,,,,,361,261,479,4003,2957,5089,5435,3999,6828,1.11182787188
2020-03-18,3,7,,,,,,,372,265,499,4205,3097,5377,5806,4264,7326,1.09584778295
2020-03-19,0,7,,,,,,,380,268,516,4401,3229,5666,6186,4533,7842,1.07794502892
