date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-16,,,,,,,,,611,250,750,611,250,750,611,250,750,3.6342237512
2020-02-17,,,,,,,,,611,250,750,1223,500,1500,1223,500,1500,3.62593216221
2020-02-18,,,,,,,,,611,250,750,1834,750,2250,1834,750,2250,3.62408575626
2020-02-19,,,,,,,,,611,250,750,2445,1000,3000,2445,1000,3000,3.62182505678
2020-02-20,,,,,,,,,611,250,750,3057,1250,3750,3057,1250,3750,3.61905542594
2020-02-21,,,,,,,,,611,250,750,3668,1500,4500,3668,1500,4500,3.61565968082
2020-02-22,,,,,,,,,611,250,750,4279,1750,5250,4279,1750,5250,3.61149220287
2020-02-23,,,,,,,,,611,250,750,4890,2000,6000,4890,2000,6000,3.60637122347
2020-02-24,,,,,,,,,611,250,750,5502,2250,6750,5502,2250,6750,3.60006858358
2020-02-25,,,,,,,,,2791,1132,3880,8293,3382,10630,8293,3382,10630,3.59184763361
2020-02-26,,,,,,,,,2778,1127,3862,11071,4509,14491,11071,4509,14491,3.58218314946
2020-02-27,,,,,,,,,3153,1276,4486,14224,5786,18977,14224,5786,18977,3.57000951013
2020-02-28,,,,,,,,,3908,1576,5735,18132,7362,24711,18132,7362,24711,3.55491781985
2020-02-29,,,,,,,,,5487,2205,8342,23619,9568,33053,23619,9568,33053,3.53607115216
2020-03-01,,,,,,,,,7998,3206,12470,31617,12774,45522,31617,12774,45522,3.51237916153
2020-03-02,,,,,,,,,10230,4095,16134,41236,16619,60905,41847,16869,61655,3.4823730929
2020-03-03,,,,,,,,,12743,5095,20267,53368,21465,80422,54590,21965,81922,3.4441391144
2020-03-04,,,,,,,,,16255,6500,25872,69012,27716,105544,70846,28466,107794,3.39533938591
2020-03-05,,,,,,,,,20990,8419,33129,89391,35886,137922,91836,36886,140922,3.33299788629
2020-03-06,,,,,,,,,27083,10948,42918,115862,46584,180089,118919,47834,183839,3.25355859919
2020-03-07,,,,,,,,,33917,14080,53400,149168,60414,232739,152836,61914,237239,3.15323249188
2020-03-08,,,,,,,,,41536,18026,64666,190093,78190,296655,194372,79940,301905,3.02864319516
2020-03-09,,,,,,,,,50127,23077,79045,239608,101018,374949,244498,103018,380949,2.87786401404
2020-03-10,,,,,,,,,59477,29185,94333,298473,129953,468532,303975,132203,475282,2.70148476853
2020-03-11,1,1,,,,,,,69009,35585,107376,364691,164406,572028,372984,167788,582657,2.50344951577
2020-03-12,0,1,,,,,,,77862,43655,113072,439774,206934,681238,450845,211444,695729,2.29115312484
2020-03-13,1,2,,,,,,,85478,47276,119106,522099,252934,795858,536323,258720,814835,2.07447292926
2020-03-14,3,5,,,,,,,91632,56385,120016,609823,307742,910139,627955,315105,934850,1.86395838258
2020-03-15,5,10,,,,,,,96220,61966,133923,700556,367504,1035720,724175,377072,1068773,1.66884255567
2020-03-16,11,21,,,,,,,99230,67137,131736,791787,431435,1154987,823405,444210,1200508,1.49563590368
2020-03-17,14,35,,,,,,,100733,67646,133844,882291,494986,1272697,924138,511856,1334352,1.34764368672
2020-03-18,25,60,,,,,,,100925,69115,137589,970473,559006,1390019,1025063,580971,1471940,1.22527885592
2020-03-19,32,92,,,,,,,100077,68071,137936,1054294,620577,1502082,1125140,649043,1609876,1.12682175999
2020-03-20,55,147,,,,,,,98443,68059,135568,1131746,680216,1604521,1223582,717102,1745443,1.04928399005
2020-03-21,48,195,,,,,,,96228,68475,132851,1200891,737743,1694454,1319810,785578,1878293,0.989162361797
2020-03-22,92,287,,,,,,,93587,66335,130004,1260561,789998,1771058,1413397,851913,2008297,0.942990840041
2020-03-23,100,387,,,,,,,90645,63997,127337,1309671,835970,1833729,1504042,915911,2135633,0.90767619274
2020-03-24,127,514,,,,,,,87510,61691,121367,1347054,874584,1876051,1591553,977603,2257000,0.880647995996
2020-03-25,149,663,,,,,,,84267,59444,116821,1371844,904844,1898538,1675819,1037048,2373820,0.859875861337
2020-03-26,249,912,,,,,,,80980,57657,112176,1383815,926917,1903339,1756799,1094705,2485995,0.843811108762
2020-03-27,315,1227,,,,,,,77694,56211,107533,1383647,939473,1897799,1834493,1150917,2593528,0.831298911751
2020-03-28,374,1601,,,,,,,74443,54462,102390,1372612,946659,1881083,1908936,1205380,2695917,0.821489285125
2020-03-29,430,2031,,,,,,,71254,53212,96973,1352234,943486,1858040,1980189,1258592,2792890,0.813760190246
2020-03-30,554,2585,,,,,,,68147,52069,92173,1324162,933589,1816290,2048337,1310662,2885062,0.807656417489
2020-03-31,659,3244,,,,,,,65139,50761,88395,1290071,917214,1772949,2113476,1361424,2973457,0.802843228797
2020-04-01,732,3976,,,,,,,62241,49494,85066,1251579,899062,1724172,2175717,1410918,3058523,0.799072099502
2020-04-02,837,4813,,,,,,,59457,47550,80882,1210111,877498,1667465,2235174,1458469,3139405,0.796155696192
2020-04-03,706,5519,,,,,,,56793,44630,76854,1166827,854056,1606383,2291966,1503099,3216258,0.793949648064
2020-04-04,591,6110,,,,,,,54248,42659,72624,1122632,828656,1543439,2346215,1545758,3288881,0.792339258274
2020-04-05,822,6932,,,,,,,51824,39945,69764,1078228,800126,1480351,2398038,1585704,3358644,0.791229861652
2020-04-06,1030,7962,,,,,,,49517,38303,66558,1034159,772094,1416906,2447555,1624008,3425202,0.790539977056
2020-04-07,1081,9043,,,,,,,47325,36833,63273,990838,744929,1352842,2494880,1660841,3488475,0.790196689392
2020-04-08,985,10028,,,,,,,45243,34132,60344,948570,717371,1291819,2540123,1694974,3548818,0.790132850746
2020-04-09,973,11001,,,,,,,43266,31450,57646,907569,689376,1232644,2583388,1726424,3606463,0.790285748383
2020-04-10,849,11850,,,,,,,41388,29029,54913,867978,660748,1175381,2624777,1755454,3661376,0.79059689
2020-04-11,927,12777,,,,,,,39605,27012,52452,829889,631549,1120301,2664382,1782467,3713828,0.791012541476
2020-04-12,975,13752,,,,,,,37911,25340,50633,793357,602427,1068544,2702293,1807808,3764461,0.791484648379
2020-04-13,978,14730,,,,,,,36300,23779,49138,758404,572995,1020710,2738594,1831587,3813599,0.79197180098
2020-04-14,882,15612,,,,,,,34767,22311,47823,725024,543236,976359,2773361,1853898,3861421,0.792439970365
2020-04-15,786,16398,,,,,,,33308,20946,46520,693193,513420,934484,2806669,1874845,3907941,0.792862841669
2020-04-16,742,17140,,,,,,,31916,19669,45028,662868,483596,894445,2838585,1894514,3952968,0.79322167947
2020-04-17,1050,18190,,,,,,,30589,18478,43741,634000,454523,857304,2869174,1912993,3996708,0.793504757256
2020-04-18,1046,19236,,,,,,,29322,17168,42077,606529,427061,822527,2898496,1930161,4038784,0.793706451105
2020-04-19,-131,19105,,,,,,,28112,16150,40877,580393,400553,790780,2926608,1946312,4079660,0.793826130944
2020-04-20,619,19724,,,,,,,26955,15196,39712,555525,375803,760728,2953563,1961508,4119372,0.793866984317
2020-04-21,627,20351,,,,,,,25849,14300,38626,531857,351800,732796,2979412,1975809,4157997,0.793834886497
2020-04-22,515,20866,,,,,,,24791,13316,37566,509323,328284,707088,3004203,1989125,4195562,0.793737397904
2020-04-23,657,21523,,,,,,,23778,12330,36312,487858,306482,683056,3027981,2001456,4231873,0.793582934453
