date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-23,,,,,,,,,110,50,150,110,50,150,110,50,150,1.89188359953
2020-02-24,,,,,,,,,110,50,150,220,100,300,220,100,300,1.88664520873
2020-02-25,,,,,,,,,110,50,150,329,150,450,329,150,450,1.88549130898
2020-02-26,,,,,,,,,110,50,150,439,200,600,439,200,600,1.8840846607
2020-02-27,,,,,,,,,110,50,150,549,250,750,549,250,750,1.88237051284
2020-02-28,,,,,,,,,110,50,150,659,300,900,659,300,900,1.88028248502
2020-02-29,,,,,,,,,110,50,150,768,350,1050,768,350,1050,1.87774016163
2020-03-01,,,,,,,,,110,50,150,878,400,1200,878,400,1200,1.87464618729
2020-03-02,,,,,,,,,110,50,150,988,450,1350,988,450,1350,1.87088274312
2020-03-03,,,,,,,,,308,149,450,1295,599,1800,1295,599,1800,1.86617835306
2020-03-04,,,,,,,,,306,148,448,1601,747,2247,1601,747,2247,1.86060249494
2020-03-05,,,,,,,,,322,157,476,1923,904,2722,1923,904,2722,1.85380347815
2020-03-06,,,,,,,,,355,175,532,2278,1080,3254,2278,1080,3254,1.84555765554
2020-03-07,,,,,,,,,425,214,650,2704,1294,3904,2704,1294,3904,1.83555495568
2020-03-08,,,,,,,,,534,274,834,3238,1568,4737,3238,1568,4737,1.82342183183
2020-03-09,,,,,,,,,617,321,967,3745,1840,5554,3854,1890,5704,1.80871056745
2020-03-10,,,,,,,,,687,363,1072,4322,2153,6476,4541,2253,6776,1.79090180474
2020-03-11,,,,,,,,,770,414,1196,4982,2517,7521,5312,2667,7971,1.76943171734
2020-03-12,,,,,,,,,868,476,1367,5740,2944,8738,6179,3144,9338,1.7437286086
2020-03-13,,,,,,,,,986,554,1596,6616,3448,10183,7165,3698,10933,1.71329862609
2020-03-14,,,,,,,,,1102,634,1807,7608,4033,11839,8266,4333,12739,1.67784476979
2020-03-15,,,,,,,,,1211,717,1956,8709,4700,13644,9478,5050,14694,1.63737224995
2020-03-16,,,,,,,,,1319,804,2081,9918,5455,15575,10796,5855,16775,1.59223881631
2020-03-17,,,,,,,,,1426,900,2188,11235,6305,17612,12223,6755,18962,1.54311892401
2020-03-18,1,1,,,,,,,1535,1003,2228,12462,7159,19390,13758,7758,21190,1.49091774273
2020-03-19,0,1,,,,,,,1637,1108,2334,13793,8120,21276,15394,8867,23523,1.43668382708
2020-03-20,2,3,,,,,,,1727,1194,2371,15199,9157,23171,17122,10062,25893,1.38154622954
2020-03-21,0,3,,,,,,,1806,1263,2463,16649,10245,25101,18928,11326,28355,1.32667372575
2020-03-22,0,3,,,,,,,1874,1302,2605,18097,11334,27056,20801,12628,30960,1.27323816431
2020-03-23,1,4,,,,,,,1931,1334,2629,19494,12394,28851,22732,13963,33588,1.22236693752
2020-03-24,4,8,,,,,,,1976,1378,2675,20854,13451,30559,24708,15341,36263,1.17507571522
2020-03-25,1,9,,,,,,,2011,1417,2714,22177,14505,32202,26719,16759,38977,1.13218234714
2020-03-26,0,9,,,,,,,2034,1438,2732,23441,15530,33737,28753,18197,41708,1.09421934453
2020-03-27,0,9,,,,,,,2049,1456,2735,24623,16510,35106,30802,19654,44443,1.06137722603
2020-03-28,4,13,,,,,,,2057,1468,2763,25694,17425,36274,32859,21123,47206,1.03351035451
2020-03-29,3,16,,,,,,,2059,1481,2750,26651,18271,37217,34917,22604,49956,1.01021078565
2020-03-30,0,16,,,,,,,2055,1491,2738,27495,19045,37999,36972,24096,52693,0.990920376003
2020-03-31,3,19,,,,,,,2047,1499,2739,28224,19740,38657,39020,25595,55432,0.975037901623
2020-04-01,5,24,,,,,,,2036,1504,2728,28833,20344,39198,41056,27099,58160,0.961993258238
2020-04-02,8,32,,,,,,,2022,1502,2708,29320,20843,39679,43078,28602,60868,0.95128467593
2020-04-03,13,45,,,,,,,2005,1494,2681,29688,21229,40025,45082,30097,63548,0.942488975473
2020-04-04,6,51,,,,,,,1986,1500,2646,29947,21535,40300,47069,31598,66193,0.935257169814
2020-04-05,13,64,,,,,,,1966,1505,2606,30108,21776,40444,49035,33103,68799,0.929304307065
2020-04-06,8,72,,,,,,,1945,1495,2562,30179,21970,40402,50981,34599,71361,0.92439839343
2020-04-07,20,92,,,,,,,1923,1478,2515,30172,22114,40288,52904,36077,73876,0.920350437943
2020-04-08,15,107,,,,,,,1900,1457,2466,30096,22193,40079,54804,37535,76341,0.917006184963
2020-04-09,16,123,,,,,,,1877,1438,2415,29962,22214,39780,56681,38974,78756,0.914239468359
2020-04-10,10,133,,,,,,,1853,1423,2363,29781,22199,39410,58534,40397,81118,0.91194692111
2020-04-11,12,145,,,,,,,1830,1401,2310,29562,22144,38985,60364,41799,83427,0.910043756252
2020-04-12,12,157,,,,,,,1806,1393,2257,29311,22069,38479,62169,43192,85684,0.908460379288
2020-04-13,10,167,,,,,,,1782,1378,2226,29034,21966,37954,63951,44570,87909,0.9071396476
2020-04-14,18,185,,,,,,,1758,1350,2195,28736,21825,37411,65708,45921,90104,0.906034639444
2020-04-15,17,202,,,,,,,1734,1322,2165,28422,21648,36838,67442,47243,92269,0.905106829781
2020-04-16,14,216,,,,,,,1710,1302,2134,28096,21446,36243,69152,48546,94402,0.904324594327
2020-04-17,13,229,,,,,,,1686,1278,2120,27761,21222,35655,70839,49824,96522,0.903661980299
2020-04-18,7,236,,,,,,,1663,1268,2107,27419,20995,35081,72502,51093,98628,0.903097695074
2020-04-19,6,242,,,,,,,1640,1243,2090,27072,20738,34525,74141,52337,100717,0.902614273782
2020-04-20,21,263,,,,,,,1617,1225,2071,26723,20458,33989,75758,53562,102788,0.902197394344
2020-04-21,18,281,,,,,,,1594,1195,2052,26372,20158,33479,77352,54757,104840,0.901835314147
2020-04-22,20,301,,,,,,,1571,1165,2034,26020,19845,32998,78923,55923,106873,0.901478401527
2020-04-23,16,317,,,,,,,1549,1146,2014,25668,19534,32546,80472,57069,108887,0.901163029297
2020-04-24,26,343,,,,,,,1526,1119,1994,25318,19215,32125,81998,58189,110880,0.900884936491
2020-04-25,14,357,,,,,,,1504,1091,1951,24969,18883,31714,83503,59281,112831,0.900649341386
2020-04-26,17,374,,,,,,,1483,1067,1912,24622,18549,31316,84986,60348,114742,0.900463229455
2020-04-27,21,395,,,,,,,1461,1041,1880,24278,18197,30938,86447,61389,116622,0.900315732622
2020-04-28,14,409,,,,,,,1440,1015,1869,23936,17834,30581,87887,62405,118490,0.900263056554
2020-04-29,15,424,,,,,,,1419,989,1858,23597,17473,30244,89306,63394,120347,0.900224711287
2020-04-30,19,443,,,,,,,1398,964,1846,23262,17115,29925,90704,64359,122193,0.900203475253
2020-05-01,14,457,,,,,,,1378,940,1835,22929,16752,29626,92082,65299,124027,0.900202744693
2020-05-02,15,472,,,,,,,1357,915,1823,22600,16390,29328,93439,66214,125850,0.900226652464
2020-05-03,12,484,,,,,,,1337,892,1811,22275,16014,29032,94777,67107,127660,0.900280223428
2020-05-04,11,495,,,,,,,1318,870,1798,21953,15640,28741,96094,67977,129458,0.900369560087
2020-05-05,29,524,,,,,,,1298,847,1786,21634,15262,28456,97393,68825,131243,0.900502063356
2020-05-06,15,539,,,,,,,1279,823,1770,21320,14890,28173,98672,69648,133012,0.900686694778
2020-05-07,23,562,,,,,,,1260,803,1752,21009,14528,27891,99932,70451,134764,0.900934282204
2020-05-08,21,583,,,,,,,1242,784,1736,20701,14166,27613,101173,71236,136499,0.901257874712
2020-05-09,11,594,,,,,,,1223,766,1720,20398,13813,27339,102396,72002,138219,0.90167315
2020-05-10,11,605,,,,,,,1205,746,1704,20099,13468,27092,103602,72749,139923,0.902198872931
2020-05-11,17,622,,,,,,,1188,727,1688,19804,13128,26868,104790,73476,141610,0.902857400315
2020-05-12,10,632,,,,,,,1171,710,1671,19513,12797,26659,105960,74187,143280,0.903675217579
2020-05-13,21,653,,,,,,,1154,694,1662,19227,12476,26453,107114,74881,144942,0.904683481841
2020-05-14,12,665,,,,,,,1138,678,1648,18946,12164,26243,108252,75559,146590,0.905918528828
2020-05-15,15,680,,,,,,,1122,663,1635,18670,11863,26031,109374,76222,148224,0.907422277695
2020-05-16,11,691,,,,,,,1107,648,1622,18400,11572,25818,110482,76871,149845,0.909242437858
2020-05-17,7,698,,,,,,,1093,635,1609,18136,11291,25605,111575,77506,151454,0.911432385745
2020-05-18,16,714,,,,,,,1080,622,1599,17878,11021,25393,112654,78129,153052,0.914050540239
2020-05-19,15,729,,,,,,,1067,610,1589,17627,10761,25184,113722,78739,154641,0.917159030385
2020-05-20,11,740,,,,,,,1056,598,1579,17385,10513,24977,114778,79338,156220,0.920821429932
2020-05-21,9,749,,,,,,,1046,588,1574,17151,10278,24781,115823,79926,157793,0.925099349927
2020-05-22,9,758,,,,,,,1037,579,1566,16928,10054,24596,116860,80506,159359,0.930047757536
2020-05-23,7,765,,,,,,,1029,573,1555,16715,9843,24415,117888,81079,160914,0.935709052384
2020-05-24,3,768,,,,,,,1023,568,1559,16515,9645,24254,118911,81648,162472,0.942106195876
2020-05-25,5,773,,,,,,,1019,566,1566,16328,9465,24115,119930,82214,164037,0.949235541141
2020-05-26,7,780,,,,,,,1016,561,1565,16156,9299,23992,120946,82776,165601,0.957060386748
2020-05-27,-4,776,,,,,,,1016,557,1568,16001,9146,23889,121961,83333,167169,0.965506550754
2020-05-28,13,789,,,,,,,1017,552,1575,15865,9004,23802,122979,83886,168743,0.974461460988
2020-05-29,5,794,,,,,,,1021,548,1595,15748,8874,23749,124000,84434,170338,0.98377757955
2020-05-30,18,812,,,,,,,1026,542,1616,15652,8754,23730,125026,84976,171953,0.993280572978
2020-05-31,2,814,,,,,,,1034,540,1637,15578,8645,23745,126060,85517,173589,1.00278164944
2020-06-01,1,815,,,,,,,1043,543,1669,15528,8554,23805,127102,86060,175258,1.01209206682
2020-06-02,10,825,,,,,,,1054,548,1706,15502,8479,23912,128156,86608,176964,1.02103769321
2020-06-03,6,831,,,,,,,1066,553,1748,15501,8422,24071,129223,87162,178712,1.02947122702
2020-06-04,2,833,,,,,,,1081,553,1790,15526,8377,24283,130303,87715,180502,1.03728038269
2020-06-05,7,840,,,,,,,1096,547,1852,15576,8336,24561,131399,88263,182353,1.04439133866
2020-06-06,8,848,,,,,,,1113,550,1901,15653,8307,24895,132512,88813,184253,1.05076772458
2020-06-07,2,850,,,,,,,1132,549,1963,15756,8283,25303,133644,89363,186216,1.05640620094
2020-06-08,4,854,,,,,,,1151,548,2022,15884,8263,25766,134795,89911,188238,1.0613300005
2020-06-09,8,862,,,,,,,1172,557,2099,16038,8255,26300,135967,90469,190337,1.06558174642
2020-06-10,3,865,,,,,,,1194,557,2172,16216,8251,26907,137162,91027,192508,1.0692165796
2020-06-11,0,865,,,,,,,1217,557,2265,16418,8250,27605,138379,91584,194773,1.07229623622
2020-06-12,16,881,,,,,,,1242,561,2352,16642,8260,28381,139621,92146,197124,1.07488437015
2020-06-13,6,887,,,,,,,1267,565,2436,16889,8277,29222,140888,92711,199559,1.07704315078
2020-06-14,2,889,,,,,,,1294,565,2522,17156,8300,30128,142182,93277,202080,1.07883100312
2020-06-15,2,891,,,,,,,1321,571,2615,17444,8332,31106,143504,93849,204695,1.08029560623
2020-06-16,4,895,,,,,,,1350,572,2733,17751,8361,32170,144854,94422,207428,1.08149033131
2020-06-17,19,914,,,,,,,1380,573,2834,18077,8387,33298,146233,94995,210261,1.08245703612
2020-06-18,36,950,,,,,,,1411,574,2957,18422,8407,34507,147644,95570,213218,1.08323198037
2020-06-19,13,963,,,,,,,1443,575,3090,18784,8429,35807,149087,96145,216308,1.08384623433
2020-06-20,10,973,,,,,,,1476,571,3228,19164,8454,37183,150563,96717,219536,1.08432618822
2020-06-21,2,975,,,,,,,1510,569,3373,19561,8472,38655,152073,97286,222908,1.08469409727
2020-06-22,5,980,,,,,,,1546,567,3524,19975,8490,40216,153619,97853,226432,1.08496861977
2020-06-23,8,988,,,,,,,1582,564,3682,20406,8506,41876,155201,98418,230113,1.08516532231
2020-06-24,10,998,,,,,,,1620,565,3846,20854,8514,43623,156821,98984,233959,1.08529713926
2020-06-25,2,1000,,,,,,,1659,561,4018,21319,8518,45469,158480,99545,237977,1.08537478041
2020-06-26,9,1009,,,,,,,1700,558,4198,21801,8519,47402,160180,100104,242174,1.08540708679
2020-06-27,5,1014,,,,,,,1741,552,4385,22301,8509,49434,161922,100656,246558,1.08540133677
2020-06-28,0,1014,,,,,,,1785,557,4580,22818,8501,51578,163706,101213,251137,1.08536350705
2020-06-29,2,1016,,,,,,,1829,562,4783,23353,8498,53840,165535,101776,255920,1.08529849317
2020-06-30,3,1019,,,,,,,1868,552,4985,23900,8479,56209,167403,102328,260904,1.08099223291
2020-07-01,14,1033,,,,,,,1908,546,5195,24457,8452,58671,169311,102875,266099,1.07668475937
2020-07-02,11,1044,,,,,,,1948,541,5413,25025,8421,61250,171259,103417,271511,1.07237952256
2020-07-03,3,1047,,,,,,,1989,536,5638,25604,8383,63931,173248,103953,277148,1.06807877155
2020-07-04,3,1050,,,,,,,2029,529,5869,26190,8336,66710,175277,104482,283017,1.06378435216
