date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-25,,,,,,,,,47,30,50,47,30,50,47,30,50,1.69162601824
2020-02-26,,,,,,,,,47,30,50,93,60,100,93,60,100,1.68810623225
2020-02-27,,,,,,,,,47,30,50,140,90,150,140,90,150,1.68732751896
2020-02-28,,,,,,,,,47,30,50,186,120,200,186,120,200,1.6863765773
2020-02-29,,,,,,,,,47,30,50,233,150,250,233,150,250,1.68521528486
2020-03-01,,,,,,,,,47,30,50,279,180,300,279,180,300,1.68379702429
2020-03-02,,,,,,,,,47,30,50,326,210,350,326,210,350,1.68206473415
2020-03-03,,,,,,,,,47,30,50,372,240,400,372,240,400,1.67994846934
2020-03-04,,,,,,,,,47,30,50,419,270,450,419,270,450,1.677362322
2020-03-05,,,,,,,,,124,82,140,543,352,590,543,352,590,1.67412423727
2020-03-06,,,,,,,,,123,82,140,666,435,730,666,435,730,1.67024673157
2020-03-07,,,,,,,,,129,86,147,796,521,877,796,521,877,1.66548507947
2020-03-08,,,,,,,,,141,95,163,937,616,1039,937,616,1039,1.65965405415
2020-03-09,,,,,,,,,166,112,195,1103,729,1234,1103,729,1234,1.65250181288
2020-03-10,,,,,,,,,205,140,246,1308,869,1480,1308,869,1480,1.64371655489
2020-03-11,,,,,,,,,234,160,286,1496,1000,1715,1542,1030,1765,1.6329156037
2020-03-12,,,,,,,,,259,177,321,1708,1148,1985,1801,1208,2085,1.61964375107
2020-03-13,,,,,,,,,286,197,363,1947,1316,2297,2087,1406,2447,1.60339102504
2020-03-14,,,,,,,,,318,220,414,2219,1506,2660,2405,1626,2860,1.5836281032
2020-03-15,,,,,,,,,357,246,478,2530,1723,3088,2763,1873,3338,1.55988243152
2020-03-16,,,,,,,,,395,272,546,2879,1965,3584,3158,2145,3884,1.53184305889
2020-03-17,,,,,,,,,431,290,615,3263,2226,4148,3589,2436,4498,1.49945440064
2020-03-18,,,,,,,,,466,304,689,3683,2501,4787,4055,2741,5187,1.46295725454
2020-03-19,,,,,,,,,500,317,768,4136,2789,5504,4555,3059,5954,1.42285301451
2020-03-20,1,1,,,,,,,535,337,851,4547,3043,6215,5090,3396,6805,1.37982243663
2020-03-21,0,1,,,,,,,567,355,932,4991,3316,7007,5657,3751,7737,1.33464831819
2020-03-22,0,1,,,,,,,596,369,1004,5457,3599,7864,6253,4121,8740,1.28817302431
2020-03-23,0,1,,,,,,,620,373,1062,5936,3877,8762,6872,4494,9801,1.24129260593
2020-03-24,0,1,,,,,,,639,381,1101,6409,4146,9667,7511,4876,10901,1.19496713667
2020-03-25,1,2,,,,,,,655,386,1119,6858,4393,10541,8166,5263,12020,1.15021715036
2020-03-26,0,2,,,,,,,666,391,1118,7290,4623,11374,8832,5654,13138,1.10807614943
2020-03-27,0,2,,,,,,,673,393,1101,7704,4839,12154,9504,6048,14238,1.06948702607
2020-03-28,0,2,,,,,,,675,393,1071,8093,5035,12862,10180,6441,15309,1.03516538287
2020-03-29,0,2,,,,,,,675,392,1066,8450,5207,13514,10855,6834,16374,1.00548444853
2020-03-30,1,3,,,,,,,673,392,1070,8765,5353,14106,11528,7226,17444,0.980438393086
2020-03-31,5,8,,,,,,,668,391,1039,9038,5471,14599,12196,7617,18482,0.959702352706
2020-04-01,1,9,,,,,,,663,391,1005,9270,5571,14989,12859,8008,19487,0.942754612696
2020-04-02,4,13,,,,,,,655,391,971,9459,5658,15272,13514,8400,20458,0.929003431843
2020-04-03,0,13,,,,,,,647,389,938,9606,5730,15442,14161,8789,21395,0.917878673192
2020-04-04,5,18,,,,,,,638,386,907,9710,5779,15498,14800,9176,22302,0.908879512156
2020-04-05,2,20,,,,,,,629,384,898,9772,5808,15464,15429,9560,23200,0.901588882446
2020-04-06,3,23,,,,,,,619,383,887,9795,5822,15347,16048,9943,24087,0.895669395975
2020-04-07,1,24,,,,,,,609,381,874,9785,5830,15160,16658,10324,24961,0.890851788704
2020-04-08,2,26,,,,,,,599,379,860,9745,5828,14920,17257,10704,25820,0.886922050193
2020-04-09,3,29,,,,,,,589,376,845,9680,5817,14645,17846,11080,26664,0.883709897077
2020-04-10,3,32,,,,,,,579,372,828,9593,5798,14355,18425,11453,27492,0.881079351905
2020-04-11,8,40,,,,,,,569,369,812,9489,5774,14066,18994,11822,28304,0.878921355155
2020-04-12,0,40,,,,,,,559,365,795,9373,5746,13789,19552,12188,29098,0.877148064335
2020-04-13,6,46,,,,,,,549,361,772,9246,5715,13495,20101,12549,29869,0.875688464656
2020-04-14,2,48,,,,,,,539,358,746,9112,5681,13171,20640,12908,30615,0.874484971945
2020-04-15,0,48,,,,,,,529,354,721,8973,5645,12853,21169,13262,31335,0.873490781446
2020-04-16,0,48,,,,,,,520,350,703,8830,5603,12551,21689,13612,32037,0.872667780221
2020-04-17,2,50,,,,,,,510,345,693,8685,5557,12272,22200,13958,32730,0.871984889899
2020-04-18,1,51,,,,,,,501,341,684,8539,5509,12018,22701,14299,33413,0.871416741905
2020-04-19,0,51,,,,,,,492,336,674,8393,5460,11785,23193,14636,34086,0.870942612357
2020-04-20,8,59,,,,,,,483,332,658,8247,5408,11545,23676,14968,34744,0.870545561776
2020-04-21,2,61,,,,,,,475,328,642,8102,5353,11300,24151,15296,35386,0.870211737797
2020-04-22,5,66,,,,,,,466,323,627,7959,5295,11052,24617,15620,36012,0.869929808583
2020-04-23,2,68,,,,,,,458,318,615,7817,5234,10807,25074,15938,36627,0.869690501593
2020-04-24,4,72,,,,,,,449,312,613,7677,5170,10575,25523,16251,37239,0.869486227635
2020-04-25,1,73,,,,,,,441,306,610,7540,5105,10357,25965,16558,37849,0.869310774071
2020-04-26,0,73,,,,,,,433,295,608,7404,5031,10153,26398,16854,38456,0.869159054264
2020-04-27,2,75,,,,,,,426,283,601,7271,4949,9959,26824,17137,39056,0.869026902812
2020-04-28,5,80,,,,,,,418,271,592,7140,4859,9779,27241,17409,39648,0.868902020147
2020-04-29,7,87,,,,,,,410,260,583,7012,4762,9615,27652,17670,40230,0.868790247135
2020-04-30,3,90,,,,,,,403,254,574,6885,4662,9469,28055,17924,40803,0.868691097463
2020-05-01,2,92,,,,,,,396,249,565,6761,4562,9331,28451,18174,41368,0.868601666074
2020-05-02,2,94,,,,,,,389,245,557,6640,4462,9195,28839,18420,41924,0.86852941825
2020-05-03,1,95,,,,,,,382,241,551,6520,4361,9062,29221,18661,42474,0.868473776225
2020-05-04,9,104,,,,,,,375,236,546,6402,4261,8933,29595,18898,43019,0.868453191214
2020-05-05,2,106,,,,,,,368,232,541,6287,4161,8816,29963,19130,43560,0.868438101812
2020-05-06,6,112,,,,,,,361,225,536,6174,4059,8709,30324,19355,44095,0.868429544838
2020-05-07,2,114,,,,,,,355,216,530,6062,3952,8613,30679,19572,44625,0.868428789193
2020-05-08,1,115,,,,,,,348,207,526,5953,3842,8524,31027,19780,45150,0.868437384365
2020-05-09,1,116,,,,,,,342,199,523,5845,3728,8435,31369,19980,45673,0.868457221097
2020-05-10,1,117,,,,,,,335,190,520,5739,3612,8345,31704,20170,46193,0.868490604874
2020-05-11,0,117,,,,,,,329,182,517,5635,3499,8254,32033,20353,46709,0.868540344585
2020-05-12,1,118,,,,,,,323,175,514,5532,3391,8167,32356,20529,47223,0.868609859509
2020-05-13,2,120,,,,,,,317,167,510,5432,3287,8085,32673,20696,47732,0.868703307528
2020-05-14,1,121,,,,,,,311,160,507,5332,3187,8009,32984,20857,48239,0.868825738435
2020-05-15,4,125,,,,,,,305,154,503,5234,3087,7939,33289,21011,48742,0.868983276494
2020-05-16,1,126,,,,,,,299,147,500,5138,2984,7873,33589,21159,49241,0.869183336292
2020-05-17,1,127,,,,,,,294,141,496,5043,2880,7813,33882,21300,49737,0.869434876056
2020-05-18,1,128,,,,,,,288,135,493,4950,2774,7755,34170,21436,50229,0.869748691814
2020-05-19,0,128,,,,,,,283,129,489,4858,2667,7698,34453,21566,50717,0.870137754538
2020-05-20,0,128,,,,,,,277,124,485,4767,2559,7643,34730,21690,51202,0.87061758986
2020-05-21,4,132,,,,,,,272,118,481,4678,2453,7588,35002,21809,51682,0.871206695773
2020-05-22,2,134,,,,,,,267,113,478,4590,2350,7535,35269,21923,52159,0.871926987041
2020-05-23,1,135,,,,,,,261,108,474,4503,2251,7483,35530,22032,52633,0.872804245177
2020-05-24,0,135,,,,,,,256,104,470,4418,2156,7429,35786,22136,53102,0.873868538705
2020-05-25,3,138,,,,,,,252,99,466,4334,2065,7376,36038,22236,53568,0.875154559202
2020-05-26,1,139,,,,,,,247,95,463,4252,1978,7321,36285,22331,54030,0.876701793791
2020-05-27,2,141,,,,,,,243,92,460,4172,1894,7267,36528,22424,54489,0.878554424903
2020-05-28,2,143,,,,,,,239,88,457,4093,1815,7214,36766,22512,54946,0.880760810132
2020-05-29,0,143,,,,,,,235,85,454,4017,1740,7162,37002,22598,55400,0.883372343228
2020-05-30,0,143,,,,,,,232,82,452,3944,1669,7110,37233,22681,55851,0.886441677163
2020-05-31,0,143,,,,,,,228,80,449,3873,1602,7060,37462,22761,56300,0.89001985575
2020-06-01,0,143,,,,,,,226,77,448,3805,1538,7011,37687,22839,56747,0.894152443215
2020-06-02,0,143,,,,,,,223,75,448,3740,1479,6966,37910,22915,57195,0.898874623066
2020-06-03,2,145,,,,,,,221,74,449,3678,1423,6926,38131,22989,57643,0.904205515361
2020-06-04,1,146,,,,,,,219,72,452,3620,1372,6893,38350,23062,58094,0.910142252461
2020-06-05,0,146,,,,,,,218,71,454,3566,1324,6866,38568,23133,58548,0.916654645346
2020-06-06,0,146,,,,,,,217,70,454,3516,1281,6842,38785,23204,59001,0.923681538702
2020-06-07,0,146,,,,,,,216,69,457,3471,1242,6825,39001,23274,59458,0.93112998979
2020-06-08,3,149,,,,,,,216,69,458,3430,1206,6814,39216,23343,59915,0.938878126137
2020-06-09,2,151,,,,,,,215,68,463,3394,1175,6811,39432,23411,60378,0.946781932874
2020-06-10,0,151,,,,,,,216,68,469,3363,1148,6817,39647,23480,60847,0.954685372263
2020-06-11,-2,149,,,,,,,216,68,476,3336,1125,6833,39864,23549,61322,0.962432422487
2020-06-12,0,149,,,,,,,217,68,487,3315,1104,6863,40081,23617,61809,0.969879114568
2020-06-13,1,150,,,,,,,218,68,497,3298,1088,6906,40299,23686,62305,0.976903645982
2020-06-14,0,150,,,,,,,220,69,504,3286,1074,6958,40519,23755,62809,0.983413159469
2020-06-15,1,151,,,,,,,221,69,512,3279,1064,7021,40741,23825,63320,0.989346594737
2020-06-16,0,151,,,,,,,223,70,519,3277,1056,7092,40964,23896,63839,0.994673860342
2020-06-17,0,151,,,,,,,225,70,528,3279,1051,7172,41189,23967,64366,0.999392185346
2020-06-18,1,152,,,,,,,228,71,539,3286,1048,7262,41417,24038,64905,1.0035207821
2020-06-19,0,152,,,,,,,230,72,553,3296,1048,7364,41647,24111,65457,1.00709491089
2020-06-20,0,152,,,,,,,232,73,567,3311,1050,7476,41879,24184,66024,1.01016019565
2020-06-21,0,152,,,,,,,235,72,582,3329,1052,7605,42114,24257,66606,1.01276772552
2020-06-22,1,153,,,,,,,238,71,598,3351,1054,7746,42352,24329,67203,1.01497018562
2020-06-23,0,153,,,,,,,241,71,614,3376,1056,7902,42592,24400,67817,1.01681904226
2020-06-24,0,153,,,,,,,243,71,631,3404,1059,8070,42836,24471,68448,1.01836267297
2020-06-25,1,154,,,,,,,247,70,648,3435,1061,8249,43082,24542,69095,1.01964526822
2020-06-26,0,154,,,,,,,250,69,666,3468,1062,8439,43332,24611,69761,1.02070631827
2020-06-27,0,154,,,,,,,253,68,685,3504,1063,8637,43585,24680,70445,1.02158051406
2020-06-28,0,154,,,,,,,256,68,704,3542,1062,8844,43842,24749,71149,1.02229792072
2020-06-29,0,154,,,,,,,260,67,723,3582,1060,9063,44101,24816,71872,1.02288431438
2020-06-30,0,154,,,,,,,263,66,744,3624,1057,9295,44365,24882,72615,1.02336160307
2020-07-01,0,154,,,,,,,267,65,765,3668,1052,9541,44632,24948,73379,1.02374827717
2020-07-02,1,155,,,,,,,271,65,786,3713,1046,9799,44903,25013,74165,1.02405985419
2020-07-03,0,155,,,,,,,275,64,808,3760,1039,10068,45177,25078,74972,1.02430929674
2020-07-04,0,155,,,,,,,279,63,831,3809,1030,10346,45456,25142,75803,1.02450739244
2020-07-05,0,155,,,,,,,283,63,854,3860,1020,10633,45739,25205,76657,1.02466309123
2020-07-06,0,155,,,,,,,287,62,878,3911,1010,10929,46025,25267,77535,1.02478379958
2020-07-07,2,157,,,,,,,291,61,903,3965,1000,11234,46317,25329,78437,1.02487563387
2020-07-08,1,158,,,,,,,295,61,929,4020,990,11549,46612,25390,79365,1.02494363629
2020-07-09,3,161,,,,,,,300,60,955,4076,979,11873,46912,25450,80320,1.02499195737
2020-07-10,,,1,0,2,162,161,163,304,59,979,4133,968,12203,47215,25510,81298,
2020-07-11,,,1,0,2,163,161,165,307,59,1008,4190,957,12545,47522,25569,82306,
2020-07-12,,,1,0,2,163,161,167,311,58,1035,4248,947,12895,47834,25628,83340,
2020-07-13,,,1,0,2,164,161,169,315,58,1062,4307,938,13254,48149,25687,84402,
2020-07-14,,,1,0,2,165,162,171,319,58,1089,4366,929,13619,48467,25745,85491,
2020-07-15,,,1,0,2,166,162,173,322,57,1116,4425,920,13991,48790,25803,86606,
2020-07-16,,,1,0,2,166,162,175,326,56,1142,4483,911,14368,49115,25859,87747,
2020-07-17,,,1,0,2,167,162,177,329,55,1168,4542,901,14750,49444,25915,88914,
2020-07-18,,,1,0,2,168,163,179,332,55,1194,4599,892,15135,49777,25971,90107,
2020-07-19,,,1,0,2,169,163,181,335,55,1219,4656,884,15523,50112,26026,91326,
2020-07-20,,,1,0,2,169,163,183,338,54,1244,4712,875,15914,50451,26080,92570,
2020-07-21,,,1,0,2,170,163,185,341,53,1269,4766,866,16304,50792,26134,93839,
2020-07-22,,,1,0,3,171,163,187,344,53,1294,4820,857,16695,51136,26187,95132,
2020-07-23,,,1,0,3,171,164,189,347,52,1318,4871,849,17084,51483,26239,96449,
2020-07-24,,,1,0,3,172,164,191,349,51,1341,4920,840,17470,51832,26291,97789,
2020-07-25,,,1,0,3,173,164,193,352,51,1364,4969,831,17856,52184,26342,99153,
2020-07-26,,,1,0,3,174,164,195,354,50,1386,5015,822,18233,52538,26392,100539,
2020-07-27,,,1,0,3,174,164,197,356,49,1408,5060,813,18606,52893,26442,101946,
2020-07-28,,,1,0,3,175,164,200,358,49,1429,5103,804,18973,53251,26491,103374,
2020-07-29,,,1,0,3,176,164,202,360,48,1449,5144,794,19333,53611,26539,104823,
2020-07-30,,,1,0,3,177,165,204,361,47,1469,5183,784,19686,53972,26587,106291,
2020-07-31,,,1,0,3,177,165,207,363,47,1497,5220,775,20042,54335,26634,107788,
2020-08-01,,,1,0,3,178,165,209,364,46,1508,5254,765,20383,54699,26681,109296,
2020-08-02,,,1,0,3,179,165,212,365,45,1518,5287,756,20707,55064,26727,110814,
2020-08-03,,,1,0,3,180,165,214,366,45,1526,5318,746,21014,55430,26772,112339,
2020-08-04,,,1,0,3,180,165,217,367,44,1533,5347,737,21303,55797,26817,113872,
2020-08-05,,,1,0,3,181,166,220,368,44,1539,5373,727,21572,56165,26862,115411,
2020-08-06,,,1,0,3,182,166,222,368,43,1543,5397,718,21822,56533,26905,116953,
2020-08-07,,,1,0,3,183,166,225,369,43,1546,5419,709,22051,56902,26948,118499,
2020-08-08,,,1,0,3,184,166,228,369,42,1548,5439,700,22258,57271,26991,120047,
2020-08-09,,,1,0,3,184,166,231,369,41,1548,5457,690,22442,57641,27033,121595,
2020-08-10,,,1,0,4,185,166,234,369,41,1547,5473,681,22603,58010,27074,123141,
2020-08-11,,,1,0,4,186,166,237,369,40,1545,5486,673,22740,58379,27115,124686,
2020-08-12,,,1,0,4,187,166,240,369,40,1541,5497,664,22853,58749,27155,126227,
