date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-27,,,,,,,,,58,40,60,58,40,60,58,40,60,1.40129186223
2020-02-28,,,,,,,,,58,40,60,116,80,120,116,80,120,1.40129045763
2020-02-29,,,,,,,,,58,40,60,174,120,180,174,120,180,1.40129023032
2020-03-01,,,,,,,,,58,40,60,232,160,240,232,160,240,1.40128996623
2020-03-02,,,,,,,,,58,40,60,290,200,300,290,200,300,1.40128965939
2020-03-03,,,,,,,,,58,40,60,348,240,360,348,240,360,1.4012893029
2020-03-04,,,,,,,,,58,40,60,406,280,420,406,280,420,1.40128888872
2020-03-05,,,,,,,,,58,40,60,465,320,480,465,320,480,1.40128840752
2020-03-06,,,,,,,,,58,40,60,523,360,540,523,360,540,1.40128784844
2020-03-07,,,,,,,,,139,95,144,662,455,684,662,455,684,1.40125063363
2020-03-08,,,,,,,,,139,95,144,801,551,828,801,551,828,1.40124530833
2020-03-09,,,,,,,,,144,99,149,945,650,976,945,650,976,1.40123345756
2020-03-10,,,,,,,,,155,106,160,1099,757,1136,1099,757,1136,1.40122151518
2020-03-11,,,,,,,,,177,121,183,1276,878,1319,1276,878,1319,1.40120900968
2020-03-12,,,,,,,,,212,145,219,1488,1024,1537,1488,1024,1537,1.40119546933
2020-03-13,,,,,,,,,238,163,246,1668,1148,1723,1726,1188,1783,1.40117994165
2020-03-14,,,,,,,,,259,178,268,1869,1287,1931,1985,1367,2051,1.40116141359
2020-03-15,,,,,,,,,283,194,293,2095,1442,2164,2269,1562,2344,1.40114050906
2020-03-16,,,,,,,,,311,213,321,2347,1615,2424,2580,1775,2664,1.40111757993
2020-03-17,,,,,,,,,345,237,356,2634,1813,2720,2924,2013,3020,1.40109236416
2020-03-18,,,,,,,,,380,261,393,2956,2034,3053,3305,2274,3413,1.40106452098
2020-03-19,,,,,,,,,415,285,429,3314,2280,3421,3720,2560,3841,1.40103343988
2020-03-20,,,,,,,,,452,310,467,3707,2551,3827,4172,2871,4307,1.40099894238
2020-03-21,,,,,,,,,491,337,507,4140,2848,4274,4663,3208,4814,1.40096094564
2020-03-22,1,1,,,,,,,535,367,552,4535,3120,4681,5197,3576,5365,1.40091922276
2020-03-23,1,2,,,,,,,582,399,600,4978,3424,5138,5779,3976,5965,1.40087340372
2020-03-24,0,2,,,,,,,631,433,651,5466,3759,5640,6410,4410,6616,1.40082299527
2020-03-25,1,3,,,,,,,683,469,705,5994,4122,6185,7094,4879,7320,1.40076754443
2020-03-26,1,4,,,,,,,739,507,762,6557,4509,6764,7833,5387,8082,1.40070663748
2020-03-27,1,5,,,,,,,799,549,824,7144,4912,7369,8632,5936,8905,1.40063980288
2020-03-28,1,6,,,,,,,863,593,890,7769,5341,8012,9495,6530,9795,1.40056647315
2020-03-29,1,7,,,,,,,932,640,961,8442,5803,8705,10427,7170,10756,1.40048597317
2020-03-30,1,8,,,,,,,1006,690,1036,9164,6299,9448,11433,7861,11792,1.40039755886
2020-03-31,4,12,,,,,,,1084,744,1117,9937,6829,10244,12517,8605,12908,1.40030042935
2020-04-01,4,16,,,,,,,1167,801,1203,10760,7393,11090,13684,9406,14110,1.40019369731
2020-04-02,2,18,,,,,,,1257,862,1295,11637,7995,11992,14941,10269,15404,1.40007635641
2020-04-03,4,22,,,,,,,1353,928,1393,12574,8638,12956,16294,11198,16797,1.39994725826
2020-04-04,5,27,,,,,,,1455,998,1498,13578,9325,13988,17749,12197,18295,1.39980510531
2020-04-05,7,34,,,,,,,1565,1073,1611,14651,10061,15092,19314,13270,19905,1.39964844236
2020-04-06,3,37,,,,,,,1682,1153,1731,15798,10847,16271,20996,14424,21636,1.39947563278
2020-04-07,6,43,,,,,,,1807,1239,1859,17024,11687,17530,22803,15663,23495,1.39928482533
2020-04-08,5,48,,,,,,,1941,1330,1997,18333,12583,18876,24743,16994,25491,1.3990739187
