date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-16,,,,,,,,,24,10,30,24,10,30,24,10,30,1.18425925926
2020-02-17,,,,,,,,,24,10,30,49,20,60,49,20,60,1.18425276776
2020-02-18,,,,,,,,,24,10,30,73,30,90,73,30,90,1.18425043936
2020-02-19,,,,,,,,,24,10,30,98,40,120,98,40,120,1.18424728229
2020-02-20,,,,,,,,,24,10,30,122,50,150,122,50,150,1.18424300267
2020-02-21,,,,,,,,,24,10,30,147,60,180,147,60,180,1.18423720237
2020-02-22,,,,,,,,,24,10,30,171,70,210,171,70,210,1.18422934189
2020-02-23,,,,,,,,,24,10,30,196,80,240,196,80,240,1.18421868991
2020-02-24,,,,,,,,,24,10,30,220,90,270,220,90,270,1.18420425461
2020-02-25,,,,,,,,,52,23,66,272,113,336,272,113,336,1.18414910678
2020-02-26,,,,,,,,,52,23,66,323,137,402,323,137,402,1.18411813818
2020-02-27,,,,,,,,,53,24,68,376,162,470,376,162,470,1.18407264435
2020-02-28,,,,,,,,,56,26,72,432,189,541,432,189,541,1.18401438082
2020-02-29,,,,,,,,,62,30,80,494,219,621,494,219,621,1.18393844925
2020-03-01,,,,,,,,,71,36,93,565,256,714,565,256,714,1.18383828059
2020-03-02,,,,,,,,,78,40,103,619,287,786,643,297,816,1.18370469961
2020-03-03,,,,,,,,,83,44,110,677,321,866,726,341,926,1.18352534965
2020-03-04,,,,,,,,,89,48,118,742,360,954,815,390,1044,1.18328463903
2020-03-05,,,,,,,,,95,53,127,812,403,1050,910,443,1170,1.18296084144
2020-03-06,,,,,,,,,102,59,137,889,453,1156,1012,503,1306,1.1825235782
2020-03-07,,,,,,,,,109,65,148,975,508,1274,1121,568,1454,1.18193099772
2020-03-08,,,,,,,,,116,71,158,1067,569,1401,1238,639,1611,1.18112523061
2020-03-09,,,,,,,,,123,77,168,1166,637,1539,1361,717,1779,1.18002675336
2020-03-10,,,,,,,,,131,84,179,1272,711,1687,1492,801,1957,1.17852586094
2020-03-11,1,1,,,,,,,138,91,190,1358,778,1811,1630,892,2147,1.17647128637
