date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-08,,,,,,,,,5,5,5,5,5,5,5,5,5,1.42569444444
2020-03-09,,,,,,,,,5,5,5,10,10,10,10,10,10,1.36003669503
2020-03-10,,,,,,,,,5,5,5,15,15,15,15,15,15,1.34401103883
2020-03-11,,,,,,,,,5,5,5,20,20,20,20,20,20,1.32395039789
2020-03-12,,,,,,,,,5,5,5,25,25,25,25,25,25,1.29902756626
2020-03-13,,,,,,,,,5,5,5,30,30,30,30,30,30,1.26848447131
2020-03-14,,,,,,,,,5,5,5,35,35,35,35,35,35,1.23179793297
2020-03-15,,,,,,,,,5,5,5,40,40,40,40,40,40,1.18883969895
2020-03-16,,,,,,,,,5,5,5,45,45,45,45,45,45,1.13995950213
2020-03-17,,,,,,,,,10,8,14,55,53,59,55,53,59,1.08556441394
2020-03-18,,,,,,,,,10,8,14,66,61,73,66,61,73,1.02756435715
2020-03-19,,,,,,,,,10,7,14,76,69,87,76,69,87,0.966925531351
2020-03-20,,,,,,,,,10,7,15,86,76,101,86,76,101,0.905220397949
2020-03-21,,,,,,,,,11,7,16,96,84,116,96,84,116,0.844012668418
2020-03-22,,,,,,,,,12,7,19,108,92,135,108,92,135,0.784844665525
2020-03-23,,,,,,,,,12,8,20,115,95,149,120,100,154,0.729150747041
2020-03-24,,,,,,,,,12,7,20,121,98,163,131,108,173,0.678165252566
2020-03-25,,,,,,,,,11,7,19,128,101,177,143,116,192,0.632825360401
2020-03-26,,,,,,,,,11,7,18,134,104,190,154,124,210,0.593668604522
2020-03-27,,,,,,,,,11,7,18,140,106,202,165,131,227,0.560780545756
2020-03-28,,,,,,,,,11,7,17,145,109,214,175,139,244,0.533822233434
2020-03-29,,,,,,,,,10,7,16,151,111,225,186,146,260,0.512139866621
2020-03-30,,,,,,,,,10,7,15,156,114,234,196,154,274,0.494921575415
2020-03-31,,,,,,,,,10,7,14,160,116,243,205,161,288,0.481340225564
2020-04-01,1,1,,,,,,,9,7,14,159,115,243,215,168,302,0.470647657795
2020-04-02,0,1,,,,,,,9,7,13,158,114,242,224,175,314,0.462216484385
2020-04-03,0,1,,,,,,,9,7,13,157,113,241,233,183,327,0.455544681645
2020-04-04,0,1,,,,,,,9,6,13,156,113,238,241,190,339,0.450241242397
2020-04-05,0,1,,,,,,,8,6,12,153,112,234,250,196,350,0.446005553557
2020-04-06,0,1,,,,,,,8,6,12,150,111,228,258,203,362,0.44260731912
2020-04-07,1,2,,,,,,,8,6,11,146,109,219,266,210,373,0.439869722607
2020-04-08,0,2,,,,,,,8,6,11,142,108,211,273,217,383,0.437656260374
2020-04-09,0,2,,,,,,,8,6,11,138,107,202,281,223,393,0.435860822797
2020-04-10,0,2,,,,,,,7,6,10,135,105,194,288,230,403,0.434400329995
2020-04-11,0,2,,,,,,,7,6,10,131,104,186,296,236,413,0.433209281151
2020-04-12,0,2,,,,,,,7,6,10,127,103,178,303,242,422,0.432235709646
2020-04-13,0,2,,,,,,,7,6,9,124,101,171,310,248,431,0.431438159644
2020-04-14,0,2,,,,,,,7,6,9,121,100,165,316,254,439,0.430783406275
2020-04-15,0,2,,,,,,,7,5,9,117,99,160,323,260,448,0.430244718679
2020-04-16,0,2,,,,,,,6,5,9,115,97,155,329,266,456,0.429800522136
2020-04-17,0,2,,,,,,,6,5,8,112,96,150,336,272,464,0.429433357737
2020-04-18,0,2,,,,,,,6,5,8,109,95,145,342,278,471,0.429129066584
2020-04-19,0,2,,,,,,,6,5,8,107,93,141,348,283,479,0.42887614567
2020-04-20,0,2,,,,,,,6,5,8,104,92,136,354,289,486,0.428665236269
2020-04-21,0,2,,,,,,,6,5,8,102,90,132,360,294,494,0.428488715355
2020-04-22,0,2,,,,,,,6,5,8,100,89,128,366,300,501,0.428340367827
2020-04-23,0,2,,,,,,,6,5,7,98,88,125,371,305,507,0.428215122529
2020-04-24,0,2,,,,,,,6,5,7,96,86,121,377,310,514,0.428108839052
2020-04-25,0,2,,,,,,,5,5,7,94,85,118,383,315,521,0.428018135135
2020-04-26,0,2,,,,,,,5,4,7,92,84,115,388,320,527,0.427940246669
2020-04-27,0,2,,,,,,,5,4,7,91,82,112,393,325,533,0.427872913937
2020-04-28,0,2,,,,,,,5,4,7,89,81,109,398,330,539,0.427814289051
2020-04-29,0,2,,,,,,,5,4,6,87,79,107,403,334,545,0.427762860544
2020-04-30,0,2,,,,,,,5,4,6,85,78,104,408,339,551,0.427714188523
2020-05-01,0,2,,,,,,,5,4,6,84,77,102,413,343,557,0.427672766623
2020-05-02,0,2,,,,,,,5,4,6,82,75,99,418,348,562,0.427643623642
2020-05-03,0,2,,,,,,,5,4,6,81,74,97,423,352,568,0.427623400203
2020-05-04,0,2,,,,,,,5,4,6,79,73,95,427,356,573,0.427609548217
2020-05-05,0,2,,,,,,,4,4,6,77,71,93,432,361,578,0.427603840225
2020-05-06,0,2,,,,,,,4,4,6,76,70,91,436,365,584,0.427606971368
2020-05-07,0,2,,,,,,,4,3,5,74,68,89,440,369,589,0.427615173758
2020-05-08,0,2,,,,,,,4,3,5,73,67,87,444,372,593,0.427629481228
2020-05-09,0,2,,,,,,,4,3,5,71,66,85,448,376,598,0.427651156209
2020-05-10,0,2,,,,,,,4,3,5,70,64,83,452,380,603,0.427681739882
2020-05-11,0,2,,,,,,,4,3,5,68,63,81,456,383,607,0.427723113339
2020-05-12,0,2,,,,,,,4,3,5,67,62,79,460,387,612,0.427777572049
2020-05-13,0,2,,,,,,,4,3,5,65,60,77,464,390,616,0.42784791644
2020-05-14,0,2,,,,,,,4,3,5,64,59,75,467,394,620,0.427937561991
2020-05-15,0,2,,,,,,,3,3,5,62,58,74,471,397,624,0.428050672882
2020-05-16,0,2,,,,,,,3,3,4,61,56,72,474,400,628,0.428192324013
2020-05-17,0,2,,,,,,,3,3,4,60,55,70,477,403,632,0.42836869711
2020-05-18,0,2,,,,,,,3,2,4,58,53,68,481,406,636,0.428587317556
2020-05-19,0,2,,,,,,,3,2,4,57,52,67,484,409,639,0.42885733969
2020-05-20,0,2,,,,,,,3,2,4,55,51,65,487,412,643,0.429189889394
2020-05-21,0,2,,,,,,,3,2,4,54,49,63,490,414,646,0.429598473813
