date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-26,,,,,,,,,104,50,150,104,50,150,104,50,150,1.22632439256
2020-02-27,,,,,,,,,104,50,150,207,100,300,207,100,300,1.22630826183
2020-02-28,,,,,,,,,104,50,150,311,150,450,311,150,450,1.22630465973
2020-02-29,,,,,,,,,104,50,150,414,200,600,414,200,600,1.22630024949
2020-03-01,,,,,,,,,104,50,150,518,250,750,518,250,750,1.22629484851
2020-03-02,,,,,,,,,104,50,150,622,300,900,622,300,900,1.22628823252
2020-03-03,,,,,,,,,104,50,150,725,350,1050,725,350,1050,1.22628012592
2020-03-04,,,,,,,,,104,50,150,829,400,1200,829,400,1200,1.22627018984
2020-03-05,,,,,,,,,104,50,150,933,450,1350,933,450,1350,1.22625800736
2020-03-06,,,,,,,,,226,109,330,1158,559,1680,1158,559,1680,1.22617596943
2020-03-07,,,,,,,,,225,109,329,1383,669,2009,1383,669,2009,1.22614924919
2020-03-08,,,,,,,,,231,112,338,1614,781,2346,1614,781,2346,1.22610833761
2020-03-09,,,,,,,,,244,119,358,1858,901,2704,1858,901,2704,1.22606238669
2020-03-10,,,,,,,,,272,133,400,2130,1034,3103,2130,1034,3103,1.22600960314
2020-03-11,,,,,,,,,316,154,465,2446,1188,3567,2446,1188,3567,1.22594791996
2020-03-12,,,,,,,,,349,170,513,2691,1309,3929,2795,1359,4079,1.22587428521
2020-03-13,,,,,,,,,373,182,549,2961,1442,4328,3168,1542,4628,1.22578515419
2020-03-14,,,,,,,,,400,195,588,3257,1588,4766,3568,1738,5216,1.22567869948
2020-03-15,,,,,,,,,429,210,631,3583,1748,5246,3997,1948,5846,1.22555211395
2020-03-16,,,,,,,,,465,227,684,3945,1926,5780,4463,2176,6530,1.22540097329
2020-03-17,,,,,,,,,502,245,737,4343,2122,6367,4965,2422,7267,1.22521975302
2020-03-18,,,,,,,,,537,262,788,4776,2335,7004,5502,2685,8054,1.22500128634
2020-03-19,,,,,,,,,572,279,839,5245,2564,7693,6074,2964,8893,1.22473737151
2020-03-20,,,,,,,,,609,297,891,5750,2811,8433,6682,3261,9783,1.22441799252
2020-03-21,1,1,,,,,,,648,315,948,6172,3017,9051,7331,3577,10731,1.22403055394
2020-03-22,1,2,,,,,,,690,335,1007,6638,3243,9728,8020,3913,11737,1.22355928783
2020-03-23,0,2,,,,,,,733,355,1076,7139,3487,10466,8753,4269,12812,1.22298455226
2020-03-24,3,5,,,,,,,776,376,1163,7672,3744,11271,9529,4645,13974,1.22228215951
2020-03-25,1,6,,,,,,,821,397,1254,8221,4008,12126,10351,5042,15228,1.2214223606
2020-03-26,2,8,,,,,,,869,418,1352,8773,4272,13013,11219,5461,16579,1.22036854241
2020-03-27,5,13,,,,,,,918,441,1456,9342,4543,13956,12137,5902,18034,1.21907582464
2020-03-28,2,15,,,,,,,969,464,1564,9937,4825,14971,13106,6367,19598,1.21748957429
2020-03-29,2,17,,,,,,,1021,488,1679,10559,5118,16061,14127,6856,21277,1.21554399108
2020-03-30,3,20,,,,,,,1075,513,1798,11205,5421,17228,15202,7370,23074,1.21316091525
2020-03-31,5,25,,,,,,,1131,539,1922,11870,5732,18466,16333,7909,24995,1.21024923382
2020-04-01,7,32,,,,,,,1188,565,2049,12556,6052,19777,17520,8474,27044,1.20670553629
2020-04-02,3,35,,,,,,,1246,592,2179,13265,6382,21168,18766,9067,29222,1.20241688044
2020-04-03,9,44,,,,,,,1304,619,2309,13997,6722,22638,20070,9687,31531,1.19726666725
2020-04-04,8,52,,,,,,,1363,645,2466,14751,7070,24213,21433,10332,33996,1.19114444992
2020-04-05,12,64,,,,,,,1422,673,2606,15525,7428,25871,22855,11005,36601,1.18395980002
2020-04-06,1,65,,,,,,,1479,701,2759,16314,7793,27622,24334,11706,39359,1.17565897845
2020-04-07,8,73,,,,,,,1535,728,2899,17116,8166,29445,25870,12435,42257,1.16624135909
2020-04-08,16,89,,,,,,,1589,755,2996,17929,8545,31279,27459,13191,45252,1.15577122775
2020-04-09,9,98,,,,,,,1640,784,3092,18748,8932,33116,29099,13975,48344,1.14438085514
2020-04-10,8,106,,,,,,,1688,812,3183,19568,9326,34947,30787,14787,51526,1.13226306869
2020-04-11,11,117,,,,,,,1733,840,3263,20383,9724,36755,32520,15627,54789,1.11965497252
2020-04-12,8,125,,,,,,,1773,867,3353,21187,10127,38543,34293,16495,58141,1.10681712469
2020-04-13,7,132,,,,,,,1810,894,3430,21975,10532,40295,36102,17389,61571,1.09401301219
2020-04-14,11,143,,,,,,,1842,919,3479,22742,10938,41976,37945,18309,65049,1.0814921584
2020-04-15,12,155,,,,,,,1871,943,3518,23483,11343,43572,39816,19252,68567,1.06947790696
2020-04-16,9,164,,,,,,,1896,961,3548,24191,11739,45071,41712,20214,72114,1.05815919042
2020-04-17,19,183,,,,,,,1918,976,3577,24863,12123,46469,43629,21190,75691,1.04768501175
2020-04-18,-3,180,,,,,,,1936,988,3591,25495,12492,47752,45566,22179,79282,1.03816076116
2020-04-19,4,184,,,,,,,1952,999,3594,26084,12846,48881,47518,23179,82876,1.02964633596
2020-04-20,7,191,,,,,,,1965,1012,3595,26628,13185,49870,49483,24191,86470,1.02215675862
2020-04-21,17,208,,,,,,,1977,1024,3587,27125,13509,50698,51460,25216,90056,1.0156660989
2020-04-22,23,231,,,,,,,1986,1035,3574,27576,13816,51373,53446,26251,93629,1.01011481677
2020-04-23,18,249,,,,,,,1994,1047,3556,27981,14108,51933,55440,27299,97185,1.00541954133
2020-04-24,17,266,,,,,,,2001,1054,3541,28342,14379,52382,57440,28354,100726,1.00148351994
2020-04-25,7,273,,,,,,,2008,1067,3535,28662,14635,52735,59449,29422,104260,0.999459890435
2020-04-26,2,275,,,,,,,2017,1078,3465,28946,14872,52937,61466,30500,107725,0.99891870345
2020-04-27,0,275,,,,,,,2026,1097,3501,29199,15102,53085,63492,31598,111226,0.999769868082
2020-04-28,0,275,,,,,,,2038,1110,3514,29428,15319,53168,65531,32709,114739,1.00240543535
2020-04-29,33,308,,,,,,,2053,1120,3522,29639,15520,53211,67584,33830,118260,1.00686376923
2020-04-30,12,320,,,,,,,2072,1132,3516,29841,15710,53210,69657,34963,121776,1.01325438454
2020-05-01,10,330,,,,,,,2092,1146,3557,30037,15894,53219,71749,36109,125333,1.01898784321
2020-05-02,0,330,,,,,,,2115,1161,3582,30234,16079,53224,73864,37270,128914,1.02573734919
2020-05-03,32,362,,,,,,,2143,1178,3614,30441,16269,53247,76007,38449,132528,1.03361622007
2020-05-04,0,362,,,,,,,2176,1199,3655,30665,16469,53307,78183,39648,136182,1.04272529422
2020-05-05,33,395,,,,,,,2215,1224,3651,30914,16681,53363,80397,40872,139833,1.05314217889
2020-05-06,31,426,,,,,,,2260,1253,3723,31197,16909,53500,82657,42126,143556,1.0649086117
