date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-21,,,,,,,,,173,50,250,173,50,250,173,50,250,1.57405553199
2020-02-22,,,,,,,,,173,50,250,346,100,500,346,100,500,1.57387428993
2020-02-23,,,,,,,,,173,50,250,519,150,750,519,150,750,1.57383417099
2020-02-24,,,,,,,,,173,50,250,692,200,1000,692,200,1000,1.57378517381
2020-02-25,,,,,,,,,173,50,250,865,250,1250,865,250,1250,1.57372533475
2020-02-26,,,,,,,,,173,50,250,1039,300,1500,1039,300,1500,1.57365225644
2020-02-27,,,,,,,,,173,50,250,1212,350,1750,1212,350,1750,1.5735630122
2020-02-28,,,,,,,,,173,50,250,1385,400,2000,1385,400,2000,1.57345402956
2020-02-29,,,,,,,,,173,50,250,1558,450,2250,1558,450,2250,1.57332094832
2020-03-01,,,,,,,,,430,139,650,1988,589,2900,1988,589,2900,1.57300584629
2020-03-02,,,,,,,,,428,139,647,2416,729,3546,2416,729,3546,1.57278837701
2020-03-03,,,,,,,,,445,146,676,2861,876,4221,2861,876,4221,1.57249845796
2020-03-04,,,,,,,,,482,162,736,3343,1038,4956,3343,1038,4956,1.57215528486
2020-03-05,,,,,,,,,558,194,862,3900,1233,5817,3900,1233,5817,1.57174491606
2020-03-06,,,,,,,,,676,245,1057,4576,1478,6874,4576,1478,6874,1.57125085572
2020-03-07,,,,,,,,,767,285,1208,5170,1713,7831,5343,1763,8081,1.57065115858
2020-03-08,,,,,,,,,842,320,1334,5839,1983,8915,6185,2083,9415,1.56991978826
2020-03-09,,,,,,,,,929,362,1481,6595,2296,10145,7114,2446,10895,1.56903397953
2020-03-10,,,,,,,,,1030,414,1654,7451,2661,11549,8144,2861,12549,1.56796395177
2020-03-11,,,,,,,,,1157,480,1870,8435,3091,13168,9301,3341,14418,1.56667011327
2020-03-12,,,,,,,,,1289,550,2095,9551,3592,15013,10590,3892,16513,1.56510422999
2020-03-13,,,,,,,,,1424,625,2322,10802,4167,17084,12014,4517,18834,1.56320684762
2020-03-14,,,,,,,,,1566,707,2561,12195,4824,19395,13580,5224,21395,1.56090860883
2020-03-15,,,,,,,,,1723,800,2821,13746,5575,21966,15303,6025,24216,1.55812579847
2020-03-16,1,1,,,,,,,1899,908,3109,15214,6343,24425,17202,6933,27324,1.55475582466
2020-03-17,1,2,,,,,,,2090,1028,3415,16876,7232,27194,19292,7962,30739,1.55067317933
2020-03-18,0,2,,,,,,,2293,1159,3733,18724,8245,30251,21584,9121,34471,1.54572447388
2020-03-19,0,2,,,,,,,2509,1304,4060,20751,9387,33575,24094,10425,38531,1.53972296751
2020-03-20,1,3,,,,,,,2741,1467,4409,22934,10659,37123,26835,11893,42940,1.53244097297
2020-03-21,1,4,,,,,,,2990,1644,4760,25248,12058,40826,29825,13537,47699,1.52360126596
2020-03-22,2,6,,,,,,,3255,1842,5115,27737,13616,44733,33080,15380,52814,1.51287042189
2020-03-23,1,7,,,,,,,3534,2061,5516,30429,15357,48916,36614,17441,58330,1.49985854647
2020-03-24,5,12,,,,,,,3822,2275,6009,33322,17270,53444,40436,19717,64339,1.48413372186
2020-03-25,2,14,,,,,,,4116,2501,6430,36408,19357,58221,44552,22218,70769,1.46526148105
2020-03-26,3,17,,,,,,,4414,2623,6933,39665,21500,63284,48966,24842,77702,1.44287646197
2020-03-27,8,25,,,,,,,4707,2782,7439,43083,23731,68627,53673,27624,85140,1.41677857546
2020-03-28,6,31,,,,,,,4991,2912,7813,46650,26019,74119,58664,30537,92952,1.38702284106
2020-03-29,1,32,,,,,,,5257,3036,8047,50340,28349,79605,63920,33573,100999,1.35396119685
2020-03-30,3,35,,,,,,,5500,3151,8172,54117,30699,84956,69421,36725,109171,1.31821521304
2020-03-31,14,49,,,,,,,5717,3256,8280,57935,33048,90126,75137,39982,117450,1.28059743157
2020-04-01,16,65,,,,,,,5903,3351,8417,61749,35371,95128,81040,43333,125866,1.24201917107
2020-04-02,13,78,,,,,,,6056,3434,8555,65512,37646,99950,87096,46767,134421,1.20341178256
2020-04-03,24,102,,,,,,,6175,3536,8756,69178,39878,104646,93271,50304,143177,1.16566737027
2020-04-04,14,116,,,,,,,6260,3571,8892,72697,41982,109128,99532,53875,152068,1.12959371354
2020-04-05,11,127,,,,,,,6314,3624,9036,76021,43962,113404,105845,57499,161103,1.0958779465
2020-04-06,16,143,,,,,,,6338,3688,9135,79103,45807,117424,112183,61188,170237,1.06505663217
