date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-15,,,,,,,,,10,10,10,10,10,10,10,10,10,1.69230769231
2020-03-16,,,,,,,,,10,10,10,20,20,20,20,20,20,1.45005123202
2020-03-17,,,,,,,,,10,10,10,30,30,30,30,30,30,1.39467176
2020-03-18,,,,,,,,,10,10,10,40,40,40,40,40,40,1.3336280111
2020-03-19,,,,,,,,,10,10,10,50,50,50,50,50,50,1.26819276078
2020-03-20,,,,,,,,,10,10,10,60,60,60,60,60,60,1.19993270238
2020-03-21,,,,,,,,,10,10,10,70,70,70,70,70,70,1.13063326246
2020-03-22,,,,,,,,,10,10,10,80,80,80,80,80,80,1.06220254906
2020-03-23,,,,,,,,,10,10,10,90,90,90,90,90,90,0.996589860104
2020-03-24,,,,,,,,,19,16,26,109,106,116,109,106,116,0.935632214733
2020-03-25,,,,,,,,,19,16,25,128,123,140,128,123,140,0.881236199486
2020-03-26,,,,,,,,,19,16,24,147,139,163,147,139,163,0.83464399966
2020-03-27,,,,,,,,,19,16,24,165,156,187,165,156,187,0.796449093801
2020-03-28,,,,,,,,,20,17,25,185,173,211,185,173,211,0.766351456362
2020-03-29,,,,,,,,,21,18,28,206,192,238,206,192,238,0.743356105301
2020-03-30,,,,,,,,,22,19,29,219,202,256,229,212,266,0.726151476707
2020-03-31,,,,,,,,,23,19,29,231,212,275,251,232,295,0.713439133877
2020-04-01,,,,,,,,,23,20,29,244,222,293,274,252,323,0.70410808673
2020-04-02,,,,,,,,,23,20,29,257,233,312,297,273,352,0.697279046007
2020-04-03,,,,,,,,,23,20,30,271,244,331,321,294,381,0.69228495038
2020-04-04,,,,,,,,,24,21,30,284,255,350,344,315,410,0.68863108578
2020-04-05,,,,,,,,,24,21,30,298,266,370,368,336,440,0.685954480265
2020-04-06,,,,,,,,,24,21,30,313,278,389,393,358,469,0.683990469276
2020-04-07,,,,,,,,,24,21,29,327,290,408,417,380,498,0.682546446674
2020-04-08,1,1,,,,,,,24,21,29,332,295,411,441,402,526,0.681482264091
2020-04-09,1,2,,,,,,,24,22,29,338,301,415,466,424,555,0.680695881987
2020-04-10,0,2,,,,,,,24,22,29,344,306,421,490,446,584,0.680112916028
2020-04-11,1,3,,,,,,,24,22,29,349,312,426,515,468,612,0.679679096734
2020-04-12,0,3,,,,,,,24,22,29,354,316,430,539,490,641,0.679354787107
2020-04-13,0,3,,,,,,,24,22,29,357,320,431,564,512,669,0.679110990108
2020-04-14,0,3,,,,,,,24,21,29,359,322,431,588,534,697,0.678926459236
2020-04-15,0,3,,,,,,,24,21,29,361,324,431,612,556,726,0.678785600705
2020-04-16,0,3,,,,,,,24,21,29,362,325,431,636,578,754,0.678676957228
2020-04-17,0,3,,,,,,,24,21,29,363,327,431,660,600,782,0.678592104897
2020-04-18,0,3,,,,,,,24,21,29,364,327,430,684,621,811,0.678524845189
2020-04-19,0,3,,,,,,,24,21,29,364,327,429,708,643,839,0.678470613114
2020-04-20,0,3,,,,,,,24,21,29,363,327,428,731,664,867,0.678426043381
2020-04-21,0,3,,,,,,,23,21,29,362,326,427,755,685,895,0.678388653432
2020-04-22,0,3,,,,,,,23,20,29,361,325,426,778,706,923,0.678356611627
2020-04-23,0,3,,,,,,,23,20,28,360,324,425,801,727,951,0.678328566656
2020-04-24,0,3,,,,,,,23,20,28,358,323,425,824,747,979,0.678303521634
2020-04-25,1,4,,,,,,,23,20,28,356,321,423,846,767,1007,0.678280741061
2020-04-26,0,4,,,,,,,22,20,28,354,319,422,868,787,1034,0.678259682267
2020-04-27,0,4,,,,,,,22,19,28,351,316,421,890,807,1061,0.678247577261
2020-04-28,0,4,,,,,,,22,19,28,349,314,420,912,827,1088,0.678239990308
2020-04-29,0,4,,,,,,,22,19,27,346,311,418,934,846,1115,0.678239165296
2020-04-30,0,4,,,,,,,21,19,27,343,309,417,955,865,1142,0.6782456342
2020-05-01,0,4,,,,,,,21,18,27,340,306,415,976,884,1168,0.678261333654
2020-05-02,0,4,,,,,,,21,18,27,336,303,412,997,903,1194,0.678288975101
2020-05-03,0,4,,,,,,,20,18,26,333,299,410,1017,921,1220,0.678304163255
2020-05-04,0,4,,,,,,,20,18,26,330,296,407,1037,939,1246,0.678326297399
2020-05-05,1,5,,,,,,,20,17,26,326,292,404,1057,957,1271,0.678356871158
2020-05-06,0,5,,,,,,,20,17,26,322,289,401,1077,974,1296,0.678397705154
2020-05-07,0,5,,,,,,,19,17,25,318,285,398,1096,992,1321,0.67845101875
2020-05-08,0,5,,,,,,,19,16,25,314,282,394,1115,1009,1345,0.678519516786
2020-05-09,0,5,,,,,,,19,16,25,310,278,391,1134,1025,1369,0.678606494738
2020-05-10,0,5,,,,,,,18,16,24,306,274,387,1152,1042,1393,0.678715965983
2020-05-11,0,5,,,,,,,18,16,24,302,270,383,1171,1058,1416,0.67885281543
2020-05-12,0,5,,,,,,,18,15,24,298,266,379,1188,1074,1440,0.679022984638
2020-05-13,1,6,,,,,,,18,15,23,294,262,375,1206,1089,1462,0.679233694097
2020-05-14,0,6,,,,,,,17,15,23,289,258,370,1223,1104,1485,0.679493709076
2020-05-15,0,6,,,,,,,17,14,23,285,254,366,1240,1119,1507,0.679813655986
2020-05-16,0,6,,,,,,,17,14,22,280,249,361,1256,1134,1529,0.680206396514
2020-05-17,0,6,,,,,,,16,14,22,276,245,356,1273,1148,1550,0.68068746657
2020-05-18,0,6,,,,,,,16,14,22,271,241,352,1289,1163,1571,0.68127558609
2020-05-19,0,6,,,,,,,16,13,21,267,237,347,1304,1176,1592,0.681993243343
2020-05-20,0,6,,,,,,,15,13,21,262,233,342,1320,1190,1612,0.682867353082
2020-05-21,0,6,,,,,,,15,13,20,258,228,337,1335,1203,1632,0.683929980498
2020-05-22,0,6,,,,,,,15,12,20,253,224,332,1349,1216,1652,0.685219111536
2020-05-23,0,6,,,,,,,14,12,20,249,220,326,1364,1229,1671,0.686779432894
2020-05-24,0,6,,,,,,,14,12,19,244,216,321,1378,1241,1690,0.688663060634
2020-05-25,0,6,,,,,,,14,12,19,239,211,316,1392,1253,1708,0.69093012295
2020-05-26,0,6,,,,,,,14,11,19,235,207,310,1405,1265,1726,0.69364905965
2020-05-27,1,7,,,,,,,13,11,18,230,203,305,1419,1277,1744,0.696896449181
2020-05-28,0,7,,,,,,,13,11,18,226,199,300,1432,1289,1761,0.700756117845
2020-05-29,2,9,,,,,,,13,11,18,222,195,294,1445,1300,1778,0.705317235173
2020-05-30,0,9,,,,,,,13,11,17,217,191,289,1457,1311,1795,0.710671072166
2020-05-31,0,9,,,,,,,12,10,17,213,187,283,1469,1322,1811,0.716906122668
2020-06-01,0,9,,,,,,,12,10,16,209,183,278,1482,1332,1827,0.724101398298
2020-06-02,0,9,,,,,,,12,10,16,205,180,272,1493,1343,1843,0.732317940905
2020-06-03,0,9,,,,,,,12,10,16,201,176,267,1505,1353,1858,0.741588974919
2020-06-04,0,9,,,,,,,12,10,15,197,173,262,1517,1364,1873,0.751909626742
2020-06-05,0,9,,,,,,,11,10,15,193,170,256,1528,1374,1888,0.76322768291
2020-06-06,0,9,,,,,,,11,10,15,190,167,251,1539,1384,1902,0.775437276509
2020-06-07,0,9,,,,,,,11,9,15,187,164,246,1551,1394,1916,0.788377461445
