date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-19,,,,,,,,,247,200,300,247,200,300,247,200,300,1.69422532814
2020-02-20,,,,,,,,,247,200,300,493,400,600,493,400,600,1.69202382456
2020-02-21,,,,,,,,,247,200,300,740,600,900,740,600,900,1.69124981744
2020-02-22,,,,,,,,,247,200,300,986,800,1200,986,800,1200,1.69020350229
2020-02-23,,,,,,,,,247,200,300,1233,1000,1500,1233,1000,1500,1.68878936844
2020-02-24,,,,,,,,,247,200,300,1479,1200,1800,1479,1200,1800,1.68687889609
2020-02-25,,,,,,,,,247,200,300,1726,1400,2100,1726,1400,2100,1.6842996748
2020-02-26,,,,,,,,,247,200,300,1973,1600,2400,1973,1600,2400,1.68082141146
2020-02-27,,,,,,,,,247,200,300,2219,1800,2700,2219,1800,2700,1.67613834197
2020-02-28,,,,,,,,,653,479,892,2873,2279,3592,2873,2279,3592,1.66734171062
2020-02-29,,,,,,,,,649,476,885,3521,2755,4476,3521,2755,4476,1.65862098525
2020-03-01,,,,,,,,,676,493,931,4198,3249,5407,4198,3249,5407,1.64658539182
2020-03-02,,,,,,,,,736,529,1027,4933,3778,6433,4933,3778,6433,1.6309410904
2020-03-03,,,,,,,,,860,604,1221,5793,4383,7654,5793,4383,7654,1.61065818194
2020-03-04,,,,,,,,,1048,721,1501,6841,5104,9154,6841,5104,9154,1.58460787904
2020-03-05,,,,,,,,,1178,807,1656,7773,5712,10510,8019,5912,10810,1.5516680819
2020-03-06,,,,,,,,,1272,875,1720,8798,6387,11929,9292,6787,12529,1.51102374828
2020-03-07,,,,,,,,,1370,949,1763,9922,7137,13391,10661,7737,14291,1.46259424065
2020-03-08,,,,,,,,,1470,1030,1818,11145,7968,14909,12131,8768,16109,1.40700542256
2020-03-09,,,,,,,,,1581,1129,1948,12480,8898,16557,13713,9898,18057,1.34549454211
2020-03-10,,,,,,,,,1668,1225,1992,13901,9923,18249,15381,11123,20049,1.27973335704
2020-03-11,,,,,,,,,1723,1310,2059,15378,11033,20007,17104,12433,22107,1.21159892109
2020-03-12,,,,,,,,,1755,1387,2121,16886,12221,21828,18858,13821,24228,1.14307885423
2020-03-13,,,,,,,,,1769,1442,2128,18409,13464,23656,20628,15264,26356,1.07616392658
2020-03-14,1,1,,,,,,,1771,1451,2154,19526,14436,24917,22399,16715,28509,1.01274969384
2020-03-15,1,2,,,,,,,1757,1422,2150,20634,15383,26183,24155,18138,30659,0.954501915832
