date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-11,,,,,,,,,41,30,50,41,30,50,41,30,50,2.09176209088
2020-03-12,,,,,,,,,41,30,50,81,60,100,81,60,100,2.09094843349
2020-03-13,,,,,,,,,41,30,50,122,90,150,122,90,150,2.09076842484
2020-03-14,,,,,,,,,41,30,50,162,120,200,162,120,200,2.09054862882
2020-03-15,,,,,,,,,41,30,50,203,150,250,203,150,250,2.09028026899
2020-03-16,,,,,,,,,41,30,50,243,180,300,243,180,300,2.08995264145
2020-03-17,,,,,,,,,41,30,50,284,210,350,284,210,350,2.08955269559
2020-03-18,,,,,,,,,41,30,50,324,240,400,324,240,400,2.08906452539
2020-03-19,,,,,,,,,41,30,50,365,270,450,365,270,450,2.08846875314
2020-03-20,,,,,,,,,125,89,170,489,359,620,489,359,620,2.08764084239
2020-03-21,,,,,,,,,124,89,169,614,449,788,614,449,788,2.0867413946
2020-03-22,,,,,,,,,132,95,182,746,544,970,746,544,970,2.08562081618
2020-03-23,,,,,,,,,149,106,209,895,651,1178,895,651,1178,2.0842631986
2020-03-24,,,,,,,,,184,130,266,1079,781,1444,1079,781,1444,2.08261428955
2020-03-25,,,,,,,,,240,167,355,1319,949,1798,1319,949,1798,2.08060891037
2020-03-26,,,,,,,,,284,197,427,1563,1117,2175,1603,1147,2225,2.07816566088
2020-03-27,,,,,,,,,326,225,497,1848,1313,2622,1929,1373,2722,2.07518673585
2020-03-28,,,,,,,,,379,259,588,2186,1542,3159,2308,1632,3309,2.07156477169
2020-03-29,,,,,,,,,445,301,703,2590,1814,3811,2753,1934,4011,2.06716687799
2020-03-30,,,,,,,,,529,355,849,3079,2140,4610,3282,2290,4860,2.06182810338
2020-03-31,,,,,,,,,622,414,1009,3661,2524,5569,3904,2704,5869,2.05534902573
2020-04-01,,,,,,,,,723,476,1183,4344,2971,6701,4627,3181,7051,2.04748809059
2020-04-02,,,,,,,,,838,530,1380,5141,3472,8031,5466,3712,8431,2.03795764668
2020-04-03,,,,,,,,,972,590,1607,6073,4032,9587,6438,4302,10037,2.02641047973
2020-04-04,1,1,,,,,,,1129,656,1865,7077,4599,11282,7567,4959,11901,2.01242669832
2020-04-05,0,1,,,,,,,1305,730,2146,8258,5240,13259,8872,5690,14047,1.99550419861
2020-04-06,0,1,,,,,,,1499,810,2445,9625,5956,15523,10371,6500,16492,1.97505580318
2020-04-07,0,1,,,,,,,1714,897,2761,11190,6747,18074,12085,7398,19252,1.95042334872
2020-04-08,0,1,,,,,,,1950,992,3205,12955,7608,21012,14035,8390,22456,1.92091908571
2020-04-09,0,1,,,,,,,2205,1096,3701,14921,8537,24358,16240,9487,26156,1.88590637821
2020-04-10,0,1,,,,,,,2475,1211,4234,17112,9550,28166,18715,10698,30390,1.84491655315
2020-04-11,0,1,,,,,,,2755,1335,4762,19541,10660,32431,21470,12033,35152,1.7977713729
2020-04-12,0,1,,,,,,,3037,1477,5120,22199,11879,36963,24507,13511,40271,1.74466615586
2020-04-13,1,2,,,,,,,3316,1657,5400,25070,13234,41661,27823,15169,45671,1.68618422412
2020-04-14,1,3,,,,,,,3584,1852,5830,28125,14731,46642,31407,17022,51501,1.62325041775
2020-04-15,0,3,,,,,,,3836,2060,6145,31338,16377,51778,35243,19082,57646,1.55705281134
