country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
US,NY,New York City,23411,24131,23451,27776,2020-04-07,814,70.2,2020-11-01
US,CA,Los Angeles,4104,8383,5237,14629,2020-04-18,79,7.2,2020-11-01
Canada,,Quebec,5657,6080,5736,6523,2020-05-31,202,59.0,2020-11-01
US,IL,Cook,4777,5339,4868,5995,2020-05-13,140,92.0,2020-11-01
US,AZ,Maricopa,1485,4162,2901,6560,2020-07-15,79,3.8,2020-11-01
US,FL,Miami-Dade,1309,3980,2649,6295,2020-08-16,45,6.4,2020-11-01
US,MI,Wayne,2781,3245,2825,4556,2020-04-22,173,,2020-11-01
Canada,,Ontario,2795,3025,2829,3485,2020-05-04,120,61.0,2020-11-01
US,MA,Middlesex,1948,2426,2015,3318,2020-04-25,201,44.0,2020-11-01
US,NJ,Bergen,2033,2365,2071,3052,2020-06-25,265,,2020-11-01
US,NJ,Essex,2093,2326,2123,2871,2020-06-25,247,,2020-11-01
US,NY,Nassau,2193,2306,2204,2829,2020-04-07,338,,2020-11-01
US,NY,Suffolk,1994,2274,2016,3165,2020-05-06,226,,2020-11-01
US,FL,Palm Beach,685,2172,1321,3805,2020-08-18,21,3.5,2020-11-01
US,PA,Philadelphia,1658,2020,1724,2749,2020-05-01,97,-4.0,2020-11-01
US,CA,Orange,494,1973,937,4319,2020-07-09,26,,2020-11-01
US,NV,Clark,527,1969,991,3882,2020-04-12,25,,2020-11-01
US,CA,San Diego,478,1739,878,3509,2020-04-22,24,,2020-11-01
US,FL,Broward,512,1703,799,3404,2020-07-20,19,0.8,2020-11-01
US,TX,Harris,545,1667,953,3057,2020-07-17,18,1.6,2020-11-01
US,CA,Riverside,588,1664,834,3124,2020-07-15,24,13.0,2020-11-01
US,NJ,Hudson,1498,1638,1517,1942,2020-04-19,178,,2020-11-01
US,NY,Westchester,1440,1522,1450,1917,2020-04-06,144,,2020-11-01
US,TX,Dallas,526,1344,829,2175,2020-07-17,29,3.0,2020-11-01
US,MA,Suffolk,1035,1167,1049,1499,2020-04-25,106,,2020-11-01
US,TX,Bexar,262,1065,589,1928,2020-07-16,28,1.8,2020-11-01
US,FL,Orange,119,967,411,2060,2020-07-18,14,-11.0,2020-11-01
US,CA,San Bernardino,329,939,483,1830,2020-07-08,21,7.0,2020-11-01
US,WA,King,636,834,662,1232,2020-03-28,27,11.0,2020-11-01
US,FL,Hillsborough,243,743,431,1509,2020-07-16,40,0.8,2020-11-01
US,CA,Alameda,162,636,192,1810,2020-04-15,13,,2020-11-01
US,LA,Orleans,546,634,562,852,2020-04-14,32,14.0,2020-11-01
US,TX,Tarrant,299,620,405,1092,2020-07-16,11,4.0,2020-11-01
US,CA,Santa Clara,178,354,201,819,2020-07-14,13,4.0,2020-11-01
US,CA,Sacramento,96,338,117,1043,2020-04-09,11,,2020-11-01
US,NV,Washoe,102,249,148,423,2020-05-25,6,2.0,2020-11-01
Canada,,Alberta,170,242,182,391,2020-05-04,9,1.0,2020-11-01
Canada,,British Columbia,189,237,196,372,2020-04-13,11,,2020-11-01
