date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-23,,,,,,,,,228,100,300,228,100,300,228,100,300,1.84302659973
2020-02-24,,,,,,,,,228,100,300,455,200,600,455,200,600,1.84263273421
2020-02-25,,,,,,,,,228,100,300,683,300,900,683,300,900,1.84254554304
2020-02-26,,,,,,,,,228,100,300,910,400,1200,910,400,1200,1.84243905318
2020-02-27,,,,,,,,,228,100,300,1138,500,1500,1138,500,1500,1.84230899459
2020-02-28,,,,,,,,,228,100,300,1365,600,1800,1365,600,1800,1.84215015309
2020-02-29,,,,,,,,,228,100,300,1593,700,2100,1593,700,2100,1.84195616195
2020-03-01,,,,,,,,,228,100,300,1820,800,2400,1820,800,2400,1.84171924751
2020-03-02,,,,,,,,,228,100,300,2048,900,2700,2048,900,2700,1.8414299189
2020-03-03,,,,,,,,,637,299,898,2684,1199,3598,2684,1199,3598,1.84094875224
2020-03-04,,,,,,,,,634,298,894,3318,1498,4492,3318,1498,4492,1.84050133132
2020-03-05,,,,,,,,,668,317,950,3987,1815,5441,3987,1815,5441,1.83992954741
2020-03-06,,,,,,,,,740,355,1064,4727,2171,6504,4727,2171,6504,1.83924150299
2020-03-07,,,,,,,,,888,435,1301,5614,2606,7804,5614,2606,7804,1.8384088451
2020-03-08,,,,,,,,,1119,560,1671,6733,3167,9474,6733,3167,9474,1.83739757734
2020-03-09,,,,,,,,,1302,660,1965,7807,3727,11139,8035,3827,11439,1.83616392764
2020-03-10,,,,,,,,,1464,752,2234,9044,4380,13073,9499,4580,13673,1.83465525013
2020-03-11,,,,,,,,,1661,867,2564,10477,5148,15336,11160,5448,16236,1.8328179413
2020-03-12,,,,,,,,,1902,1009,2973,12151,6057,18009,13061,6457,19209,1.8305836823
2020-03-13,,,,,,,,,2206,1190,3490,14130,7147,21199,15268,7647,22699,1.82786471608
2020-03-14,,,,,,,,,2534,1387,4043,16436,8434,24941,17802,9034,26741,1.82455343804
2020-03-15,,,,,,,,,2879,1598,4627,19088,9933,29268,20681,10633,31368,1.82051706054
2020-03-16,,,,,,,,,3262,1836,5272,22122,11670,34239,23943,12470,36639,1.81559614078
2020-03-17,,,,,,,,,3698,2112,6000,25593,13682,39939,27641,14582,42639,1.8095943831
2020-03-18,1,1,,,,,,,4198,2430,6823,29154,15813,45864,31839,17013,49461,1.80226725115
2020-03-19,0,1,,,,,,,4754,2788,7717,33274,18303,52686,36592,19801,57177,1.79330992281
2020-03-20,0,1,,,,,,,5360,3164,8662,37965,21151,60398,41952,22966,65839,1.78234282501
2020-03-21,1,2,,,,,,,6020,3484,9656,43246,24279,68991,47973,26450,75494,1.76889670865
2020-03-22,2,4,,,,,,,6741,3800,10696,49100,27644,78386,54714,30251,86190,1.752398922
2020-03-23,2,6,,,,,,,7523,4111,11769,55503,31195,88484,62237,34362,97958,1.73217107174
2020-03-24,2,8,,,,,,,8354,4479,12847,62555,35014,99366,70590,38842,110805,1.70745584113
2020-03-25,7,15,,,,,,,9217,4865,13917,70308,39127,111049,79807,43707,124721,1.67749433324
2020-03-26,3,18,,,,,,,10093,5262,15114,78741,43522,123599,89901,48970,139835,1.64166899952
2020-03-27,4,22,,,,,,,10961,5665,16225,87800,48178,136851,100862,54636,156060,1.59969640571
2020-03-28,12,34,,,,,,,11796,6317,17134,97389,53305,150495,112657,60953,173193,1.55180670801
2020-03-29,7,41,,,,,,,12572,7090,18176,107428,59009,164628,125230,68044,191369,1.49881923187
2020-03-30,9,50,,,,,,,13269,7735,19149,117817,65146,179150,138498,75779,210517,1.44205846933
2020-03-31,13,63,,,,,,,13868,8357,19945,128423,71666,193824,152366,84136,230462,1.38313961258
2020-04-01,11,74,,,,,,,14360,8941,20173,139086,78496,207996,166727,93078,250635,1.32371985697
2020-04-02,16,90,,,,,,,14741,9418,20167,149629,85483,221340,181467,102496,270801,1.26531288556
2020-04-03,12,102,,,,,,,15008,9792,20690,159883,92487,234314,196475,112289,291491,1.20920633654
2020-04-04,34,136,,,,,,,15162,10256,20658,169685,99579,246310,211638,122545,312148,1.15645444867
2020-04-05,15,151,,,,,,,15211,10334,21095,178876,106429,257749,226849,132880,333243,1.10789069013
2020-04-06,28,179,,,,,,,15165,10334,21165,187300,112963,268218,242014,143215,354408,1.06412414206
2020-04-07,68,247,,,,,,,15037,10376,21134,194815,119229,277583,257051,153591,375541,1.02551685585
2020-04-08,71,318,,,,,,,14842,10200,20809,201303,124950,285546,271893,163792,396350,0.99216113568
2020-04-09,27,345,,,,,,,14594,10078,20241,206680,130163,291870,286488,173871,416591,0.963881080545
2020-04-10,73,418,,,,,,,14305,9775,19532,210892,134676,296288,300793,183646,436123,0.940274095903
2020-04-11,85,503,,,,,,,13986,9688,19019,213917,138699,299081,314779,193335,455141,0.920788454226
2020-04-12,54,557,,,,,,,13644,9560,18661,215765,141942,300608,328422,202895,473801,0.904813491283
2020-04-13,32,589,,,,,,,13287,9288,18076,216479,144140,300508,341709,212184,491877,0.891755094864
2020-04-14,102,691,,,,,,,12919,8989,17637,216130,145393,298996,354628,221173,509513,0.88108194107
2020-04-15,88,779,,,,,,,12547,8763,17268,214809,145800,296319,367175,229936,526780,0.872343738386
2020-04-16,62,841,,,,,,,12173,8524,16955,212622,145383,293101,379349,238461,543735,0.865170828965
2020-04-17,80,921,,,,,,,11801,8201,16505,209683,144166,289438,391150,246663,560239,0.859264712437
2020-04-18,121,1042,,,,,,,11433,7868,15943,206108,142243,284692,402583,254532,576182,0.854385905545
2020-04-19,234,1276,,,,,,,11070,7581,15311,202015,139568,279345,413653,262114,591492,0.850342386721
2020-04-20,72,1348,,,,,,,10714,7342,14784,197518,136576,273033,424367,269456,606276,0.84697982075
2020-04-21,266,1614,,,,,,,10366,7030,14201,192719,133271,266069,434733,276486,620476,0.84417372486
2020-04-22,59,1673,,,,,,,10027,6774,13622,187708,129669,258557,444759,283261,634098,0.841823332481
2020-04-23,51,1724,,,,,,,9697,6527,13053,182563,125996,250801,454456,289788,647151,0.83984681501
2020-04-24,23,1747,,,,,,,9376,6326,12546,177344,122243,243105,463832,296114,659696,0.838177549542
2020-04-25,46,1793,,,,,,,9065,6130,12249,172104,118598,235822,472896,302245,671944,0.836761182628
2020-04-26,23,1816,,,,,,,8763,5853,11908,166881,114763,228712,481660,308098,683852,0.835553301166
2020-04-27,70,1886,,,,,,,8471,5674,11522,161708,110877,221573,490131,313773,695374,0.834517570669
2020-04-28,160,2046,,,,,,,8189,5501,11258,156610,107090,214754,498319,319274,706631,0.833624237569
2020-04-29,327,2373,,,,,,,7915,5318,10997,151606,103420,208115,506235,324593,717627,0.832848918273
2020-04-30,102,2475,,,,,,,7651,5018,10741,146711,99675,201589,513886,329612,728368,0.832171616363
2020-05-01,160,2635,,,,,,,7396,4752,10490,141933,95902,195123,521282,334364,738858,0.831575922728
2020-05-02,60,2695,,,,,,,7149,4481,10243,137281,92182,188862,528431,338845,749100,0.830942226252
2020-05-03,25,2720,,,,,,,6910,4233,9989,132758,88546,182908,535341,343079,759089,0.830355084068
2020-05-04,118,2838,,,,,,,6679,4000,9754,128367,84965,177350,542020,347079,768842,0.829869933674
2020-05-05,341,3179,,,,,,,6456,3804,9490,124109,81427,172056,548476,350884,778331,0.829442526488
2020-05-06,166,3345,,,,,,,6241,3595,9263,119984,77992,167118,554717,354479,787594,0.829066972949
2020-05-07,244,3589,,,,,,,6034,3422,9041,115991,74640,162537,560751,357902,796634,0.828744657034
2020-05-08,126,3715,,,,,,,5834,3258,8823,112128,71371,158307,566584,361160,805457,0.82855596087
2020-05-09,64,3779,,,,,,,5641,3084,8610,108393,68129,154371,572225,364244,814067,0.828381529364
2020-05-10,27,3806,,,,,,,5454,2919,8401,104782,64918,150523,577679,367164,822467,0.828223362883
2020-05-11,26,3832,,,,,,,5274,2762,8196,101293,61827,146812,582953,369926,830663,0.828084196099
2020-05-12,82,3914,,,,,,,5100,2615,7996,97922,58768,143285,588052,372541,838659,0.82796769022
2020-05-13,180,4094,,,,,,,4932,2476,7799,94665,55742,139827,592984,375017,846458,0.827878724395
2020-05-14,194,4288,,,,,,,4770,2367,7607,91519,52790,136437,597754,377384,854064,0.827823779181
2020-05-15,134,4422,,,,,,,4613,2269,7428,88481,50041,133123,602367,379654,861491,0.827811441971
2020-05-16,58,4480,,,,,,,4462,2164,7246,85547,47453,129879,606829,381818,868736,0.827853074929
2020-05-17,15,4495,,,,,,,4317,2046,7062,82715,45019,126698,611146,383865,875798,0.82796368815
2020-05-18,20,4515,,,,,,,4176,1938,6885,79981,42723,123594,615322,385803,882683,0.828163083216
2020-05-19,113,4628,,,,,,,4041,1829,6713,77343,40553,120553,619363,387632,889395,0.828477347205
2020-05-20,142,4770,,,,,,,3911,1721,6549,74798,38469,117613,623273,389354,895944,0.82894079022
2020-05-21,99,4869,,,,,,,3786,1614,6386,72342,36488,114736,627059,390968,902330,0.829598439742
2020-05-22,141,5010,,,,,,,3666,1532,6228,69974,34598,111923,630725,392500,908557,0.830509211696
2020-05-23,102,5112,,,,,,,3551,1443,6071,67691,32783,109171,634276,393943,914628,0.831749874029
2020-05-24,24,5136,,,,,,,3442,1353,5923,65493,31051,106484,637718,395296,920550,0.833419878675
2020-05-25,10,5146,,,,,,,3339,1267,5785,63377,29399,103868,641056,396563,926335,0.835647031148
2020-05-26,17,5163,,,,,,,3241,1201,5650,61345,27839,101322,644298,397765,931985,0.838593742018
2020-05-27,102,5265,,,,,,,3151,1146,5523,59396,26370,98849,647449,398912,937507,0.842463179717
2020-05-28,108,5373,,,,,,,3068,1100,5403,57532,24995,96452,650516,400013,942910,0.847503944459
2020-05-29,91,5464,,,,,,,2993,1058,5294,55756,23686,94139,653509,401071,948203,0.854010692078
2020-05-30,73,5537,,,,,,,2928,1017,5190,54070,22434,91902,656437,402088,953392,0.86231662872
2020-05-31,18,5555,,,,,,,2874,988,5103,52482,21258,89759,659311,403076,958495,0.872772020406
2020-06-01,12,5567,,,,,,,2831,968,5025,50996,20179,87721,662142,404045,963519,0.885701991127
2020-06-02,100,5667,,,,,,,2800,952,4963,49621,19194,85799,664943,404997,968481,0.901338677785
2020-06-03,75,5742,,,,,,,2783,949,4963,48362,18314,84049,667725,405946,973444,0.919730944201
