date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-27,,,,,,,,,34,25,40,34,25,40,34,25,40,1.54078947368
2020-02-28,,,,,,,,,34,25,40,69,50,80,69,50,80,1.52040928047
2020-02-29,,,,,,,,,34,25,40,103,75,120,103,75,120,1.51288901591
2020-03-01,,,,,,,,,34,25,40,137,100,160,137,100,160,1.50257121045
2020-03-02,,,,,,,,,34,25,40,172,125,200,172,125,200,1.4884528635
2020-03-03,,,,,,,,,34,25,40,206,150,240,206,150,240,1.4692558802
2020-03-04,,,,,,,,,34,25,40,240,175,280,240,175,280,1.44347239636
2020-03-05,,,,,,,,,34,25,40,274,200,320,274,200,320,1.4095578583
2020-03-06,,,,,,,,,34,25,40,309,225,360,309,225,360,1.36631320607
2020-03-07,,,,,,,,,78,49,112,387,274,472,387,274,472,1.31314759342
2020-03-08,,,,,,,,,76,48,108,463,323,579,463,323,579,1.25114239487
2020-03-09,,,,,,,,,75,49,108,538,373,687,538,373,687,1.18175335031
2020-03-10,,,,,,,,,77,51,113,615,424,799,615,424,799,1.10727975857
2020-03-11,,,,,,,,,83,54,125,698,479,923,698,479,923,1.03016248159
2020-03-12,,,,,,,,,91,59,138,788,538,1061,788,538,1061,0.952744349771
2020-03-13,,,,,,,,,93,60,145,847,574,1165,882,599,1205,0.87715431977
2020-03-14,,,,,,,,,92,59,140,905,609,1265,974,659,1345,0.805297697358
2020-03-15,,,,,,,,,90,58,137,961,642,1362,1064,717,1482,0.738869996018
2020-03-16,,,,,,,,,88,57,134,1014,674,1455,1152,774,1615,0.679324034643
2020-03-17,,,,,,,,,86,55,129,1066,705,1544,1238,830,1744,0.62777026785
2020-03-18,,,,,,,,,83,54,122,1115,734,1626,1321,884,1866,0.584807635686
2020-03-19,,,,,,,,,80,52,117,1161,761,1702,1401,936,1982,0.550363766195
2020-03-20,,,,,,,,,77,50,112,1204,787,1773,1478,987,2093,0.523691870894
