date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-28,,,,,,,,,48,25,75,48,25,75,48,25,75,1.33703703704
2020-02-29,,,,,,,,,48,25,75,95,50,150,95,50,150,1.33663258582
2020-03-01,,,,,,,,,48,25,75,143,75,225,143,75,225,1.33648869341
2020-03-02,,,,,,,,,48,25,75,191,100,300,191,100,300,1.33629318311
2020-03-03,,,,,,,,,48,25,75,238,125,375,238,125,375,1.33602728803
2020-03-04,,,,,,,,,48,25,75,286,150,450,286,150,450,1.3356652893
2020-03-05,,,,,,,,,48,25,75,334,175,525,334,175,525,1.33517188574
2020-03-06,,,,,,,,,48,25,75,381,200,600,381,200,600,1.33449855432
2020-03-07,,,,,,,,,48,25,75,429,225,675,429,225,675,1.33357852112
2020-03-08,,,,,,,,,106,54,180,535,279,855,535,279,855,1.33223599792
2020-03-09,,,,,,,,,105,54,179,640,334,1034,640,334,1034,1.33050173675
2020-03-10,,,,,,,,,108,56,185,749,390,1219,749,390,1219,1.32811516118
2020-03-11,,,,,,,,,115,59,198,864,450,1416,864,450,1416,1.32485215847
2020-03-12,,,,,,,,,129,66,225,993,516,1641,993,516,1641,1.32039079366
2020-03-13,,,,,,,,,151,77,267,1143,594,1907,1143,594,1907,1.31430602536
2020-03-14,,,,,,,,,166,85,294,1262,654,2126,1310,679,2201,1.30605955107
2020-03-15,,,,,,,,,178,91,312,1392,720,2363,1488,770,2513,1.29502394563
2020-03-16,,,,,,,,,190,97,328,1534,792,2615,1678,867,2840,1.28057349121
2020-03-17,,,,,,,,,202,104,341,1689,872,2881,1880,972,3181,1.26224741377
2020-03-18,,,,,,,,,217,112,354,1859,960,3159,2097,1085,3534,1.23994275248
2020-03-19,,,,,,,,,231,121,365,2042,1056,3449,2328,1206,3899,1.2140126394
2020-03-20,,,,,,,,,242,128,378,2237,1159,3751,2571,1334,4276,1.18519114199
2020-03-21,,,,,,,,,252,135,395,2441,1270,4071,2823,1470,4671,1.15441333731
2020-03-22,,,,,,,,,261,140,408,2654,1385,4403,3083,1610,5078,1.12264914184
2020-03-23,1,1,,,,,,,269,146,417,2817,1477,4640,3352,1757,5495,1.09081372414
2020-03-24,1,2,,,,,,,275,151,418,2987,1574,4878,3627,1908,5912,1.05974151693
2020-03-25,0,2,,,,,,,281,155,415,3159,1673,5108,3908,2064,6326,1.03018134915
2020-03-26,2,4,,,,,,,285,159,412,3329,1773,5321,4192,2223,6737,1.00278895868
2020-03-27,0,4,,,,,,,287,162,410,3487,1869,5506,4480,2386,7146,0.978121198321
2020-03-28,0,4,,,,,,,289,165,414,3625,1957,5653,4769,2551,7560,0.956625528707
2020-03-29,2,6,,,,,,,290,168,411,3749,2041,5769,5059,2720,7970,0.938590624258
2020-03-30,1,7,,,,,,,291,171,408,3863,2121,5865,5350,2891,8377,0.924061475482
2020-03-31,0,7,,,,,,,291,173,409,3964,2197,5945,5642,3064,8785,0.912798661618
2020-04-01,0,7,,,,,,,291,175,405,4053,2268,6010,5933,3240,9190,0.904345227851
2020-04-02,1,8,,,,,,,291,177,401,4127,2332,6057,6224,3417,9591,0.89815942278
2020-04-03,4,12,,,,,,,290,179,397,4186,2390,6090,6514,3597,9988,0.893728534286
2020-04-04,0,12,,,,,,,290,181,396,4234,2443,6107,6804,3778,10383,0.890625960491
2020-04-05,0,12,,,,,,,289,182,394,4271,2491,6107,7093,3961,10777,0.888522452629
2020-04-06,1,13,,,,,,,288,184,391,4298,2534,6090,7382,4145,11168,0.887174787749
2020-04-07,2,15,,,,,,,287,186,386,4317,2574,6060,7669,4332,11554,0.886407915443
2020-04-08,1,16,,,,,,,286,187,382,4328,2611,6024,7955,4519,11935,0.886097885463
2020-04-09,0,16,,,,,,,285,189,377,4333,2644,5987,8241,4709,12312,0.886157791144
2020-04-10,4,20,,,,,,,284,190,373,4333,2676,5948,8525,4900,12684,0.886526842107
2020-04-11,1,21,,,,,,,283,192,371,4329,2706,5909,8808,5092,13055,0.887162036689
2020-04-12,2,23,,,,,,,282,193,368,4322,2734,5863,9091,5286,13422,0.888031846086
2020-04-13,0,23,,,,,,,282,194,363,4313,2760,5815,9372,5481,13785,0.889111444279
2020-04-14,0,23,,,,,,,281,195,359,4303,2785,5767,9653,5676,14143,0.890379161188
2020-04-15,13,36,,,,,,,280,196,358,4291,2808,5716,9933,5873,14501,0.891813947917
2020-04-16,3,39,,,,,,,279,197,357,4279,2830,5667,10212,6070,14857,0.89339370957
2020-04-17,1,40,,,,,,,278,199,356,4266,2852,5622,10490,6269,15212,0.895094388693
2020-04-18,1,41,,,,,,,277,199,355,4252,2872,5579,10767,6469,15567,0.896889685135
2020-04-19,1,42,,,,,,,276,200,353,4239,2891,5537,11043,6670,15920,0.898751291641
2020-04-20,0,42,,,,,,,276,201,351,4226,2910,5494,11319,6871,16271,0.900649520644
2020-04-21,1,43,,,,,,,275,202,350,4213,2928,5453,11594,7074,16620,0.902554201552
2020-04-22,0,43,,,,,,,274,203,349,4200,2945,5415,11869,7278,16968,0.904435737142
2020-04-23,3,46,,,,,,,274,205,347,4187,2963,5380,12143,7483,17315,0.906266217502
2020-04-24,2,48,,,,,,,273,206,346,4175,2980,5349,12416,7690,17661,0.908020496025
2020-04-25,4,52,,,,,,,273,205,345,4163,2995,5321,12688,7895,18005,0.909677135133
2020-04-26,0,52,,,,,,,272,204,345,4152,3007,5295,12960,8099,18349,0.911219134827
2020-04-27,0,52,,,,,,,272,203,344,4141,3016,5271,13232,8303,18693,0.913232759684
2020-04-28,3,55,,,,,,,271,201,344,4131,3023,5253,13503,8504,19037,0.91514712624
2020-04-29,2,57,,,,,,,271,199,342,4121,3026,5236,13774,8703,19378,0.916962581098
2020-04-30,3,60,,,,,,,270,197,340,4111,3027,5218,14044,8900,19718,0.918708104904
2020-05-01,2,62,,,,,,,270,195,341,4102,3025,5202,14313,9096,20059,0.920377026856
2020-05-02,1,63,,,,,,,269,193,342,4093,3019,5188,14582,9289,20400,0.922028345406
2020-05-03,0,63,,,,,,,268,191,341,4084,3011,5174,14851,9481,20740,0.921986159985
2020-05-04,0,63,,,,,,,267,190,338,4075,3002,5158,15118,9672,21078,0.921945072402
2020-05-05,3,66,,,,,,,266,189,336,4065,2989,5143,15384,9861,21413,0.921905521512
2020-05-06,0,66,,,,,,,266,187,335,4056,2975,5129,15650,10049,21748,0.921867998854
2020-05-07,1,67,,,,,,,265,186,336,4046,2957,5117,15914,10235,22084,0.921833172618
2020-05-08,3,70,,,,,,,263,184,337,4035,2936,5106,16178,10420,22421,0.921801947675
2020-05-09,1,71,,,,,,,262,182,337,4024,2912,5097,16440,10602,22757,0.921775548741
2020-05-10,0,71,,,,,,,261,180,338,4013,2887,5089,16701,10782,23094,0.921755631629
2020-05-11,0,71,,,,,,,260,178,339,4000,2861,5083,16961,10960,23432,0.921744418121
2020-05-12,3,74,,,,,,,258,176,340,3987,2834,5078,17219,11137,23771,0.92174489595
2020-05-13,2,76,,,,,,,257,173,340,3973,2807,5075,17476,11311,24111,0.921761090702
2020-05-14,3,79,,,,,,,255,171,341,3958,2779,5074,17731,11482,24452,0.921798425182
2020-05-15,4,83,,,,,,,254,168,342,3941,2750,5076,17985,11651,24793,0.92186420451
2020-05-16,0,83,,,,,,,252,165,343,3924,2720,5077,18237,11817,25135,0.921968260137
2020-05-17,0,83,,,,,,,251,163,343,3906,2690,5079,18488,11980,25478,0.922123812505
2020-05-18,0,83,,,,,,,249,160,344,3886,2659,5082,18737,12140,25822,0.922348620652
2020-05-19,3,86,,,,,,,247,157,345,3866,2626,5089,18984,12298,26166,0.922666504134
2020-05-20,2,88,,,,,,,246,155,345,3846,2592,5098,19230,12454,26511,0.92310934373
2020-05-21,2,90,,,,,,,244,152,346,3824,2557,5108,19474,12606,26856,0.923719684897
2020-05-22,0,90,,,,,,,242,150,346,3802,2521,5118,19716,12757,27202,0.924554080005
2020-05-23,2,92,,,,,,,241,147,347,3779,2485,5128,19957,12905,27548,0.92568729544
2020-05-24,1,93,,,,,,,239,145,347,3755,2448,5139,20195,13050,27895,0.927217455261
2020-05-25,0,93,,,,,,,237,143,348,3732,2411,5149,20433,13194,28243,0.929272056211
2020-05-26,0,93,,,,,,,236,141,349,3708,2374,5160,20669,13335,28591,0.932014506337
2020-05-27,0,93,,,,,,,235,139,350,3685,2338,5170,20904,13475,28941,0.935650325895
2020-05-28,1,94,,,,,,,234,138,351,3662,2302,5181,21138,13613,29291,0.940431306692
2020-05-29,1,95,,,,,,,234,137,353,3640,2268,5193,21372,13750,29644,0.946654699857
2020-05-30,0,95,,,,,,,234,136,357,3621,2236,5208,21606,13887,30001,0.954653007902
2020-05-31,1,96,,,,,,,235,136,361,3604,2207,5226,21841,14024,30361,0.964768704986
2020-06-01,0,96,,,,,,,237,137,366,3590,2181,5248,22078,14161,30726,0.977308383612
2020-06-02,1,97,,,,,,,240,138,372,3581,2159,5276,22318,14300,31098,0.992474741686
2020-06-03,0,97,,,,,,,244,141,380,3577,2142,5312,22562,14441,31477,1.01028292732
2020-06-04,0,97,,,,,,,249,143,390,3581,2130,5357,22811,14584,31867,1.03048201702
2020-06-05,4,101,,,,,,,255,146,403,3592,2124,5415,23066,14730,32270,1.05251425524
2020-06-06,0,101,,,,,,,262,149,416,3612,2123,5484,23328,14880,32686,1.07554460523
2020-06-07,0,101,,,,,,,271,153,430,3642,2128,5567,23599,15034,33115,1.09857171632
2020-06-08,0,101,,,,,,,280,155,446,3684,2139,5666,23879,15189,33561,1.12059439761
2020-06-09,1,102,,,,,,,291,158,466,3737,2154,5784,24170,15348,34026,1.14077804755
2020-06-10,3,105,,,,,,,302,162,484,3803,2175,5920,24472,15511,34510,1.1585655022
2020-06-11,4,109,,,,,,,315,166,508,3883,2201,6078,24787,15677,35018,1.17370645966
2020-06-12,0,109,,,,,,,328,170,534,3976,2233,6261,25114,15847,35552,1.18621662466
2020-06-13,0,109,,,,,,,342,174,562,4085,2271,6469,25456,16021,36113,1.1962991258
2020-06-14,3,112,,,,,,,357,178,591,4207,2312,6703,25813,16200,36703,1.20426092015
2020-06-15,0,112,,,,,,,373,186,622,4344,2362,6964,26185,16386,37325,1.21044463536
2020-06-16,0,112,,,,,,,389,197,655,4496,2422,7253,26574,16584,37979,1.21518280128
2020-06-17,4,116,,,,,,,407,209,690,4663,2493,7571,26981,16793,38668,1.21877260557
2020-06-18,1,117,,,,,,,425,221,726,4844,2573,7917,27406,17015,39394,1.22146571063
2020-06-19,2,119,,,,,,,444,234,765,5039,2665,8292,27850,17249,40158,1.22346746095
2020-06-20,0,119,,,,,,,464,248,806,5249,2767,8694,28314,17498,40964,1.22494105671
2020-06-21,0,119,,,,,,,485,262,849,5472,2879,9127,28800,17760,41812,1.22601376427
2020-06-22,1,120,,,,,,,508,277,894,5709,3004,9592,29307,18038,42706,1.22678346108
2020-06-23,1,121,,,,,,,531,290,942,5959,3138,10087,29838,18328,43648,1.2273246545
2020-06-24,1,122,,,,,,,555,300,992,6224,3279,10614,30393,18628,44639,1.22769362759
2020-06-25,6,128,,,,,,,581,306,1045,6502,3424,11175,30974,18935,45684,1.22793264706
2020-06-26,2,130,,,,,,,607,313,1101,6795,3571,11767,31581,19248,46785,1.22807330588
2020-06-27,0,130,,,,,,,635,319,1159,7102,3720,12392,32216,19567,47943,1.22790789834
2020-06-28,3,133,,,,,,,664,325,1220,7424,3871,13051,32880,19893,49163,1.2274913901
2020-06-29,0,133,,,,,,,694,331,1285,7761,4024,13745,33574,20225,50447,1.22697223187
2020-06-30,2,135,,,,,,,726,338,1352,8115,4176,14475,34300,20563,51799,1.22631733764
2020-07-01,1,136,,,,,,,759,344,1422,8484,4324,15242,35059,20908,53221,1.22548280552
2020-07-02,2,138,,,,,,,793,351,1496,8871,4466,16048,35852,21260,54716,1.22441069732
2020-07-03,2,140,,,,,,,828,358,1572,9274,4603,16894,36680,21618,56288,1.22302508577
2020-07-04,0,140,,,,,,,865,364,1652,9695,4733,17781,37545,21983,57939,1.22122743516
2020-07-05,0,140,,,,,,,903,371,1734,10133,4856,18709,38447,22355,59672,1.21889157763
2020-07-06,0,140,,,,,,,941,378,1818,10589,4973,19678,39389,22733,61490,1.21585896265
2020-07-07,0,140,,,,,,,980,385,1904,11062,5080,20687,40369,23118,63393,1.21193549666
2020-07-08,2,142,,,,,,,1020,391,1990,11551,5182,21735,41389,23510,65383,1.20689222491
2020-07-09,4,146,,,,,,,1059,398,2076,12055,5280,22819,42448,23909,67458,1.20047326346
2020-07-10,1,147,,,,,,,1097,404,2160,12571,5378,23934,43545,24313,69618,1.19241533765
2020-07-11,1,148,,,,,,,1134,410,2241,13098,5475,25075,44679,24724,71859,1.18248311523
2020-07-12,0,148,,,,,,,1168,416,2317,13631,5572,26232,45847,25140,74175,1.17052173829
2020-07-13,0,148,,,,,,,1199,421,2385,14166,5668,27396,47046,25562,76559,1.15652115217
2020-07-14,4,152,,,,,,,1226,424,2444,14699,5761,28556,48273,25987,79003,1.14067644219
2020-07-15,2,154,,,,,,,1249,427,2494,15222,5850,29698,49522,26414,81497,1.12341897954
2020-07-16,0,154,,,,,,,1268,428,2534,15732,5934,30810,50790,26843,84030,1.10539336261
2020-07-17,7,161,,,,,,,1283,430,2565,16221,6013,31879,52073,27273,86594,1.0873717052
2020-07-18,1,162,,,,,,,1294,430,2587,16687,6085,32893,53367,27703,89181,1.07012530029
2020-07-19,0,162,,,,,,,1302,430,2601,17124,6150,33843,54669,28134,91781,1.05429649835
2020-07-20,0,162,,,,,,,1307,428,2614,17528,6207,34723,55976,28562,94395,1.04031354238
2020-07-21,4,166,,,,,,,1311,426,2626,17898,6255,35531,57287,28988,97020,1.02836816426
2020-07-22,5,171,,,,,,,1313,423,2638,18230,6293,36266,58599,29412,99658,1.0184472755
2020-07-23,,,1.43510348244,0,3,172.435103482,171,174,1313,421,2648,18524,6322,36924,59913,29833,102306,
2020-07-24,,,1.48220863476,0,3,173.917312117,172,177,1313,420,2647,18778,6345,37495,61226,30254,104952,
2020-07-25,,,1.53237023814,0,3,175.449682355,173,180,1312,420,2642,18993,6360,37976,62538,30674,107594,
2020-07-26,,,1.58529724692,0,3,177.034979602,173,183,1311,418,2639,19169,6367,38374,63848,31092,110232,
2020-07-27,,,1.64116265056,0,4,178.676142253,174,186,1309,416,2637,19310,6367,38694,65157,31508,112869,
2020-07-28,,,1.70058254385,0,4,180.376724797,175,189,1307,414,2634,19418,6360,38943,66464,31922,115502,
2020-07-29,,,1.76301905413,0,4,182.139743851,176,192,1304,411,2632,19496,6347,39130,67768,32334,118133,
2020-07-30,,,1.82787636319,0,4,183.967620214,177,196,1302,408,2630,19548,6328,39266,69070,32742,120762,
2020-07-31,,,1.89449330934,0,4,185.862113523,177,199,1299,404,2633,19579,6304,39365,70369,33147,123395,
2020-08-01,,,1.96214691264,0,4,187.824260436,178,203,1297,401,2647,19593,6275,39448,71666,33548,126042,
2020-08-02,,,2.03006769053,0,4,189.854328126,179,207,1294,397,2661,19593,6242,39522,72960,33946,128702,
2020-08-03,,,2.09746508593,0,5,191.951793212,180,211,1291,394,2674,19582,6206,39595,74251,34340,131376,
