date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-14,,,,,,,,,614,250,750,614,250,750,614,250,750,2.45438277479
2020-02-15,,,,,,,,,614,250,750,1228,500,1500,1228,500,1500,2.45427443457
2020-02-16,,,,,,,,,614,250,750,1841,750,2250,1841,750,2250,2.45423630195
2020-02-17,,,,,,,,,614,250,750,2455,1000,3000,2455,1000,3000,2.45418468196
2020-02-18,,,,,,,,,614,250,750,3069,1250,3750,3069,1250,3750,2.45411476275
2020-02-19,,,,,,,,,614,250,750,3683,1500,4500,3683,1500,4500,2.45401998996
2020-02-20,,,,,,,,,614,250,750,4296,1750,5250,4296,1750,5250,2.45389141999
2020-02-21,,,,,,,,,614,250,750,4910,2000,6000,4910,2000,6000,2.45371682386
2020-02-22,,,,,,,,,614,250,750,5524,2250,6750,5524,2250,6750,2.4534794402
2020-02-23,,,,,,,,,2106,849,2845,7630,3099,9595,7630,3099,9595,2.45303190706
2020-02-24,,,,,,,,,2099,847,2835,9729,3947,12429,9729,3947,12429,2.45257559685
2020-02-25,,,,,,,,,2275,916,3116,12004,4863,15545,12004,4863,15545,2.45191956609
2020-02-26,,,,,,,,,2633,1057,3685,14637,5921,19229,14637,5921,19229,2.45104116899
2020-02-27,,,,,,,,,3379,1350,4869,18016,7271,24098,18016,7271,24098,2.44985049753
2020-02-28,,,,,,,,,4553,1811,6739,22569,9083,30836,22569,9083,30836,2.44822345018
2020-02-29,,,,,,,,,5537,2197,8328,27492,11030,38413,28106,11280,39163,2.44598183075
2020-03-01,,,,,,,,,6523,2580,9972,33402,13360,47635,34629,13860,49135,2.44287639814
2020-03-02,,,,,,,,,7818,3080,12168,40606,16190,59052,42447,16940,61302,2.43857313872
2020-03-03,,,,,,,,,9505,3732,15049,49496,19673,73350,51952,20673,76350,2.43258758834
2020-03-04,,,,,,,,,11690,4580,18750,60573,24003,91350,63642,25253,95100,2.42421753131
2020-03-05,,,,,,,,,14153,5545,22871,74112,29299,113470,77795,30799,117970,2.41245778192
2020-03-06,,,,,,,,,16923,6646,27434,90421,35695,140153,94717,37445,145403,2.39587655884
2020-03-07,,,,,,,,,20162,7964,32645,109970,43410,172048,114880,45410,178048,2.37247265586
2020-03-08,,,,,,,,,23964,9574,38548,133320,52734,209845,138844,54984,216595,2.33952355832
2020-03-09,2,2,,,,,,,28313,11535,44978,159527,63419,251978,167157,66519,261573,2.29354653464
2020-03-10,0,2,,,,,,,32995,13867,51954,190423,76439,301098,200152,80387,313526,2.23059376783
2020-03-11,1,3,,,,,,,37750,16488,58345,225898,92011,356326,237902,96875,371871,2.1471737653
2020-03-12,0,3,,,,,,,42319,19214,64137,265583,110168,416778,280220,116089,436007,2.04186965907
2020-03-13,4,7,,,,,,,46414,21976,71642,308619,130794,483551,326634,138066,507648,1.9169599934
2020-03-14,2,9,,,,,,,49786,24540,77954,353852,153524,554766,376421,162607,585601,1.77868304493
2020-03-15,2,11,,,,,,,52279,27522,79927,400594,178849,626365,428700,190129,665528,1.63555150648
2020-03-16,6,17,,,,,,,53872,30476,81384,447943,206745,697778,482572,220605,746912,1.49589049547
2020-03-17,7,24,,,,,,,54649,33418,79019,494774,237083,764628,537221,254024,825930,1.36614796152
2020-03-18,4,28,,,,,,,54722,36408,78960,539991,269759,828540,591943,290432,904889,1.25034873114
2020-03-19,16,44,,,,,,,54202,38561,78709,582503,303740,888498,646145,328994,983597,1.15025308308
2020-03-20,23,67,,,,,,,53187,37558,75186,621538,335753,940813,699332,366552,1058783,1.06585963357
2020-03-21,17,84,,,,,,,51771,37097,74420,656385,366204,987800,751103,403650,1133202,0.996084258448
2020-03-22,10,94,,,,,,,50050,36261,72222,686273,394502,1027376,801153,439912,1205423,0.939390026414
2020-03-23,29,123,,,,,,,48122,34940,69612,710431,419867,1058440,849275,474852,1275035,0.89416224932
2020-03-24,34,157,,,,,,,46074,33420,66600,728193,441752,1080062,895350,508272,1341635,0.85881847193
2020-03-25,49,206,,,,,,,43979,32368,62399,739177,460253,1090507,939329,540640,1404033,0.831791704681
2020-03-26,61,267,,,,,,,41888,31427,58884,743316,475192,1091046,981217,572068,1462916,0.811529108654
2020-03-27,75,342,,,,,,,39838,30136,57190,740834,486114,1084099,1021055,602204,1520105,0.796561706883
2020-03-28,91,433,,,,,,,37848,29183,53249,732268,493321,1065706,1058903,631387,1573354,0.785601517196
2020-03-29,100,533,,,,,,,35933,28247,50722,718415,497027,1038475,1094836,659634,1624075,0.777600506838
2020-03-30,112,645,,,,,,,34101,26564,48116,700237,496069,1006663,1128937,686198,1672191,0.771752949771
2020-03-31,130,775,,,,,,,32356,24847,45990,678721,490440,971269,1161293,711046,1718180,0.76746160815
2020-04-01,145,920,,,,,,,30699,23809,44327,654771,480831,936577,1191992,734856,1762507,0.764292752222
2020-04-02,187,1107,,,,,,,29129,22228,41633,629178,466651,899250,1221121,757084,1804139,0.761934469551
2020-04-03,168,1275,,,,,,,27642,20416,39073,602618,448507,859615,1248763,777501,1843212,0.760163221001
2020-04-04,169,1444,,,,,,,26236,18756,36934,575667,429705,821364,1274999,796258,1880146,0.758818784543
2020-04-05,140,1584,,,,,,,24908,17237,34974,548804,409845,781918,1299906,813495,1915119,0.757786091396
2020-04-06,226,1810,,,,,,,23652,15870,33439,522406,389454,743136,1323559,829366,1948558,0.756982256
