date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-19,,,,,,,,,36,25,40,36,25,40,36,25,40,1.86140350877
2020-02-20,,,,,,,,,36,25,40,73,50,80,73,50,80,1.86110356388
2020-02-21,,,,,,,,,36,25,40,109,75,120,109,75,120,1.86099759609
2020-02-22,,,,,,,,,36,25,40,146,100,160,146,100,160,1.86085391131
2020-02-23,,,,,,,,,36,25,40,182,125,200,182,125,200,1.8606589167
2020-02-24,,,,,,,,,36,25,40,218,150,240,218,150,240,1.86039402247
2020-02-25,,,,,,,,,36,25,40,255,175,280,255,175,280,1.86003375019
2020-02-26,,,,,,,,,36,25,40,291,200,320,291,200,320,1.85954309668
2020-02-27,,,,,,,,,36,25,40,328,225,360,328,225,360,1.85887384776
2020-02-28,,,,,,,,,104,64,136,431,289,496,431,289,496,1.85752124772
2020-02-29,,,,,,,,,103,64,136,535,354,632,535,354,632,1.85621493065
2020-03-01,,,,,,,,,109,67,147,644,422,778,644,422,778,1.85433913489
2020-03-02,,,,,,,,,121,73,169,765,496,947,765,496,947,1.85182039276
2020-03-03,,,,,,,,,147,86,215,912,582,1162,912,582,1162,1.84839942992
2020-03-04,,,,,,,,,186,106,288,1098,688,1449,1098,688,1449,1.84371776787
2020-03-05,,,,,,,,,217,121,347,1279,785,1756,1315,810,1796,1.83726719553
2020-03-06,,,,,,,,,245,134,404,1487,894,2119,1560,944,2199,1.82834622464
2020-03-07,,,,,,,,,278,149,475,1729,1019,2553,1838,1094,2673,1.81603028294
2020-03-08,,,,,,,,,319,167,561,2011,1161,3074,2157,1261,3234,1.79905703094
2020-03-09,,,,,,,,,368,188,663,2343,1325,3696,2525,1450,3896,1.77577621962
2020-03-10,,,,,,,,,417,211,756,2723,1511,4411,2941,1661,4651,1.74421593626
2020-03-11,,,,,,,,,463,234,829,3150,1721,5200,3404,1896,5480,1.70233980292
2020-03-12,,,,,,,,,507,258,877,3620,1954,6036,3911,2154,6356,1.64859111316
2020-03-13,,,,,,,,,548,284,909,4131,2214,6905,4459,2439,7265,1.58254139497
2020-03-14,1,1,,,,,,,583,313,951,4610,2462,7720,5042,2752,8215,1.50530247131
2020-03-15,0,1,,,,,,,609,342,954,5116,2740,8538,5650,3095,9169,1.41941964478
2020-03-16,0,1,,,,,,,623,371,955,5630,3044,9346,6274,3467,10123,1.32833264677
2020-03-17,0,1,,,,,,,627,387,945,6136,3358,10121,6901,3854,11068,1.23570322977
2020-03-18,1,2,,,,,,,622,396,904,6611,3668,10810,7522,4251,11971,1.14484615633
2020-03-19,2,4,,,,,,,608,390,858,7033,3952,11380,8131,4641,12829,1.05839151632
2020-03-20,0,4,,,,,,,588,360,833,7404,4191,11865,8719,5001,13661,0.978218797315
2020-03-21,4,8,,,,,,,562,340,776,7721,4397,12237,9281,5342,14436,0.905611689826
2020-03-22,0,8,,,,,,,532,326,749,7975,4574,12512,9814,5668,15185,0.841478651916
2020-03-23,0,8,,,,,,,500,309,740,8157,4716,12690,10314,5978,15924,0.786461988925
2020-03-24,0,8,,,,,,,467,284,718,8256,4812,12746,10780,6263,16642,0.740853110706
2020-03-25,0,8,,,,,,,434,267,681,8273,4868,12671,11214,6530,17322,0.704401966876
2020-03-26,1,9,,,,,,,402,245,625,8212,4879,12467,11616,6775,17946,0.676240677662
