date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-25,,,,,,,,,106,75,125,106,75,125,106,75,125,1.90214497394
2020-02-26,,,,,,,,,106,75,125,213,150,250,213,150,250,1.90210226105
2020-02-27,,,,,,,,,106,75,125,319,225,375,319,225,375,1.90208717725
2020-02-28,,,,,,,,,106,75,125,425,300,500,425,300,500,1.90206676429
2020-02-29,,,,,,,,,106,75,125,532,375,625,532,375,625,1.90203913292
2020-03-01,,,,,,,,,106,75,125,638,450,750,638,450,750,1.90200171907
2020-03-02,,,,,,,,,106,75,125,745,525,875,745,525,875,1.9019510394
2020-03-03,,,,,,,,,106,75,125,851,600,1000,851,600,1000,1.90188235631
2020-03-04,,,,,,,,,106,75,125,957,675,1125,957,675,1125,1.90178921749
2020-03-05,,,,,,,,,306,209,375,1263,884,1500,1263,884,1500,1.90106913466
2020-03-06,,,,,,,,,305,209,374,1568,1094,1874,1568,1094,1874,1.90082327114
2020-03-07,,,,,,,,,322,220,398,1890,1314,2271,1890,1314,2271,1.90037489302
2020-03-08,,,,,,,,,359,243,446,2249,1558,2716,2249,1558,2716,1.8998430157
2020-03-09,,,,,,,,,435,292,546,2684,1850,3262,2684,1850,3262,1.89918307986
2020-03-10,,,,,,,,,553,368,704,3237,2218,3966,3237,2218,3966,1.89833876607
2020-03-11,,,,,,,,,648,427,830,3778,2571,4671,3885,2646,4796,1.89722253716
2020-03-12,,,,,,,,,733,480,947,4405,2977,5493,4618,3127,5743,1.89572127455
2020-03-13,,,,,,,,,838,544,1093,5137,3447,6460,5456,3672,6835,1.89373665361
2020-03-14,,,,,,,,,968,623,1274,5998,3995,7609,6424,4295,8109,1.8911131414
2020-03-15,,,,,,,,,1132,721,1507,7024,4642,8990,7556,5017,9615,1.88760935622
2020-03-16,,,,,,,,,1310,826,1760,8228,5393,10625,8866,5843,11375,1.88288685622
2020-03-17,,,,,,,,,1499,937,2034,9621,6256,12534,10365,6781,13409,1.87646752385
2020-03-18,,,,,,,,,1709,1059,2345,11224,7240,14753,12075,7840,15753,1.86770200412
2020-03-19,,,,,,,,,1948,1197,2705,13065,8362,17333,14023,9037,18458,1.85568317377
2020-03-20,1,1,,,,,,,2219,1355,3121,14978,9508,20079,16241,10393,21579,1.83915005272
2020-03-21,0,1,,,,,,,2512,1529,3584,17185,10828,23289,18753,11922,25162,1.81640761835
2020-03-22,0,1,,,,,,,2818,1717,4081,19681,12326,26972,21571,13640,29243,1.78531358662
2020-03-23,0,1,,,,,,,3128,1919,4600,22450,14002,31126,24699,15560,33842,1.74346232179
2020-03-24,0,1,,,,,,,3430,2136,5117,25445,15846,35697,28129,17697,38959,1.68872496383
2020-03-25,0,1,,,,,,,3706,2366,5584,28598,17844,40576,31835,20063,44542,1.62019672045
2020-03-26,1,2,,,,,,,3938,2561,5934,31888,19978,45680,35772,22625,50475,1.53917186467
2020-03-27,0,2,,,,,,,4110,2698,6102,35265,22196,50834,39882,25323,56576,1.44936045464
2020-03-28,1,3,,,,,,,4220,2811,6058,38646,24463,55800,44102,28135,62634,1.35596034111
2020-03-29,0,3,,,,,,,4271,2890,5940,41949,26730,60465,48373,31025,68574,1.26418145653
2020-03-30,2,5,,,,,,,4271,2876,5730,45088,28884,64688,52644,33902,74303,1.17812146511
2020-03-31,1,6,,,,,,,4228,2842,5585,48006,30900,68513,56872,36744,79887,1.10035002137
2020-04-01,7,13,,,,,,,4149,2953,5688,50656,32917,72167,61022,39698,85575,1.03204284964
2020-04-02,6,19,,,,,,,4040,2900,5689,52987,34758,75511,65062,42598,91263,0.973362743617
2020-04-03,2,21,,,,,,,3909,2820,5520,54948,36381,78325,68971,45419,96783,0.923865957796
2020-04-04,5,26,,,,,,,3761,2736,5373,56490,37762,80577,72731,48156,102155,0.88282504788
2020-04-05,1,27,,,,,,,3602,2655,5183,57580,38888,82176,76334,50811,107337,0.849425684534
2020-04-06,4,31,,,,,,,3439,2576,4905,58201,39747,83000,79773,53388,112242,0.822829435014
2020-04-07,9,40,,,,,,,3275,2499,4604,58349,40327,83004,83048,55888,116846,0.802146861605
2020-04-08,8,48,,,,,,,3114,2424,4431,58033,40614,82319,86162,58312,121277,0.786417332811
2020-04-09,0,48,,,,,,,2957,2351,4184,57284,40599,80919,89119,60663,125460,0.774661342025
2020-04-10,0,48,,,,,,,2807,2222,3929,56153,40260,78915,91926,62885,129389,0.765975166049
2020-04-11,31,79,,,,,,,2662,2064,3743,54706,39626,76556,94588,64950,133132,0.759601322554
2020-04-12,7,86,,,,,,,2525,1934,3547,53011,38749,74044,97113,66885,136678,0.754948957906
2020-04-13,0,86,,,,,,,2395,1867,3294,51135,37726,71398,99508,68752,139971,0.751578262336
2020-04-14,0,86,,,,,,,2272,1802,3123,49136,36653,68791,101780,70555,143093,0.749170788974
2020-04-15,59,145,,,,,,,2155,1707,2955,47063,35518,66162,103935,72262,146048,0.747499360447
2020-04-16,0,145,,,,,,,2046,1573,2771,44959,34137,63244,105981,73835,148818,0.746402873442
2020-04-17,19,164,,,,,,,1943,1450,2559,42862,32687,60114,107924,75286,151377,0.745766826706
2020-04-18,24,188,,,,,,,1846,1337,2435,40799,31204,57029,109770,76623,153811,0.745508761758
2020-04-19,48,236,,,,,,,1755,1235,2324,38793,29703,53980,111524,77859,156135,0.745567512627
2020-04-20,0,236,,,,,,,1669,1141,2219,36860,28189,51017,113193,79001,158354,0.745895336593
2020-04-21,49,285,,,,,,,1589,1056,2133,35009,26668,48245,114782,80057,160486,0.746452261846
2020-04-22,0,285,,,,,,,1513,978,2064,33247,25147,45705,116295,81035,162550,0.747202205831
2020-04-23,0,285,,,,,,,1442,906,1999,31576,23630,43272,117737,81942,164548,0.748110555248
2020-04-24,0,285,,,,,,,1376,841,1936,29994,22121,41024,119113,82784,166484,0.749142958542
2020-04-25,106,391,,,,,,,1313,782,1876,28500,20680,38970,120426,83566,168359,0.750265085699
2020-04-26,0,391,,,,,,,1254,727,1801,27091,19343,37028,121679,84294,170159,0.75144308928
2020-04-27,57,448,,,,,,,1198,677,1724,25765,18086,35205,122878,84971,171882,0.752644486394
2020-04-28,21,469,,,,,,,1146,631,1651,24516,16851,33563,124023,85603,173533,0.753839195019
2020-04-29,35,504,,,,,,,1096,589,1581,23340,15637,32021,125120,86193,175114,0.75500050457
2020-04-30,20,524,,,,,,,1049,550,1515,22234,14480,30581,126169,86743,176629,0.756105829536
2020-05-01,26,550,,,,,,,1005,514,1452,21193,13422,29262,127174,87258,178080,0.75713716902
2020-05-02,19,569,,,,,,,963,481,1405,20214,12454,28108,128138,87740,179485,0.758081258186
2020-05-03,19,588,,,,,,,923,451,1362,19291,11567,27036,129061,88191,180846,0.75892944133
2020-05-04,8,596,,,,,,,885,422,1321,18422,10755,26032,129946,88614,182167,0.759677319827
2020-05-05,13,609,,,,,,,849,396,1281,17602,10010,25094,130795,89011,183447,0.760324236308
2020-05-06,33,642,,,,,,,815,372,1242,16828,9326,24203,131610,89383,184689,0.760872655446
2020-05-07,21,663,,,,,,,782,346,1204,16097,8694,23343,132392,89729,185892,0.761327496631
2020-05-08,20,683,,,,,,,751,322,1170,15406,8109,22514,133144,90051,187062,0.762307365826
2020-05-09,20,703,,,,,,,722,299,1134,14753,7567,21712,133865,90351,188195,0.762978831072
2020-05-10,15,718,,,,,,,693,279,1103,14133,7064,20939,134559,90630,189297,0.763447377774
2020-05-11,13,731,,,,,,,666,261,1074,13545,6597,20212,135225,90891,190370,0.7637163942
2020-05-12,1,732,,,,,,,640,243,1045,12987,6163,19533,135864,91135,191415,0.763867044363
2020-05-13,17,749,,,,,,,615,226,1017,12455,5758,18898,136479,91361,192431,0.763925191447
2020-05-14,10,759,,,,,,,590,211,990,11950,5380,18307,137069,91573,193420,0.763702124818
2020-05-15,9,768,,,,,,,567,199,963,11467,5028,17755,137636,91772,194383,0.763487807017
2020-05-16,10,778,,,,,,,545,188,937,11007,4702,17240,138181,91960,195320,0.763282058753
2020-05-17,9,787,,,,,,,523,177,912,10567,4398,16747,138704,92138,196231,0.763084687573
2020-05-18,6,793,,,,,,,502,167,886,10146,4114,16271,139206,92306,197117,0.762895562733
2020-05-19,4,797,,,,,,,482,158,862,9743,3850,15812,139689,92464,197978,0.762714627934
2020-05-20,10,807,,,,,,,463,149,837,9356,3602,15368,140152,92613,198815,0.762541915348
2020-05-21,6,813,,,,,,,444,140,814,8986,3371,14940,140596,92754,199628,0.762377576565
2020-05-22,5,818,,,,,,,426,132,790,8630,3157,14526,141022,92887,200418,0.762221908279
2020-05-23,9,827,,,,,,,409,125,767,8288,2960,14124,141432,93012,201185,0.762075401593
2020-05-24,11,838,,,,,,,392,117,745,7958,2778,13735,141824,93130,201929,0.761938807635
2020-05-25,1,839,,,,,,,376,110,723,7641,2609,13354,142200,93240,202651,0.761813223416
2020-05-26,5,844,,,,,,,360,103,701,7336,2452,12981,142560,93344,203351,0.761700210268
2020-05-27,6,850,,,,,,,346,96,679,7041,2305,12616,142906,93441,204030,0.761601949859
2020-05-28,2,852,,,,,,,331,90,659,6758,2169,12258,143237,93531,204689,0.761521444946
2020-05-29,9,861,,,,,,,318,86,640,6486,2044,11908,143555,93617,205328,0.761462729811
2020-05-30,7,868,,,,,,,306,81,621,6225,1926,11565,143861,93699,205948,0.761431351304
2020-05-31,3,871,,,,,,,294,77,602,5974,1815,11230,144155,93776,206550,0.761434734777
2020-06-01,25,896,,,,,,,282,72,585,5733,1710,10903,144437,93849,207134,0.761483207114
2020-06-02,6,902,,,,,,,271,69,567,5501,1612,10584,144708,93918,207701,0.761590684113
2020-06-03,6,908,,,,,,,261,65,551,5280,1519,10273,144969,93984,208251,0.761775875248
2020-06-04,5,913,,,,,,,251,62,535,5068,1432,9971,145220,94046,208786,0.762063875589
2020-06-05,9,922,,,,,,,242,59,520,4865,1351,9677,145461,94106,209305,0.762488240815
2020-06-06,1,923,,,,,,,233,57,505,4672,1276,9393,145694,94164,209810,0.763093664176
2020-06-07,1,924,,,,,,,224,55,491,4487,1206,9116,145918,94219,210301,0.763939307133
2020-06-08,7,931,,,,,,,217,52,477,4311,1141,8849,146135,94272,210777,0.76510286736
2020-06-09,4,935,,,,,,,209,50,464,4144,1082,8590,146344,94322,211241,0.766685349506
2020-06-10,1,936,,,,,,,202,48,452,3986,1027,8341,146546,94371,211692,0.768816248233
2020-06-11,2,938,,,,,,,196,47,440,3836,977,8102,146742,94418,212131,0.771658471088
2020-06-12,3,941,,,,,,,190,45,429,3695,932,7872,146932,94464,212560,0.775411636267
2020-06-13,2,943,,,,,,,184,44,419,3561,891,7651,147116,94509,212979,0.780311421909
2020-06-14,7,950,,,,,,,180,43,407,3435,853,7438,147296,94552,213386,0.786621459939
