date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-03-01,,,,,,,,,277,150,350,277,150,350,277,150,350,3.79857439997
2020-03-02,,,,,,,,,277,150,350,554,300,700,554,300,700,3.76734236154
2020-03-03,,,,,,,,,277,150,350,830,450,1050,830,450,1050,3.7564193773
2020-03-04,,,,,,,,,277,150,350,1107,600,1400,1107,600,1400,3.7417416099
2020-03-05,,,,,,,,,277,150,350,1384,750,1750,1384,750,1750,3.7220814544
2020-03-06,,,,,,,,,277,150,350,1661,900,2100,1661,900,2100,3.69586570365
2020-03-07,,,,,,,,,277,150,350,1938,1050,2450,1938,1050,2450,3.66112719686
2020-03-08,,,,,,,,,277,150,350,2214,1200,2800,2214,1200,2800,3.61548950162
2020-03-09,,,,,,,,,277,150,350,2491,1350,3150,2491,1350,3150,3.55620140257
2020-03-10,,,,,,,,,1229,657,1764,3720,2007,4914,3720,2007,4914,3.47876748842
2020-03-11,,,,,,,,,1196,654,1727,4916,2661,6641,4916,2661,6641,3.38267842848
2020-03-12,,,,,,,,,1311,734,1940,6227,3396,8580,6227,3396,8580,3.26272562232
2020-03-13,,,,,,,,,1547,891,2347,7774,4287,10927,7774,4287,10927,3.11656390329
2020-03-14,,,,,,,,,2028,1131,3134,9801,5418,14060,9801,5418,14060,2.94228511364
2020-03-15,,,,,,,,,2712,1540,4163,12514,6959,18223,12514,6959,18223,2.74051152366
2020-03-16,,,,,,,,,3121,1668,4615,15358,8477,22487,15635,8627,22837,2.51566032083
2020-03-17,,,,,,,,,3408,1714,5048,18489,10041,27185,19042,10341,27885,2.27650954863
2020-03-18,,,,,,,,,3720,1741,5627,21932,11632,32461,22762,12082,33511,2.03533410934
2020-03-19,,,,,,,,,4034,1803,6166,25689,13286,38277,26796,13886,39677,1.80535981944
2020-03-20,,,,,,,,,4330,1893,6433,29742,15030,44359,31126,15780,46109,1.5982152143
2020-03-21,,,,,,,,,4489,1964,6765,33954,16844,50773,35615,17744,52873,1.4218306343
2020-03-22,,,,,,,,,4544,2004,6900,38221,18698,57323,40159,19748,59773,1.27928064742
2020-03-23,,,,,,,,,4561,2015,6897,42505,20564,63870,44719,21764,66670,1.16907165534
2020-03-24,,,,,,,,,4565,2027,6842,46793,22442,70361,49284,23792,73511,1.08663388124
2020-03-25,1,1,,,,,,,4562,2061,6778,50127,23846,75376,53847,25853,80289,1.02625251299
2020-03-26,0,1,,,,,,,4536,2097,6767,53467,25289,80416,58382,27950,87056,0.982504595078
2020-03-27,1,2,,,,,,,4483,2121,6552,56639,26675,85028,62866,30072,93608,0.95091789664
2020-03-28,3,5,,,,,,,4417,2149,6294,59509,27933,88975,67283,32221,99901,0.928081177021
2020-03-29,3,8,,,,,,,4347,2175,6054,61828,28977,91895,71629,34396,105955,0.911497024291
2020-03-30,0,8,,,,,,,4278,2187,5953,63393,29624,93685,75907,36583,111907,0.899372942239
2020-03-31,2,10,,,,,,,4207,2198,5834,64480,30153,94904,80114,38781,117741,0.890433856706
2020-04-01,0,10,,,,,,,4133,2206,5697,65205,30646,95553,84248,40988,123437,0.883775286221
2020-04-02,3,13,,,,,,,4057,2213,5549,65542,31119,95475,88304,43202,128986,0.878755918377
2020-04-03,1,14,,,,,,,3980,2218,5396,65488,31534,94706,92284,45420,134382,0.874920115849
2020-04-04,10,24,,,,,,,3904,2226,5242,65062,31866,93515,96188,47647,139624,0.871942752315
2020-04-05,4,28,,,,,,,3829,2234,5091,64402,32137,91842,100017,49881,144715,0.869590712664
2020-04-06,17,45,,,,,,,3756,2242,4967,63614,32376,89908,103773,52124,149681,0.867696131751
2020-04-07,20,65,,,,,,,3682,2249,4843,62736,32610,87855,107455,54374,154524,0.866137811115
2020-04-08,22,87,,,,,,,3610,2255,4703,61781,32837,85715,111065,56630,159226,0.864828068365
2020-04-09,0,87,,,,,,,3539,2260,4581,60757,33036,83517,114604,58890,163806,0.863703261775
2020-04-10,23,110,,,,,,,3469,2264,4461,59691,33204,81212,118073,61155,168267,0.862717004912
2020-04-11,27,137,,,,,,,3400,2267,4344,58608,33350,79003,121473,63423,172610,0.861835348764
2020-04-12,39,176,,,,,,,3333,2270,4241,57524,33472,76950,124806,65693,176851,0.861033387269
2020-04-13,14,190,,,,,,,3267,2283,4106,56444,33580,75003,128073,67977,180957,0.860292834475
2020-04-14,16,206,,,,,,,3201,2296,3975,55367,33690,73025,131274,70273,184932,0.859600248323
2020-04-15,16,222,,,,,,,3137,2299,3848,54298,33792,71039,134412,72573,188779,0.858945718803
2020-04-16,42,264,,,,,,,3075,2296,3750,53239,33882,69092,137487,74870,192529,0.8583219088
2020-04-17,34,298,,,,,,,3013,2307,3619,52195,33975,67162,140500,77177,196148,0.857723365533
2020-04-18,44,342,,,,,,,2952,2310,3525,51168,34067,65290,143452,79488,199672,0.857146027787
2020-04-19,23,365,,,,,,,2893,2302,3430,50157,34144,63478,146345,81791,203101,0.856586864966
2020-04-20,5,370,,,,,,,2835,2281,3340,49163,34190,61727,149180,84072,206441,0.856043606949
2020-04-21,24,394,,,,,,,2777,2245,3271,48184,34192,60030,151957,86317,209711,0.855514541851
2020-04-22,0,394,,,,,,,2721,2195,3214,47222,34138,58401,154678,88513,212924,0.85499836773
2020-04-23,49,443,,,,,,,2665,2154,3169,46278,34037,56867,157343,90667,216093,0.854494085955
2020-04-24,6,449,,,,,,,2611,2103,3120,45350,33881,55407,159954,92771,219213,0.854000923947
2020-04-25,0,449,,,,,,,2558,2022,3075,44439,33639,54021,162512,94794,222288,0.853518277687
2020-04-26,23,472,,,,,,,2505,1949,3050,43544,33321,52727,165017,96744,225337,0.853045668193
2020-04-27,12,484,,,,,,,2454,1902,3024,42664,32953,51510,167470,98647,228360,0.852582708932
2020-04-28,32,516,,,,,,,2403,1840,2964,41800,32510,50368,169873,100487,231324,0.85212908207
2020-04-29,25,541,,,,,,,2353,1804,2901,40952,32018,49294,172226,102292,234225,0.851684521378
2020-04-30,0,541,,,,,,,2304,1738,2885,40118,31456,48331,174530,104030,237110,0.851248799726
2020-05-01,97,638,,,,,,,2256,1703,2816,39300,30862,47397,176786,105733,239925,0.850821719647
2020-05-02,0,638,,,,,,,2208,1656,2755,38495,30212,46533,178995,107390,242680,0.850403106175
2020-05-03,0,638,,,,,,,2162,1601,2702,37704,29503,45711,181157,108992,245382,0.849992801507
2020-05-04,88,726,,,,,,,2116,1548,2630,36927,28749,44911,183273,110540,248011,0.849590661138
2020-05-05,17,743,,,,,,,2071,1497,2615,36164,27966,44185,185343,112038,250625,0.849196548116
2020-05-06,60,803,,,,,,,2027,1447,2598,35413,27168,43513,187370,113486,253223,0.848810336276
2020-05-07,13,816,,,,,,,1983,1399,2581,34675,26373,42880,189353,114886,255804,0.848431895978
2020-05-08,59,875,,,,,,,1940,1351,2564,33950,25570,42275,191293,116238,258367,0.848061108031
2020-05-09,16,891,,,,,,,1898,1299,2545,33236,24765,41699,193190,117537,260912,0.847697912615
2020-05-10,3,894,,,,,,,1856,1248,2526,32534,23990,41150,195046,118785,263437,0.847342200022
2020-05-11,-1,893,,,,,,,1815,1199,2506,31844,23240,40606,196861,119985,265943,0.846993884038
