date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-17,,,,,,,,,632,250,750,632,250,750,632,250,750,2.09747207833
2020-02-18,,,,,,,,,632,250,750,1263,500,1500,1263,500,1500,2.09445074404
2020-02-19,,,,,,,,,632,250,750,1895,750,2250,1895,750,2250,2.09377860767
2020-02-20,,,,,,,,,632,250,750,2526,1000,3000,2526,1000,3000,2.09295604463
2020-02-21,,,,,,,,,632,250,750,3158,1250,3750,3158,1250,3750,2.09194892661
2020-02-22,,,,,,,,,632,250,750,3789,1500,4500,3789,1500,4500,2.0907151413
2020-02-23,,,,,,,,,632,250,750,4421,1750,5250,4421,1750,5250,2.08920259739
2020-02-24,,,,,,,,,632,250,750,5053,2000,6000,5053,2000,6000,2.0873466642
2020-02-25,,,,,,,,,632,250,750,5684,2250,6750,5684,2250,6750,2.08506685345
2020-02-26,,,,,,,,,1933,799,2547,7617,3049,9297,7617,3049,9297,2.08174097361
2020-02-27,,,,,,,,,1924,797,2537,9541,3847,11834,9541,3847,11834,2.07822120294
2020-02-28,,,,,,,,,2049,854,2741,11590,4701,14575,11590,4701,14575,2.07375479376
2020-02-29,,,,,,,,,2307,972,3157,13897,5674,17731,13897,5674,17731,2.06827474752
2020-03-01,,,,,,,,,2843,1217,4018,16740,6891,21748,16740,6891,21748,2.06150482983
2020-03-02,,,,,,,,,3678,1601,5366,20418,8493,27114,20418,8493,27114,2.05309231343
2020-03-03,,,,,,,,,4342,1916,6465,24128,10159,32828,24760,10409,33578,2.04256785379
2020-03-04,,,,,,,,,4948,2218,7516,28445,12127,39593,29708,12627,41093,2.02932767489
2020-03-05,,,,,,,,,5696,2603,8841,33509,14481,47683,35403,15231,49933,2.01264854557
2020-03-06,,,,,,,,,6613,3094,10478,39490,17325,57411,42016,18325,60411,1.99159345512
2020-03-07,,,,,,,,,7749,3726,12463,46607,20801,69123,49765,22051,72873,1.96499054331
2020-03-08,,,,,,,,,8921,4427,14434,54897,24979,82807,58686,26479,87307,1.93148896279
2020-03-09,,,,,,,,,10091,5202,16271,64356,29931,98327,68777,31681,103577,1.88968901948
2020-03-10,,,,,,,,,11293,6098,17956,75017,35779,115533,80070,37779,121533,1.83842247806
2020-03-11,,,,,,,,,12527,7032,19409,86912,42561,134191,92597,44811,140941,1.77710187126
2020-03-12,1,1,,,,,,,13757,7966,20514,98736,49728,152158,106353,52777,161455,1.70607520937
2020-03-13,0,1,,,,,,,14884,8835,21141,111696,57766,170762,121237,61613,182595,1.62681848056
2020-03-14,0,1,,,,,,,15839,9664,21978,125486,66575,189999,137076,71277,204573,1.54183035519
2020-03-15,0,1,,,,,,,16608,10492,22391,139787,76095,209233,153684,81770,226963,1.45424842967
2020-03-16,0,1,,,,,,,17193,11312,22410,154137,86190,227625,170877,93082,249373,1.36733056402
2020-03-17,0,1,,,,,,,17602,11926,22146,168060,96515,244405,188478,105009,271519,1.28399586045
2020-03-18,1,2,,,,,,,17832,12416,22668,181550,107016,260609,206310,117425,294186,1.20654263571
2020-03-19,0,2,,,,,,,17890,12426,23414,194493,117223,276507,224201,129851,317600,1.13654354205
2020-03-20,1,3,,,,,,,17800,12565,23751,206597,127186,291418,242000,142417,341350,1.07486232268
2020-03-21,3,6,,,,,,,17588,12813,23692,217572,136904,304631,259588,155230,365042,1.02174176139
2020-03-22,6,12,,,,,,,17284,12679,23503,227107,145858,315671,276872,167910,388544,0.976931294238
2020-03-23,6,18,,,,,,,16908,12449,22883,235094,153880,324120,293780,180359,411426,0.939824729647
2020-03-24,13,31,,,,,,,16479,12157,21614,241482,160836,329464,310259,192517,433040,0.909585041186
2020-03-25,20,51,,,,,,,16012,11815,20532,246201,166553,332039,326271,204332,453572,0.885252560209
2020-03-26,20,71,,,,,,,15521,11479,20134,249196,171001,332764,341793,215812,473705,0.865841665776
2020-03-27,36,107,,,,,,,15017,11151,19693,250456,174186,331944,356810,226964,493398,0.850422447441
2020-03-28,23,130,,,,,,,14508,10832,18795,250081,176184,329598,371318,237797,512192,0.838176511819
2020-03-29,27,157,,,,,,,14000,10521,18157,248242,177041,325776,385318,248318,530348,0.828421722396
2020-03-30,56,213,,,,,,,13496,10214,17699,245131,176762,321084,398815,258533,548047,0.820611225715
2020-03-31,79,292,,,,,,,13001,9923,16982,240938,175374,315656,411815,268457,565029,0.814317391429
2020-04-01,78,370,,,,,,,12516,9598,16513,235853,173046,310023,424331,278055,581541,0.809210254099
2020-04-02,83,453,,,,,,,12044,9241,15800,230065,169870,303155,436375,287296,597341,0.805036421458
2020-04-03,65,518,,,,,,,11585,8898,15087,223759,166343,294828,447960,296195,612427,0.80160110647
2020-04-04,67,585,,,,,,,11141,8569,14384,217101,162347,285461,459101,304765,626811,0.798753895708
2020-04-05,90,675,,,,,,,10712,8253,13823,210225,157788,275592,469814,313018,640633,0.796377905704
2020-04-06,118,793,,,,,,,10299,7919,13350,203240,153028,265439,480112,320938,653982,0.79438167208
2020-04-07,124,917,,,,,,,9901,7541,12794,196233,148120,255349,490013,328480,666775,0.792693121599
2020-04-08,120,1037,,,,,,,9517,7162,12249,189271,143125,245984,499530,335642,679024,0.791255088913
2020-04-09,127,1164,,,,,,,9149,6813,11796,182408,138123,237248,508679,342456,690820,0.79002196525
2020-04-10,207,1371,,,,,,,8795,6488,11296,175682,133131,228410,517475,348944,702115,0.788957173416
2020-04-11,116,1487,,,,,,,8456,6257,10789,169120,128237,219506,525930,355202,712903,0.788031246885
2020-04-12,105,1592,,,,,,,8130,5906,10459,162742,123311,211170,534060,361108,723362,0.787220353714
2020-04-13,132,1724,,,,,,,7817,5598,10139,156558,118387,203152,541877,366706,733500,0.786505151789
2020-04-14,175,1899,,,,,,,7517,5333,9788,150579,113506,195241,549393,372040,743287,0.785869894003
2020-04-15,157,2056,,,,,,,7229,5082,9526,144807,108666,187785,556622,377123,752813,0.785301723972
2020-04-16,80,2136,,,,,,,6953,4844,9233,139244,103912,180505,563575,381967,762046,0.784790118197
2020-04-17,239,2375,,,,,,,6688,4601,8921,133888,99272,173626,570263,386568,770966,0.784326441621
2020-04-18,85,2460,,,,,,,6434,4407,8620,128737,94780,167158,576697,390976,779585,0.783903591743
2020-04-19,91,2551,,,,,,,6190,4204,8372,123785,90415,161146,582886,395180,787956,0.783515712533
2020-04-20,86,2637,,,,,,,5956,4009,8116,119029,86171,155440,588842,399189,796072,0.783157963769
2020-04-21,109,2746,,,,,,,5731,3806,7878,114461,82058,149968,594574,402996,803949,0.782826334567
2020-04-22,241,2987,,,,,,,5516,3625,7667,110077,78141,144841,600090,406621,811616,0.782517492287
2020-04-23,170,3157,,,,,,,5309,3469,7488,105868,74448,140080,605398,410091,819103,0.782228659811
2020-04-24,110,3267,,,,,,,5110,3307,7286,101829,70942,135570,610508,413398,826389,0.781957515688
2020-04-25,72,3339,,,,,,,4919,3155,7121,97952,67610,131395,615427,416554,833510,0.781679452759
2020-04-26,166,3505,,,,,,,4735,3016,6982,94232,64368,127588,620162,419571,840491,0.781421891013
2020-04-27,93,3598,,,,,,,4558,2896,6844,90661,61359,123973,624720,422467,847334,0.78118270614
2020-04-28,168,3766,,,,,,,4389,2717,6698,87232,58478,120532,629109,425185,854032,0.780964753119
2020-04-29,103,3869,,,,,,,4225,2547,6485,83941,55692,117229,633334,427733,860516,0.780757978808
2020-04-30,122,3991,,,,,,,4068,2391,6277,80780,53001,113981,637402,430124,866793,0.780564947712
2020-05-01,78,4069,,,,,,,3917,2245,6076,77744,50402,110823,641318,432370,872869,0.780388795285
2020-05-02,155,4224,,,,,,,3771,2117,5880,74826,47918,107783,645089,434487,878748,0.780219754996
2020-05-03,34,4258,,,,,,,3630,1999,5690,72023,45510,104853,648719,436486,884438,0.780057761755
2020-05-04,87,4345,,,,,,,3495,1880,5505,69328,43187,101986,652214,438367,889942,0.779902815017
2020-05-05,46,4391,,,,,,,3364,1769,5325,66736,40947,99195,655578,440137,895267,0.779754992361
2020-05-06,74,4465,,,,,,,3238,1665,5150,64243,38806,96468,658817,441803,900416,0.779614470056
2020-05-07,91,4556,,,,,,,3117,1591,4980,61844,36773,93781,661933,443395,905396,0.779481549823
2020-05-08,58,4614,,,,,,,2999,1489,4815,59534,34792,91108,664932,444884,910211,0.779356693893
2020-05-09,143,4757,,,,,,,2886,1393,4654,57310,32878,88476,667818,446277,914864,0.779240571573
2020-05-10,26,4783,,,,,,,2776,1303,4497,55167,31025,85852,670594,447580,919361,0.779134120211
2020-05-11,29,4812,,,,,,,2670,1219,4345,53102,29229,83215,673264,448800,923705,0.779038625562
2020-05-12,92,4904,,,,,,,2568,1140,4197,51112,27473,80567,675832,449941,927901,0.778955827662
2020-05-13,41,4945,,,,,,,2468,1067,4052,49191,25823,77922,678300,451008,931953,0.778888060226
2020-05-14,74,5019,,,,,,,2372,998,3949,47338,24273,75386,680672,452006,935901,0.77883843445
2020-05-15,39,5058,,,,,,,2279,941,3855,45549,22823,72964,682951,452948,939756,0.778811081247
