date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-16,,,,,,,,,24,10,40,24,10,40,24,10,40,1.22057613169
2020-02-17,,,,,,,,,24,10,40,49,20,80,49,20,80,1.22047478867
2020-02-18,,,,,,,,,24,10,40,73,30,120,73,30,120,1.22045199027
2020-02-19,,,,,,,,,24,10,40,97,40,160,97,40,160,1.22042402232
2020-02-20,,,,,,,,,24,10,40,122,50,200,122,50,200,1.22038969973
2020-02-21,,,,,,,,,24,10,40,146,60,240,146,60,240,1.22034756189
2020-02-22,,,,,,,,,24,10,40,170,70,280,170,70,280,1.22029580758
2020-02-23,,,,,,,,,24,10,40,195,80,320,195,80,320,1.22023221427
2020-02-24,,,,,,,,,24,10,40,219,90,360,219,90,360,1.22015403817
2020-02-25,,,,,,,,,52,23,88,271,113,448,271,113,448,1.21993332962
2020-02-26,,,,,,,,,52,23,88,323,137,536,323,137,536,1.21979946003
2020-02-27,,,,,,,,,53,24,90,376,162,626,376,162,626,1.21962021897
2020-02-28,,,,,,,,,56,26,96,431,189,721,431,189,721,1.21940742333
2020-02-29,,,,,,,,,62,30,107,493,219,827,493,219,827,1.21915209037
2020-03-01,,,,,,,,,72,36,124,565,255,951,565,255,951,1.21884338033
2020-03-02,,,,,,,,,79,40,137,619,286,1047,644,296,1087,1.21846702375
2020-03-03,,,,,,,,,84,44,146,679,321,1152,728,341,1232,1.21800581208
2020-03-04,,,,,,,,,90,48,156,744,359,1268,817,389,1388,1.21744304581
2020-03-05,,,,,,,,,96,52,167,816,402,1395,913,442,1555,1.21675723198
2020-03-06,,,,,,,,,103,58,181,895,451,1536,1016,501,1736,1.21592034732
2020-03-07,,,,,,,,,111,64,195,981,505,1690,1128,565,1930,1.21489807526
2020-03-08,,,,,,,,,119,70,208,1076,565,1857,1246,635,2137,1.21364814459
2020-03-09,,,,,,,,,126,75,220,1177,631,2036,1372,711,2356,1.21212073729
