date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-18,,,,,,,,,50,40,60,50,40,60,50,40,60,1.80036937823
2020-02-19,,,,,,,,,50,40,60,101,80,120,101,80,120,1.80032607158
2020-02-20,,,,,,,,,50,40,60,151,120,180,151,120,180,1.80031089294
2020-02-21,,,,,,,,,50,40,60,201,160,240,201,160,240,1.80029038672
2020-02-22,,,,,,,,,50,40,60,252,200,300,252,200,300,1.80026267835
2020-02-23,,,,,,,,,50,40,60,302,240,360,302,240,360,1.80022523087
2020-02-24,,,,,,,,,50,40,60,352,280,420,352,280,420,1.80017460934
2020-02-25,,,,,,,,,50,40,60,403,320,480,403,320,480,1.80010616042
2020-02-26,,,,,,,,,50,40,60,453,360,540,453,360,540,1.80001357642
2020-02-27,,,,,,,,,140,103,180,593,463,720,593,463,720,1.79987643092
2020-02-28,,,,,,,,,139,103,180,732,567,900,732,567,900,1.7997053679
2020-02-29,,,,,,,,,147,108,191,879,675,1091,879,675,1091,1.79947153309
2020-03-01,,,,,,,,,163,117,214,1042,793,1304,1042,793,1304,1.79915617956
2020-03-02,,,,,,,,,195,138,263,1237,932,1567,1237,932,1567,1.7987298669
2020-03-03,,,,,,,,,246,169,338,1483,1102,1905,1483,1102,1905,1.79815259184
2020-03-04,,,,,,,,,286,194,399,1719,1256,2244,1769,1296,2304,1.79736965837
2020-03-05,,,,,,,,,322,215,456,1991,1431,2639,2091,1511,2759,1.79630663597
2020-03-06,,,,,,,,,366,236,526,2306,1628,3105,2457,1748,3285,1.7948631035
2020-03-07,,,,,,,,,419,260,614,2675,1848,3658,2876,2008,3898,1.79290185895
2020-03-08,,,,,,,,,487,288,726,3111,2097,4324,3363,2297,4624,1.79023566819
2020-03-09,,,,,,,,,559,318,850,3620,2376,5114,3922,2616,5474,1.78661017413
2020-03-10,,,,,,,,,636,348,984,4206,2684,6037,4559,2964,6457,1.78168118391
2020-03-11,,,,,,,,,721,378,1138,4877,3022,7114,5280,3342,7594,1.77498676332
2020-03-12,,,,,,,,,817,410,1317,5644,3393,8371,6097,3753,8911,1.76591452204
2020-03-13,1,1,,,,,,,926,446,1529,6430,3735,9720,7023,4199,10440,1.75367179564
2020-03-14,0,1,,,,,,,1045,483,1771,7336,4115,11311,8068,4682,12210,1.73727800374
2020-03-15,0,1,,,,,,,1171,552,2044,8359,4559,13164,9239,5235,14254,1.71561879224
2020-03-16,0,1,,,,,,,1301,585,2353,9498,5027,15302,10540,5821,16606,1.6876178949
2020-03-17,1,2,,,,,,,1436,618,2652,10738,5508,17692,11976,6440,19258,1.65254977574
2020-03-18,0,2,,,,,,,1570,651,2956,12063,5989,20310,13546,7091,22214,1.61039229268
2020-03-19,0,2,,,,,,,1702,709,3273,13478,6504,23184,15248,7800,25487,1.56199261097
2020-03-20,1,3,,,,,,,1825,722,3559,14981,7011,26287,17073,8522,29046,1.50890740175
2020-03-21,0,3,,,,,,,1938,733,3803,16554,7508,29564,19011,9256,32848,1.45303799939
2020-03-22,0,3,,,,,,,2040,744,3954,18175,7992,32904,21051,10001,36801,1.3962815422
2020-03-23,0,3,,,,,,,2129,788,4056,19817,8492,36233,23180,10790,40857,1.34031286267
2020-03-24,0,3,,,,,,,2204,818,4126,21462,8992,39510,25385,11608,44983,1.28649833914
2020-03-25,2,5,,,,,,,2265,837,4366,23091,9482,42892,27650,12446,49348,1.23590650831
2020-03-26,0,5,,,,,,,2312,862,4548,24682,9966,46302,29962,13309,53895,1.18937947089
2020-03-27,0,5,,,,,,,2346,880,4549,26211,10436,49533,32308,14189,58444,1.14761739841
2020-03-28,4,9,,,,,,,2369,895,4563,27654,10885,52567,34677,15085,63006,1.11120824588
2020-03-29,1,10,,,,,,,2383,912,4523,28992,11315,55319,37060,15998,67529,1.08054497898
2020-03-30,3,13,,,,,,,2391,925,4512,30212,11688,57787,39451,16924,72040,1.05566632092
2020-03-31,4,17,,,,,,,2394,940,4421,31304,12043,59855,41845,17864,76460,1.03617041907
2020-04-01,3,20,,,,,,,2394,956,4342,32263,12381,61545,44238,18821,80802,1.0213084279
2020-04-02,2,22,,,,,,,2391,972,4343,33084,12702,62931,46630,19794,85144,1.01019030834
2020-04-03,5,27,,,,,,,2387,987,4307,33769,12981,63965,49017,20781,89451,1.00196549361
2020-04-04,5,32,,,,,,,2382,1002,4209,34326,13261,64615,51399,21784,93660,0.99591577991
2020-04-05,5,37,,,,,,,2376,1018,4167,34763,13545,64979,53774,22802,97826,0.991475934567
2020-04-06,1,38,,,,,,,2370,1031,4193,35093,13832,65218,56144,23833,102019,0.988217984617
2020-04-07,7,45,,,,,,,2363,1046,4173,35327,14089,65335,58507,24880,106191,0.985824433804
2020-04-08,7,52,,,,,,,2356,1055,4133,35478,14327,65342,60863,25935,110324,0.98390305473
2020-04-09,5,57,,,,,,,2350,1068,4103,35563,14558,65078,63213,27004,114426,0.982538816566
2020-04-10,12,69,,,,,,,2343,1081,4110,35594,14776,64641,65556,28086,118535,0.981545794259
2020-04-11,4,73,,,,,,,2337,1094,4058,35585,14990,64150,67893,29180,122593,0.980867755371
2020-04-12,10,83,,,,,,,2331,1107,3993,35547,15202,63580,70224,30287,126585,0.980474319695
2020-04-13,10,93,,,,,,,2326,1100,3963,35490,15390,63020,72550,31388,130548,0.98030373987
2020-04-14,5,98,,,,,,,2322,1108,3944,35422,15572,62452,74873,32497,134491,0.980683411111
2020-04-15,10,108,,,,,,,2319,1116,3894,35347,15748,61925,77192,33613,138385,0.981206382607
2020-04-16,8,116,,,,,,,2317,1110,3874,35270,15902,61457,79509,34724,142258,0.981920490319
