date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-27,,,,,,,,,29,10,40,29,10,40,29,10,40,1.57209876543
2020-02-28,,,,,,,,,29,10,40,58,20,80,58,20,80,1.57092483028
2020-02-29,,,,,,,,,29,10,40,87,30,120,87,30,120,1.57066488754
2020-03-01,,,,,,,,,29,10,40,116,40,160,116,40,160,1.57034737
2020-03-02,,,,,,,,,29,10,40,145,50,200,145,50,200,1.56995951297
2020-03-03,,,,,,,,,29,10,40,174,60,240,174,60,240,1.56948571205
2020-03-04,,,,,,,,,29,10,40,203,70,280,203,70,280,1.56890688396
2020-03-05,,,,,,,,,29,10,40,232,80,320,232,80,320,1.56819967784
2020-03-06,,,,,,,,,29,10,40,261,90,360,261,90,360,1.56733549818
2020-03-07,,,,,,,,,73,27,112,334,117,472,334,117,472,1.566224842
2020-03-08,,,,,,,,,72,27,112,406,145,584,406,145,584,1.5649267994
2020-03-09,,,,,,,,,75,29,118,482,174,701,482,174,701,1.56333028336
2020-03-10,,,,,,,,,82,32,130,563,207,831,563,207,831,1.56138052009
2020-03-11,,,,,,,,,95,38,156,658,245,987,658,245,987,1.55899580825
2020-03-12,,,,,,,,,115,48,196,773,294,1182,773,294,1182,1.55607481235
2020-03-13,,,,,,,,,131,56,227,875,340,1369,904,350,1409,1.55249039479
2020-03-14,,,,,,,,,144,62,254,989,393,1582,1047,413,1662,1.54808367652
2020-03-15,,,,,,,,,158,70,286,1119,453,1828,1206,483,1948,1.54265892219
2020-03-16,,,,,,,,,176,80,324,1265,524,2112,1382,564,2272,1.53597109338
2020-03-17,,,,,,,,,197,92,371,1433,606,2442,1579,656,2642,1.52771764564
2020-03-18,,,,,,,,,219,104,417,1623,701,2818,1798,761,3058,1.51753793005
2020-03-19,,,,,,,,,240,117,460,1835,808,3238,2038,878,3518,1.50502570298
2020-03-20,,,,,,,,,262,131,501,2068,930,3699,2300,1010,4019,1.48976819659
2020-03-21,,,,,,,,,285,144,539,2324,1064,4197,2585,1154,4557,1.47141493143
2020-03-22,1,1,,,,,,,309,154,576,2560,1191,4661,2894,1309,5132,1.44976934089
2020-03-23,0,1,,,,,,,333,167,604,2821,1330,5152,3228,1476,5736,1.42487085821
2020-03-24,0,1,,,,,,,357,176,640,3103,1478,5674,3585,1653,6375,1.39702472503
2020-03-25,0,1,,,,,,,379,186,670,3401,1631,6214,3964,1839,7044,1.36676157236
2020-03-26,0,1,,,,,,,401,195,708,3707,1788,6766,4365,2034,7752,1.33475100798
2020-03-27,0,1,,,,,,,421,213,741,4013,1953,7310,4786,2247,8492,1.30171530527
2020-03-28,0,1,,,,,,,440,232,782,4322,2129,7865,5226,2480,9273,1.26837391101
2020-03-29,1,2,,,,,,,457,251,791,4635,2318,8401,5683,2731,10063,1.23541964699
2020-03-30,2,4,,,,,,,472,260,805,4949,2508,8920,6155,2992,10868,1.20350992851
2020-03-31,1,5,,,,,,,486,265,818,5259,2694,9414,6641,3258,11686,1.17325687886
2020-04-01,0,5,,,,,,,498,270,826,5560,2872,9869,7139,3529,12511,1.14520835458
2020-04-02,2,7,,,,,,,508,283,829,5849,3051,10282,7646,3812,13339,1.11981590573
2020-04-03,0,7,,,,,,,516,291,830,6125,3224,10652,8163,4103,14169,1.09738989577
2020-04-04,1,8,,,,,,,524,297,830,6387,3391,10981,8687,4401,14999,1.07805605257
2020-04-05,0,8,,,,,,,530,304,843,6632,3551,11284,9217,4705,15841,1.06174071319
2020-04-06,5,13,,,,,,,536,310,847,6859,3706,11555,9753,5016,16687,1.04820188785
2020-04-07,0,13,,,,,,,541,316,844,7066,3856,11795,10294,5333,17530,1.03709441172
2020-04-08,0,13,,,,,,,545,322,840,7254,4002,11996,10839,5655,18370,1.02803961458
2020-04-09,0,13,,,,,,,549,328,841,7424,4144,12167,11388,5983,19211,1.02067652054
2020-04-10,4,17,,,,,,,552,333,842,7575,4283,12301,11940,6317,20052,1.01468859427
2020-04-11,1,18,,,,,,,555,339,832,7709,4409,12392,12494,6657,20883,1.00981155877
2020-04-12,0,18,,,,,,,557,345,825,7826,4521,12435,13052,7002,21708,1.00583057271
2020-04-13,-5,13,,,,,,,560,350,821,7929,4620,12465,13612,7352,22528,1.00257311679
