date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-14,,,,,,,,,164,50,250,164,50,250,164,50,250,1.98450541992
2020-02-15,,,,,,,,,164,50,250,328,100,500,328,100,500,1.98338821379
2020-02-16,,,,,,,,,164,50,250,492,150,750,492,150,750,1.98320471487
2020-02-17,,,,,,,,,164,50,250,656,200,1000,656,200,1000,1.98299078697
2020-02-18,,,,,,,,,164,50,250,820,250,1250,820,250,1250,1.9827413091
2020-02-19,,,,,,,,,164,50,250,984,300,1500,984,300,1500,1.98245027975
2020-02-20,,,,,,,,,164,50,250,1147,350,1750,1147,350,1750,1.98211066093
2020-02-21,,,,,,,,,164,50,250,1311,400,2000,1311,400,2000,1.98171419385
2020-02-22,,,,,,,,,164,50,250,1475,450,2250,1475,450,2250,1.98125118047
2020-02-23,,,,,,,,,476,149,749,1951,599,2999,1951,599,2999,1.98066334752
2020-02-24,,,,,,,,,474,149,745,2425,749,3743,2425,749,3743,1.98002520624
2020-02-25,,,,,,,,,502,158,792,2926,908,4535,2926,908,4535,1.9792687259
2020-02-26,,,,,,,,,559,178,887,3485,1086,5422,3485,1086,5422,1.9783866485
2020-02-27,,,,,,,,,679,218,1086,4164,1305,6507,4164,1305,6507,1.97735600772
2020-02-28,,,,,,,,,866,281,1396,5030,1586,7902,5030,1586,7902,1.97614992462
2020-02-29,,,,,,,,,1015,332,1644,5882,1869,9295,6046,1919,9545,1.97473569655
2020-03-01,,,,,,,,,1151,379,1871,6869,2198,10916,7197,2298,11416,1.97307493133
2020-03-02,,,,,,,,,1318,437,2153,8023,2586,12818,8515,2736,13568,1.97112652824
2020-03-03,,,,,,,,,1526,511,2503,9385,3047,15071,10041,3247,16071,1.96884076616
2020-03-04,,,,,,,,,1789,604,2949,11010,3602,17769,11830,3852,19019,1.96615714578
2020-03-05,,,,,,,,,2076,707,3433,12923,4260,20951,13906,4560,22451,1.96300403827
2020-03-06,,,,,,,,,2384,819,3951,15143,5029,24652,16290,5379,26402,1.95929645363
2020-03-07,,,,,,,,,2731,947,4536,17710,5927,28938,19021,6327,30938,1.95493560237
2020-03-08,,,,,,,,,3133,1097,5212,20679,6975,33900,22155,7425,36150,1.94980514918
2020-03-09,1,1,,,,,,,3602,1275,5997,23806,8100,39148,25756,8700,42146,1.94376759523
2020-03-10,0,1,,,,,,,4132,1478,6880,27464,9429,45282,29888,10179,49025,1.93666125544
2020-03-11,0,1,,,,,,,4724,1710,7859,31686,10981,52349,34612,11889,56884,1.92829721267
2020-03-12,0,1,,,,,,,5387,1975,8948,36513,12778,60409,39999,13865,65831,1.91845683223
2020-03-13,0,1,,,,,,,6133,2281,10163,41968,14842,69487,46132,16147,75993,1.90688925806
2020-03-14,0,1,,,,,,,6973,2635,11519,48075,17196,79610,53105,18782,87512,1.89331009605
2020-03-15,0,1,,,,,,,7910,3042,13149,54969,19906,91116,61015,21825,100661,1.87740300001
2020-03-16,3,4,,,,,,,8942,3508,15228,62761,23035,104472,69957,25333,115888,1.85882553678
2020-03-17,1,5,,,,,,,10072,4041,17548,71515,26638,119867,80029,29375,133435,1.83722121495
2020-03-18,3,8,,,,,,,11300,4651,19551,81289,30779,136915,91330,34026,152986,1.81223928338
2020-03-19,1,9,,,,,,,12622,5348,21706,92121,35522,155673,103951,39375,174691,1.78356371658
2020-03-20,3,12,,,,,,,14024,6142,23863,104069,40957,176103,117975,45517,198554,1.75095148639
2020-03-21,7,19,,,,,,,15489,7042,25973,117174,47179,198125,133465,52559,224527,1.71427740892
2020-03-22,2,21,,,,,,,16993,8057,28169,131436,54289,221758,150457,60616,252696,1.67357939154
2020-03-23,4,25,,,,,,,18507,9196,29914,146809,62388,246460,168964,69813,282609,1.62909471919
2020-03-24,1,26,,,,,,,20000,10466,31402,163207,71580,271865,188963,80280,314011,1.58127695384
2020-03-25,4,30,,,,,,,21439,11868,32592,180514,81970,297578,210402,92149,346603,1.53078542117
2020-03-26,8,38,,,,,,,22790,13345,34180,198580,93605,323899,233192,105495,380782,1.47844518896
2020-03-27,16,54,,,,,,,24025,14955,35428,217219,106584,350380,257217,120450,416210,1.42518327571
2020-03-28,7,61,,,,,,,25119,16034,36937,236204,120337,377153,282336,136485,453146,1.37195341133
2020-03-29,3,64,,,,,,,26054,16970,38612,255285,134672,404246,308390,153455,491758,1.31966411704
2020-03-30,16,80,,,,,,,26820,17956,39468,274195,149586,430565,335210,171412,531225,1.26912220479
2020-03-31,21,101,,,,,,,27411,18711,40291,292664,164789,455628,362621,190123,571515,1.22099756005
2020-04-01,8,109,,,,,,,27828,18954,40887,310420,179702,478967,390449,209078,612402,1.17580836522
2020-04-02,30,139,,,,,,,28078,19142,41038,327197,194193,500454,418527,228220,653440,1.13392151497
2020-04-03,40,179,,,,,,,28169,19187,41478,342744,208032,520226,446695,247408,694917,1.0955619571
2020-04-04,39,218,,,,,,,28115,19572,40789,356835,221463,537152,474811,266980,735706,1.0608263103
2020-04-05,41,259,,,,,,,27932,19938,40566,369278,234359,551744,502742,286919,776271,1.02969861529
2020-04-06,80,339,,,,,,,27635,20230,40570,379920,246533,564146,530377,307150,816841,1.00206788435
2020-04-07,36,375,,,,,,,27242,20135,39734,388655,257471,573966,557619,327285,856574,0.97774754791
2020-04-08,32,407,,,,,,,26768,19751,39461,395423,266756,582025,584387,347036,896035,0.956496275573
2020-04-09,96,503,,,,,,,26228,19360,38821,400213,274248,588254,610615,366397,934856,0.938038796853
2020-04-10,54,557,,,,,,,25637,18967,37660,403059,279869,591734,636252,385364,972516,0.922084957256
2020-04-11,97,654,,,,,,,25006,18572,36178,404041,283487,592484,661258,403937,1008693,0.908345518309
2020-04-12,60,714,,,,,,,24347,18180,34851,403269,285632,590399,685605,422117,1043544,0.896543915739
2020-04-13,67,781,,,,,,,23667,17785,33426,400882,286447,585213,709272,439903,1076970,0.886423955716
2020-04-14,120,901,,,,,,,22976,17404,32504,397039,285895,578249,732248,457307,1109474,0.877753988263
2020-04-15,107,1008,,,,,,,22280,17022,31486,391908,284206,569444,754529,474329,1140959,0.870328365472
2020-04-16,251,1259,,,,,,,21584,16646,30391,385664,281898,558949,776113,490976,1171350,0.86396701906
2020-04-17,97,1356,,,,,,,20893,16276,29328,378479,279032,547238,797006,507253,1200677,0.858513875393
2020-04-18,45,1401,,,,,,,20210,15912,28317,370520,275757,534077,817215,523165,1228994,0.853834655197
2020-04-19,164,1565,,,,,,,19538,15374,27387,361943,271558,520675,836753,538539,1256380,0.849814437071
2020-04-20,162,1727,,,,,,,18879,14475,26462,352890,266096,506571,855632,553015,1282841,0.846355225462
2020-04-21,183,1910,,,,,,,18235,13607,25610,343490,259472,491611,873867,566622,1308451,0.843373661663
2020-04-22,168,2078,,,,,,,17608,12899,24836,333856,252237,476713,891475,579522,1333287,0.840798946913
2020-04-23,163,2241,,,,,,,16998,12012,24228,324086,244498,461479,908473,591534,1357514,0.838571002666
2020-04-24,161,2402,,,,,,,16405,11308,23495,314263,236445,446154,924878,602843,1381009,0.836638867069
2020-04-25,169,2571,,,,,,,15831,10735,22767,304457,228213,431261,940709,613578,1403776,0.834959312636
2020-04-26,116,2687,,,,,,,15274,10190,22047,294725,219831,417130,955983,623768,1425823,0.833495663565
2020-04-27,154,2841,,,,,,,14736,9610,21204,285115,211261,403483,970719,633379,1447026,0.832216789077
2020-04-28,142,2983,,,,,,,14216,9059,20303,275663,202535,390359,984935,642438,1467329,0.831096249552
2020-04-29,172,3155,,,,,,,13714,8540,19748,266401,193671,377603,998649,650978,1487076,0.830111573921
2020-04-30,155,3310,,,,,,,13229,8050,19227,257349,184698,365344,1011878,659028,1506303,0.829243649029
2020-05-01,227,3537,,,,,,,12761,7588,18635,248526,175640,353587,1024639,666617,1524937,0.828476204033
2020-05-02,147,3684,,,,,,,12310,7130,18061,239943,166493,342320,1036949,673747,1542997,0.827795375224
2020-05-03,111,3795,,,,,,,11874,6572,17483,231608,157153,331486,1048823,680319,1560479,0.827189338749
2020-05-04,208,4003,,,,,,,11455,6180,17040,223525,147960,321139,1060278,686500,1577519,0.826648000573
2020-05-05,187,4190,,,,,,,11050,5823,16599,215696,139307,311277,1071328,692323,1594118,0.826162734678
2020-05-06,176,4366,,,,,,,10661,5485,16185,208122,131186,301852,1081989,697809,1610303,0.825726161872
2020-05-07,175,4541,,,,,,,10285,5171,15772,200799,123457,292788,1092274,702980,1626074,0.825331962796
2020-05-08,156,4697,,,,,,,9923,4824,15369,193724,116270,283929,1102197,707805,1641443,0.824974719743
2020-05-09,126,4823,,,,,,,9574,4431,14975,186893,109393,275409,1111771,712237,1656418,0.824649782738
2020-05-10,168,4991,,,,,,,9238,4056,14590,180301,102715,267232,1121009,716294,1671007,0.824353156079
2020-05-11,124,5115,,,,,,,8914,3713,14215,173940,96238,259399,1129923,720007,1685222,0.824081402124
2020-05-12,185,5300,,,,,,,8602,3398,13848,167806,90026,252043,1138525,723405,1699069,0.82383155965
2020-05-13,125,5425,,,,,,,8301,3110,13435,161890,84077,245175,1146825,726516,1712503,0.823601074504
2020-05-14,167,5592,,,,,,,8011,2881,12948,156187,78419,238375,1154836,729397,1725450,0.823387740657
2020-05-15,87,5679,,,,,,,7731,2676,12477,150689,73046,231624,1162567,732074,1737926,0.823189650046
2020-05-16,121,5800,,,,,,,7461,2470,12021,145389,67928,225011,1170028,734545,1749947,0.822962979733
2020-05-17,103,5903,,,,,,,7201,2277,11703,140280,63076,218653,1177228,736823,1761650,0.822737609676
2020-05-18,57,5960,,,,,,,6950,2106,11399,135355,58610,212569,1184178,738929,1773048,0.822547616003
