date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-25,,,,,,,,,101,75,125,101,75,125,101,75,125,2.2045517199
2020-02-26,,,,,,,,,101,75,125,201,150,250,201,150,250,2.20407593844
2020-02-27,,,,,,,,,101,75,125,302,225,375,302,225,375,2.20397056763
2020-02-28,,,,,,,,,101,75,125,402,300,500,402,300,500,2.2038418518
2020-02-29,,,,,,,,,101,75,125,503,375,625,503,375,625,2.2036846145
2020-03-01,,,,,,,,,101,75,125,604,450,750,604,450,750,2.20349252925
2020-03-02,,,,,,,,,101,75,125,704,525,875,704,525,875,2.20325786295
2020-03-03,,,,,,,,,101,75,125,805,600,1000,805,600,1000,2.20297116134
2020-03-04,,,,,,,,,101,75,125,906,675,1125,906,675,1125,2.20262086329
2020-03-05,,,,,,,,,320,224,449,1226,899,1574,1226,899,1574,2.20215574771
2020-03-06,,,,,,,,,319,223,447,1545,1123,2020,1545,1123,2020,2.2016280437
2020-03-07,,,,,,,,,342,238,487,1887,1361,2507,1887,1361,2507,2.20097388993
2020-03-08,,,,,,,,,389,266,568,2277,1628,3075,2277,1628,3075,2.20017762398
2020-03-09,,,,,,,,,487,327,737,2764,1955,3811,2764,1955,3811,2.19920629663
2020-03-10,,,,,,,,,641,421,1002,3405,2377,4813,3405,2377,4813,2.19801974259
2020-03-11,,,,,,,,,767,496,1225,4072,2798,5913,4172,2873,6038,2.19656761418
2020-03-12,,,,,,,,,889,566,1450,4860,3289,7237,5061,3439,7487,2.19478826556
2020-03-13,,,,,,,,,1044,652,1747,5803,3867,8859,6105,4092,9234,2.1926101889
2020-03-14,,,,,,,,,1243,760,2133,6945,4552,10866,7348,4852,11366,2.18994355655
2020-03-15,,,,,,,,,1499,897,2633,8344,5375,13373,8847,5750,13998,2.18667502483
2020-03-16,,,,,,,,,1785,1047,3196,10028,6348,16443,10631,6798,17193,2.18266331293
2020-03-17,,,,,,,,,2103,1208,3831,12030,7481,20148,12734,8006,21023,2.17773136983
2020-03-18,,,,,,,,,2475,1390,4588,14404,8797,24611,15209,9397,25611,2.17165831079
2020-03-19,,,,,,,,,2918,1602,5482,17222,10324,29967,18128,10999,31092,2.16416483128
2020-03-20,3,3,,,,,,,3447,1849,6542,20349,11949,36061,21574,12849,37634,2.15489550007
2020-03-21,2,5,,,,,,,4058,2129,7751,24087,13855,43365,25632,14979,45385,2.1433983887
2020-03-22,0,5,,,,,,,4755,2440,9108,28500,16057,51986,30387,17419,54492,2.12910287194
2020-03-23,0,5,,,,,,,5552,2787,10590,33663,18578,62008,35940,20207,65082,2.11130157974
2020-03-24,2,7,,,,,,,6461,3177,12275,39637,21428,73546,42401,23384,77356,2.089147852
2020-03-25,2,9,,,,,,,7487,3612,14194,46483,24619,86738,49888,26996,91550,2.06169134552
2020-03-26,0,9,,,,,,,8621,4092,16177,54336,28215,101690,58508,31089,107727,2.0279803359
2020-03-27,2,11,,,,,,,9848,4616,18302,63296,32266,118542,68357,35706,126029,1.98724679354
