date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-21,,,,,,,,,62,25,75,62,25,75,62,25,75,2.0782963658
2020-02-22,,,,,,,,,62,25,75,124,50,150,124,50,150,2.07228710797
2020-02-23,,,,,,,,,62,25,75,186,75,225,186,75,225,2.07095633827
2020-02-24,,,,,,,,,62,25,75,248,100,300,248,100,300,2.06933050329
2020-02-25,,,,,,,,,62,25,75,310,125,375,310,125,375,2.06734385
2020-02-26,,,,,,,,,62,25,75,372,150,450,372,150,450,2.06491570261
2020-02-27,,,,,,,,,62,25,75,434,175,525,434,175,525,2.06194687429
2020-02-28,,,,,,,,,62,25,75,496,200,600,496,200,600,2.05831508519
2020-02-29,,,,,,,,,62,25,75,558,225,675,558,225,675,2.05386905066
2020-03-01,,,,,,,,,187,79,255,745,304,930,745,304,930,2.04825791582
2020-03-02,,,,,,,,,186,79,254,931,384,1183,931,384,1183,2.04155298909
2020-03-03,,,,,,,,,198,84,274,1129,468,1456,1129,468,1456,2.0332755093
2020-03-04,,,,,,,,,222,96,315,1351,565,1771,1351,565,1771,2.02309746287
2020-03-05,,,,,,,,,271,120,399,1622,685,2169,1622,685,2169,2.01054944307
2020-03-06,,,,,,,,,348,157,531,1970,843,2700,1970,843,2700,1.99504816848
2020-03-07,,,,,,,,,408,187,635,2316,1005,3259,2378,1030,3334,1.97587983882
2020-03-08,,,,,,,,,460,216,732,2715,1196,3915,2838,1246,4065,1.95221243932
2020-03-09,,,,,,,,,523,251,849,3176,1422,4689,3362,1497,4914,1.92315830076
2020-03-10,,,,,,,,,598,294,988,3712,1692,5601,3960,1792,5901,1.88786103254
2020-03-11,,,,,,,,,689,347,1147,4339,2014,6673,4649,2139,7048,1.84565467318
2020-03-12,,,,,,,,,777,401,1289,5054,2390,7887,5426,2540,8337,1.79625036163
2020-03-13,,,,,,,,,860,461,1404,5852,2827,9215,6286,3002,9740,1.73987480834
2020-03-14,,,,,,,,,941,524,1494,6732,3326,10633,7227,3526,11233,1.67732036904
2020-03-15,,,,,,,,,1021,590,1574,7691,3892,12132,8248,4117,12807,1.60988095422
2020-03-16,1,1,,,,,,,1099,632,1753,8603,4445,13630,9348,4749,14560,1.5392156317
2020-03-17,0,1,,,,,,,1170,692,1905,9586,5058,15281,10517,5442,16464,1.46718324528
2020-03-18,0,1,,,,,,,1229,748,2019,10617,5721,17026,11746,6190,18482,1.39568301879
2020-03-19,0,1,,,,,,,1277,763,2126,11672,6388,18838,13023,6953,20608,1.32652565232
2020-03-20,1,2,,,,,,,1315,781,2188,12716,7050,20626,14338,7735,22795,1.26133728245
