date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-27,,,,,,,,,324,250,350,324,250,350,324,250,350,2.32688587527
2020-02-28,,,,,,,,,324,250,350,648,500,700,648,500,700,2.31191047228
2020-02-29,,,,,,,,,324,250,350,972,750,1050,972,750,1050,2.30656420135
2020-03-01,,,,,,,,,324,250,350,1296,1000,1400,1296,1000,1400,2.29930644807
2020-03-02,,,,,,,,,324,250,350,1620,1250,1750,1620,1250,1750,2.28946277605
2020-03-03,,,,,,,,,324,250,350,1944,1500,2100,1944,1500,2100,2.27613524236
2020-03-04,,,,,,,,,324,250,350,2268,1750,2450,2268,1750,2450,2.25814697853
2020-03-05,,,,,,,,,324,250,350,2592,2000,2800,2592,2000,2800,2.23399761494
2020-03-06,,,,,,,,,324,250,350,2916,2250,3150,2916,2250,3150,2.20186404568
2020-03-07,,,,,,,,,1020,691,1295,3935,2941,4445,3935,2941,4445,2.15943944848
2020-03-08,,,,,,,,,998,685,1268,4933,3627,5712,4933,3627,5712,2.10519467784
2020-03-09,,,,,,,,,1044,716,1355,5977,4344,7066,5977,4344,7066,2.03716078956
2020-03-10,,,,,,,,,1146,747,1569,7123,5092,8635,7123,5092,8635,1.95440501943
2020-03-11,,,,,,,,,1363,857,2009,8486,5949,10644,8486,5949,10644,1.85674992713
2020-03-12,,,,,,,,,1673,992,2672,10159,6942,13315,10159,6942,13315,1.74497610941
2020-03-13,,,,,,,,,1840,1029,3030,11675,7722,15994,11999,7972,16344,1.62098665154
2020-03-14,,,,,,,,,1919,1017,3164,13270,8489,18808,13918,8989,19508,1.48800667327
2020-03-15,,,,,,,,,1982,1000,3304,14927,9239,21762,15899,9989,22812,1.35062547699
2020-03-16,,,,,,,,,2024,984,3280,16627,9973,24691,17923,10973,26091,1.21442019299
2020-03-17,,,,,,,,,2051,981,3478,18354,10705,27819,19974,11955,29569,1.08519923475
2020-03-18,,,,,,,,,2017,980,3400,20047,11435,30869,21991,12935,32969,0.968108860266
2020-03-19,,,,,,,,,1933,956,3165,21657,12142,33684,23924,13892,36134,0.866895940286
2020-03-20,,,,,,,,,1826,917,2976,23159,12810,36309,25750,14810,39109,0.783456279582
2020-03-21,,,,,,,,,1714,900,2780,24549,13460,38739,27465,15710,41889,0.717709754384
2020-03-22,1,1,,,,,,,1607,882,2545,25137,13651,39989,29072,16593,44433,0.667897098764
2020-03-23,0,1,,,,,,,1504,861,2255,25644,13827,40976,30577,17455,46688,0.631266342178
2020-03-24,2,3,,,,,,,1405,825,2098,26005,13936,41720,31982,18280,48786,0.60484787501
2020-03-25,3,6,,,,,,,1311,789,1893,26170,13978,42044,33293,19070,50678,0.585992419424
2020-03-26,3,9,,,,,,,1225,766,1747,26033,13887,41781,34519,19837,52424,0.572587455421
2020-03-27,0,9,,,,,,,1148,742,1593,25508,13637,40703,35667,20579,54017,0.563055407053
2020-03-28,2,11,,,,,,,1079,702,1498,24747,13310,39171,36746,21282,55515,0.556259980491
2020-03-29,5,16,,,,,,,1017,668,1415,23845,12961,37422,37763,21950,56929,0.55139728621
2020-03-30,7,23,,,,,,,961,637,1329,22824,12598,35446,38723,22588,58257,0.54790271329
2020-03-31,8,31,,,,,,,910,611,1239,21711,12226,33405,39634,23200,59495,0.545380179102
2020-04-01,8,39,,,,,,,865,576,1178,20525,11820,31105,40498,23776,60673,0.543551234177
2020-04-02,5,44,,,,,,,824,550,1126,19331,11390,28831,41322,24326,61799,0.542219379312
2020-04-03,9,53,,,,,,,787,519,1092,18185,10953,26757,42109,24846,62890,0.54124531277
2020-04-04,6,59,,,,,,,753,489,1056,17112,10525,24837,42862,25335,63946,0.540529810368
2020-04-05,8,67,,,,,,,723,462,1023,16121,10088,23080,43585,25798,64968,0.540001865226
2020-04-06,11,78,,,,,,,695,441,1004,15209,9646,21539,44281,26239,65972,0.539610437555
2020-04-07,10,88,,,,,,,670,420,984,14374,9204,20267,44951,26659,66955,0.53931868802
2020-04-08,11,99,,,,,,,647,394,963,13616,8773,19132,45598,27054,67917,0.539099925944
2020-04-09,13,112,,,,,,,626,372,946,12930,8356,18185,46224,27427,68863,0.538934747725
2020-04-10,7,119,,,,,,,606,353,929,12311,7943,17368,46829,27780,69791,0.53880900509
2020-04-11,10,129,,,,,,,587,336,913,11750,7536,16687,47416,28116,70704,0.538712354627
2020-04-12,9,138,,,,,,,570,320,897,11241,7154,16085,47986,28437,71600,0.538637217034
2020-04-13,5,143,,,,,,,554,303,881,10778,6789,15551,48540,28740,72480,0.538578027019
2020-04-14,18,161,,,,,,,539,291,865,10355,6443,15088,49079,29031,73345,0.538530690652
2020-04-15,5,166,,,,,,,524,281,849,9969,6112,14698,49603,29312,74193,0.53849219153
2020-04-16,3,169,,,,,,,511,271,834,9615,5808,14354,50114,29584,75027,0.538460304025
2020-04-17,4,173,,,,,,,498,263,819,9289,5521,14047,50611,29848,75845,0.538433383879
2020-04-18,8,181,,,,,,,485,255,804,8987,5257,13759,51096,30104,76649,0.53841021489
2020-04-19,5,186,,,,,,,473,248,789,8707,5016,13492,51569,30352,77437,0.538389896422
2020-04-20,8,194,,,,,,,462,241,774,8445,4795,13243,52031,30594,78211,0.538371760764
2020-04-21,7,201,,,,,,,450,235,760,8200,4590,12999,52481,30829,78970,0.538355312317
2020-04-22,7,208,,,,,,,440,229,745,7970,4398,12760,52921,31058,79715,0.538340182797
2020-04-23,2,210,,,,,,,429,223,731,7752,4227,12528,53350,31281,80445,0.53832609818
2020-04-24,4,214,,,,,,,419,217,717,7545,4071,12299,53769,31499,81161,0.538312805584
2020-04-25,4,218,,,,,,,409,211,702,7349,3930,12072,54178,31711,81863,0.538300230257
2020-04-26,2,220,,,,,,,399,206,688,7161,3801,11847,54577,31917,82550,0.538288297566
2020-04-27,3,223,,,,,,,390,201,674,6980,3682,11625,54967,32119,83224,0.538277195831
2020-04-28,4,227,,,,,,,380,196,660,6806,3574,11405,55347,32315,83884,0.538266950118
2020-04-29,0,227,,,,,,,371,191,647,6639,3474,11186,55718,32506,84530,0.538257461384
2020-04-30,9,236,,,,,,,362,186,633,6476,3380,10970,56079,32692,85163,0.538248565483
2020-05-01,4,240,,,,,,,353,181,619,6318,3289,10755,56432,32874,85781,0.538240330909
2020-05-02,5,245,,,,,,,344,176,606,6164,3202,10541,56775,33050,86386,0.538232900092
2020-05-03,3,248,,,,,,,335,171,592,6014,3118,10330,57110,33222,86978,0.538226466846
2020-05-04,4,252,,,,,,,326,166,578,5867,3037,10119,57436,33389,87556,0.538221294168
2020-05-05,5,257,,,,,,,317,162,565,5723,2957,9910,57754,33551,88120,0.538217738296
2020-05-06,5,262,,,,,,,309,157,552,5581,2879,9702,58063,33709,88671,0.538216281177
2020-05-07,8,270,,,,,,,300,152,538,5442,2803,9495,58363,33862,89209,0.538217574315
2020-05-08,3,273,,,,,,,292,148,525,5305,2728,9289,58655,34010,89733,0.538222497946
2020-05-09,3,276,,,,,,,283,143,512,5169,2654,9084,58938,34154,90245,0.538232240898
2020-05-10,4,280,,,,,,,275,138,498,5035,2581,8880,59213,34293,90742,0.538248408347
2020-05-11,2,282,,,,,,,267,134,485,4902,2509,8677,59479,34427,91227,0.53827316718
2020-05-12,1,283,,,,,,,258,129,472,4771,2437,8475,59738,34557,91699,0.538309442037
2020-05-13,7,290,,,,,,,250,125,459,4641,2366,8273,59988,34682,92157,0.538361179611
2020-05-14,3,293,,,,,,,242,120,446,4512,2296,8073,60229,34802,92602,0.538433704816
2020-05-15,2,295,,,,,,,233,115,433,4384,2225,7873,60463,34918,93035,0.538534200459
2020-05-16,1,296,,,,,,,225,111,420,4256,2155,7673,60688,35030,93454,0.538672352719
2020-05-17,2,298,,,,,,,217,106,407,4130,2086,7474,60905,35136,93860,0.5388612188
2020-05-18,-1,297,,,,,,,209,102,394,4004,2016,7276,61114,35239,94254,0.539118391488
2020-05-19,5,302,,,,,,,201,97,381,3878,1947,7079,61315,35337,94634,0.539467559065
2020-05-20,2,304,,,,,,,193,93,368,3754,1878,6882,61508,35430,95001,0.539940589059
2020-05-21,2,306,,,,,,,185,88,355,3630,1809,6685,61692,35519,95356,0.540580301347
2020-05-22,6,312,,,,,,,177,84,343,3506,1740,6490,61869,35603,95698,0.541444139726
2020-05-23,2,314,,,,,,,169,79,330,3384,1672,6295,62038,35683,96028,0.542608998778
2020-05-24,1,315,,,,,,,161,75,318,3261,1604,6101,62199,35758,96345,0.544177507385
2020-05-25,2,317,,,,,,,153,71,305,3140,1536,5907,62353,35829,96649,0.54628609609
2020-05-26,0,317,,,,,,,146,66,293,3019,1469,5715,62499,35896,96942,0.54911515173
2020-05-27,0,317,,,,,,,138,62,281,2900,1402,5525,62637,35959,97223,0.552901433307
2020-05-28,2,319,,,,,,,131,58,270,2781,1335,5336,62769,36018,97492,0.557952592516
2020-05-29,0,319,,,,,,,124,54,259,2663,1270,5149,62893,36073,97751,0.564662961354
2020-05-30,0,319,,,,,,,117,51,249,2548,1205,4966,63010,36124,98000,0.573528529385
2020-05-31,1,320,,,,,,,111,47,240,2433,1141,4786,63121,36171,98239,0.585157000169
2020-06-01,1,321,,,,,,,105,44,231,2321,1078,4610,63226,36215,98469,0.600265857212
2020-06-02,2,323,,,,,,,100,40,223,2212,1017,4438,63326,36256,98691,0.619657763332
2020-06-03,2,325,,,,,,,95,39,216,2106,959,4273,63421,36296,98906,0.644159615011
2020-06-04,1,326,,,,,,,93,39,212,2006,905,4117,63514,36335,99118,0.674512082846
