date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-21,,,,,,,,,111,75,125,111,75,125,111,75,125,1.67818849729
2020-02-22,,,,,,,,,111,75,125,223,150,250,223,150,250,1.67654234159
2020-02-23,,,,,,,,,111,75,125,334,225,375,334,225,375,1.67595585085
2020-02-24,,,,,,,,,111,75,125,445,300,500,445,300,500,1.6751581813
2020-02-25,,,,,,,,,111,75,125,556,375,625,556,375,625,1.67407224816
2020-02-26,,,,,,,,,111,75,125,668,450,750,668,450,750,1.67259245148
2020-02-27,,,,,,,,,111,75,125,779,525,875,779,525,875,1.67057410571
2020-02-28,,,,,,,,,111,75,125,890,600,1000,890,600,1000,1.66781911445
2020-02-29,,,,,,,,,111,75,125,1001,675,1125,1001,675,1125,1.664056852
2020-03-01,,,,,,,,,294,194,374,1295,869,1499,1295,869,1499,1.65872327676
2020-03-02,,,,,,,,,292,193,372,1586,1063,1871,1586,1063,1871,1.65169191695
2020-03-03,,,,,,,,,304,202,394,1891,1265,2264,1891,1265,2264,1.64209616095
2020-03-04,,,,,,,,,331,220,439,2222,1485,2703,2222,1485,2703,1.62914524461
2020-03-05,,,,,,,,,387,257,528,2609,1743,3231,2609,1743,3231,1.61184339224
2020-03-06,,,,,,,,,473,315,669,3082,2058,3900,3082,2058,3900,1.58913390445
2020-03-07,,,,,,,,,533,358,775,3504,2342,4549,3615,2417,4674,1.56010001815
2020-03-08,,,,,,,,,578,394,860,3971,2661,5283,4193,2811,5533,1.52422631275
2020-03-09,,,,,,,,,626,430,959,4485,3017,6116,4819,3242,6491,1.4815852233
2020-03-10,,,,,,,,,677,467,1038,5051,3410,7029,5496,3710,7529,1.43282171991
2020-03-11,,,,,,,,,735,495,1152,5675,3830,8055,6231,4205,8680,1.37902796426
2020-03-12,,,,,,,,,785,519,1200,6348,4275,9130,7016,4725,9880,1.32161038646
2020-03-13,,,,,,,,,821,533,1233,7059,4733,10238,7837,5258,11113,1.26218812965
2020-03-14,,,,,,,,,849,546,1249,7797,5205,11361,8687,5805,12361,1.20251990158
2020-03-15,,,,,,,,,871,555,1258,8557,5686,12494,9558,6361,13619,1.14442602432
2020-03-16,1,1,,,,,,,888,567,1297,9152,6058,13417,10446,6928,14915,1.08969396325
2020-03-17,0,1,,,,,,,899,576,1316,9759,6441,14360,11346,7504,16231,1.03994834556
2020-03-18,0,1,,,,,,,903,584,1308,10358,6823,15274,12248,8088,17538,0.996475204101
2020-03-19,0,1,,,,,,,901,589,1311,10927,7192,16146,13149,8677,18849,0.960026904651
2020-03-20,1,2,,,,,,,896,591,1307,11436,7526,16925,14045,9269,20155,0.930686294295
2020-03-21,0,2,,,,,,,889,594,1310,11852,7805,17565,14934,9864,21464,0.907893485963
2020-03-22,0,2,,,,,,,881,597,1302,12200,8044,18092,15816,10461,22765,0.890661119489
2020-03-23,2,4,,,,,,,872,597,1287,12495,8247,18520,16688,11058,24052,0.877862667544
2020-03-24,0,4,,,,,,,862,595,1268,12731,8412,18829,17550,11654,25320,0.868451126386
