date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
2020-02-24,,,,,,,,,162,100,200,162,100,200,162,100,200,2.11301794788
2020-02-25,,,,,,,,,162,100,200,325,200,400,325,200,400,2.1116424811
2020-02-26,,,,,,,,,162,100,200,487,300,600,487,300,600,2.11133818402
2020-02-27,,,,,,,,,162,100,200,649,400,800,649,400,800,2.11096662799
2020-02-28,,,,,,,,,162,100,200,812,500,1000,812,500,1000,2.11051297545
2020-02-29,,,,,,,,,162,100,200,974,600,1200,974,600,1200,2.10995912868
2020-03-01,,,,,,,,,162,100,200,1136,700,1400,1136,700,1400,2.10928301898
2020-03-02,,,,,,,,,162,100,200,1299,800,1600,1299,800,1600,2.10845774284
2020-03-03,,,,,,,,,162,100,200,1461,900,1800,1461,900,1800,2.1074505128
2020-03-04,,,,,,,,,501,299,675,1962,1199,2475,1962,1199,2475,2.10605527803
2020-03-05,,,,,,,,,499,298,671,2462,1498,3145,2462,1498,3145,2.10453496811
2020-03-06,,,,,,,,,533,317,723,2995,1816,3868,2995,1816,3868,2.10264123811
2020-03-07,,,,,,,,,602,356,830,3596,2173,4698,3596,2173,4698,2.10034603856
2020-03-08,,,,,,,,,745,437,1052,4341,2610,5749,4341,2610,5749,2.09755700647
2020-03-09,,,,,,,,,969,563,1398,5310,3173,7147,5310,3173,7147,2.09416274757
2020-03-10,,,,,,,,,1149,664,1678,6296,3738,8625,6459,3838,8825,2.09002351608
2020-03-11,,,,,,,,,1319,758,1946,7453,4396,10370,7777,4596,10770,2.08497014278
2020-03-12,,,,,,,,,1531,875,2286,8822,5172,12455,9309,5472,13055,2.07881411137
2020-03-13,,,,,,,,,1798,1022,2714,10457,6094,14969,11107,6494,15769,2.07131883488
2020-03-14,,,,,,,,,2138,1209,3254,12433,7204,18022,13245,7704,19022,2.06218573874
2020-03-15,,,,,,,,,2508,1414,3829,14779,8518,21651,15753,9118,22851,2.0510459257
2020-03-16,,,,,,,,,2907,1638,4437,17523,10056,25888,18660,10756,27288,2.03744207089
2020-03-17,,,,,,,,,3356,1893,5107,20717,11849,30794,22015,12649,32394,2.02081661591
2020-03-18,,,,,,,,,3871,2191,5853,24425,13941,36447,25886,14841,38247,2.00048840037
2020-03-19,1,1,,,,,,,4459,2543,6673,28383,16185,42445,30346,17385,44919,1.97564243701
2020-03-20,0,1,,,,,,,5103,2943,7774,32987,18830,49548,35448,20329,52693,1.94535176403
2020-03-21,4,5,,,,,,,5787,3301,9036,38240,21814,57861,41235,23630,61729,1.90865214789
2020-03-22,-1,4,,,,,,,6504,3672,10358,44143,25130,67389,47739,27303,72086,1.86469102333
2020-03-23,0,4,,,,,,,7244,4152,11674,50642,28845,78011,54983,31456,83760,1.81293938865
2020-03-24,0,4,,,,,,,7988,4667,12889,57661,32949,89502,62971,36123,96648,1.75341453581
2020-03-25,2,6,,,,,,,8709,5165,13885,65221,37450,101708,71679,41288,110532,1.68682720449
2020-03-26,2,8,,,,,,,9378,5687,14427,73280,42379,114189,81057,46976,124959,1.61458305793
2020-03-27,10,18,,,,,,,9977,6229,14404,81725,47733,126308,91034,53205,139363,1.53863460952
2020-03-28,4,22,,,,,,,10491,6783,14445,90418,53495,138038,101525,59989,153807,1.46123764017
2020-03-29,0,22,,,,,,,10914,7341,14887,99194,59627,149671,112439,67331,168693,1.38468603972
2020-03-30,0,22,,,,,,,11238,7892,15293,107924,66104,161135,123677,75223,183985,1.3110837367
2020-03-31,9,31,,,,,,,11464,8421,15645,116482,72888,172342,135142,83645,199630,1.24218333561
2020-04-01,2,33,,,,,,,11596,8916,15903,124722,79912,183139,146738,92561,215533,1.17929518235
2020-04-02,3,36,,,,,,,11642,9209,16043,132493,86929,193329,158380,101771,231575,1.12325420672
2020-04-03,25,61,,,,,,,11615,9057,15965,139649,93443,202621,169995,110828,247539,1.07442814286
2020-04-04,0,61,,,,,,,11526,8894,15965,146073,99393,210811,181521,119723,263504,1.03275701718
2020-04-05,14,75,,,,,,,11388,8728,15680,151674,104821,217455,192909,128451,279184,0.997822485783
2020-04-06,46,121,,,,,,,11209,8561,15325,156379,109709,222422,204118,137012,294508,0.968946894208
2020-04-07,29,150,,,,,,,11000,8393,14984,160136,113950,225732,215118,145406,309491,0.945311377085
2020-04-08,25,175,,,,,,,10768,8226,14621,162916,117509,227464,225886,153632,324111,0.926069212221
2020-04-09,41,216,,,,,,,10519,8060,14223,164726,120405,227802,236405,161693,338334,0.91043043143
2020-04-10,25,241,,,,,,,10258,7896,14068,165606,122613,227443,246663,169590,352401,0.897707905268
2020-04-11,48,289,,,,,,,9989,7735,13493,165618,124119,226532,256652,177325,365894,0.887330616434
2020-04-12,39,328,,,,,,,9715,7575,13032,164842,124911,225119,266367,184900,378926,0.878836679635
2020-04-13,32,360,,,,,,,9440,7418,12629,163367,124988,222861,275806,192319,391554,0.871857498628
2020-04-14,75,435,,,,,,,9165,7264,12113,161294,124360,219681,284971,199584,403666,0.866100253399
2020-04-15,52,487,,,,,,,8892,7112,11607,158721,123051,215644,293863,206696,415273,0.86133213114
2020-04-16,143,630,,,,,,,8622,6962,11058,155747,121097,210799,302485,213659,426331,0.857367376474
2020-04-17,58,688,,,,,,,8357,6816,10681,152462,118704,205436,310842,220475,437011,0.854057113169
2020-04-18,0,688,,,,,,,8097,6671,10267,148945,116318,199739,318939,227147,447278,0.851281488001
2020-04-19,132,820,,,,,,,7843,6527,9924,145262,113951,193699,326783,233674,457202,0.848943628952
2020-04-20,119,939,,,,,,,7596,6362,9595,141470,111584,187613,334379,240036,466796,0.846964978956
2020-04-21,105,1044,,,,,,,7354,6226,9302,137615,109250,181590,341733,246263,476098,0.845281663287
2020-04-22,90,1134,,,,,,,7120,6052,9103,133735,106908,175709,348853,252315,485200,0.843841635897
2020-04-23,109,1243,,,,,,,6892,5729,8848,129858,104411,169936,355745,258044,494047,0.842602418128
2020-04-24,97,1340,,,,,,,6671,5612,8538,126010,101963,164251,362415,263657,502585,0.84152929333
2020-04-25,106,1446,,,,,,,6456,5377,8240,122209,99444,158423,368872,269034,510824,0.840593856723
2020-04-26,70,1516,,,,,,,6248,5183,8008,118468,96893,152938,375120,274218,518831,0.839772845165
2020-04-27,84,1600,,,,,,,6047,4960,7818,114800,94278,147724,381167,279179,526649,0.839047189433
2020-04-28,83,1683,,,,,,,5852,4739,7632,111212,91599,142727,387018,283919,534280,0.838401244657
2020-04-29,79,1762,,,,,,,5663,4522,7420,107710,88857,138034,392681,288441,541700,0.837822164133
2020-04-30,97,1859,,,,,,,5480,4325,7222,104298,86070,133649,398161,292767,548921,0.83729938904
2020-05-01,163,2022,,,,,,,5303,4058,7047,100979,83166,129638,403464,296826,555968,0.836824232173
2020-05-02,114,2136,,,,,,,5132,3774,6876,97753,80125,125833,408595,300601,562843,0.836389538101
2020-05-03,70,2206,,,,,,,4966,3551,6708,94622,77005,122273,413561,304152,569551,0.835989405558
2020-05-04,75,2281,,,,,,,4805,3348,6543,91584,73827,118892,418366,307501,576094,0.835618960573
