date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-05,0,0,,,,,,,119,62,169,119,62,169,119,62,169,2.2764144809,2.1,2.4
2020-02-06,0,0,,,,,,,119,62,169,239,124,338,238,124,338,2.27640680102,2.09999630674,2.39999984612
2020-02-07,0,0,,,,,,,119,62,169,358,185,507,357,186,507,2.27640422483,2.09999495118,2.3999997646
2020-02-08,0,0,,,,,,,119,62,169,477,248,676,476,248,676,2.27640077471,2.09999311703,2.39999964009
2020-02-09,0,0,,,,,,,280,159,391,757,421,1054,756,407,1067,2.27639615032,2.09999061655,2.39999945556
2020-02-10,0,0,,,,,,,280,159,391,1036,586,1440,1036,566,1458,2.27638994651,2.09998720769,2.39999916563
2020-02-11,0,0,,,,,,,280,159,391,1316,748,1828,1316,725,1849,2.27638161614,2.09998256046,2.3999987203
2020-02-12,0,0,,,,,,,280,159,391,1596,909,2217,1596,884,2240,2.27637041937,2.09997622497,2.39999807708
2020-02-13,0,0,,,,,,,461,276,635,2057,1207,2833,2057,1160,2875,2.2763553546,2.09996758796,2.39999716351
2020-02-14,0,0,,,,,,,655,399,894,2712,1612,3721,2712,1559,3769,2.27631232205,2.09993232083,2.39997807167
2020-02-15,0,0,,,,,,,1035,646,1396,3747,2296,5084,3747,2205,5165,2.27628211983,2.09991269481,2.39997412976
2020-02-16,0,0,,,,,,,1879,1170,2426,5626,3560,7460,5626,3375,7591,2.27623587891,2.09988120726,2.39996361411
2020-02-17,0,0,,,,,,,3131,2046,3984,8757,5723,11362,8757,5421,11575,2.27617668307,2.09984205127,2.39995132607
2020-02-18,0,0,,,,,,,3532,2343,4496,12289,8104,15833,12289,7764,16071,2.2760991444,2.09979141217,2.39993619466
2020-02-19,0,0,,,,,,,4130,2787,5234,16418,10943,21034,16419,10551,21305,2.27599617801,2.09972562931,2.39991615904
