date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,238,121,331,238,121,331,238,121,331,1.60729753303,1.4,1.8
2020-02-17,,,,,,,,,238,121,331,477,243,662,477,243,662,1.60729698674,1.39999977456,1.79999999219
2020-02-18,,,,,,,,,238,121,331,715,365,993,715,365,993,1.60729676902,1.39999967637,1.79999998764
2020-02-19,,,,,,,,,238,121,331,954,487,1324,954,487,1324,1.60729646381,1.39999953927,1.79999998045
2020-02-20,,,,,,,,,238,121,331,1192,609,1655,1192,609,1655,1.60729603561,1.39999935256,1.79999996907
2020-02-21,,,,,,,,,238,121,331,1431,731,1986,1431,731,1986,1.60729543439,1.39999911486,1.79999995107
2020-02-22,,,,,,,,,238,121,331,1669,853,2317,1669,853,2317,1.60729458947,1.39999878989,1.79999992257
2020-02-23,,,,,,,,,238,121,331,1908,975,2648,1908,975,2648,1.60729340099,1.39999834199,1.79999987746
2020-02-24,,,,,,,,,238,121,331,2146,1097,2979,2146,1097,2979,1.60729172766,1.39999771525,1.79999980605
2020-02-25,,,,,,,,,616,337,837,2762,1434,3816,2762,1434,3816,1.60698169218,1.39961922686,1.79981516502
2020-02-26,,,,,,,,,613,336,833,3375,1770,4648,3375,1770,4648,1.60693990134,1.39957140236,1.79979172459
2020-02-27,,,,,,,,,640,354,871,4015,2124,5518,4015,2124,5518,1.606835518,1.3994570459,1.79972663051
2020-02-28,,,,,,,,,697,390,949,4713,2514,6467,4713,2514,6467,1.60672960717,1.39934314058,1.79966141316
2020-02-29,,,,,,,,,817,464,1112,5529,2979,7579,5529,2979,7579,1.60661645155,1.39922498761,1.7995921764
2020-03-01,,,,,,,,,1002,579,1367,6531,3559,8945,6531,3559,8945,1.60649001592,1.39909748745,1.79951341465
2020-03-02,,,,,,,,,1146,670,1563,7438,4107,10177,7677,4229,10508,1.60633850067,1.39895081834,1.79941769754
